Date,Source,Scraped Date,Headline Inflation (%),Core Inflation (%),Private Sector Credit Growth (%),Reserve Money Growth (%),Broad Money M2 Growth (%),Gross International Reserves (USD M)
2025-Dec,Bank of Ghana Statistical Bulletin,2026-04-20,5.388,4.5663,19.1515,12.4899,26.8808,13829.194
2025-Nov,Bank of Ghana Statistical Bulletin,2026-04-20,6.3284,5.4491,18.7716,-1.622,18.5624,11768.1769
2025-Oct,Bank of Ghana Statistical Bulletin,2026-04-20,8.0463,7.3732,13.9003,0.0728,18.555,11410.6421
2025-Sep,Bank of Ghana Statistical Bulletin,2026-04-20,9.4,8.8263,15.0814,-6.3846,21.35,11604.0193
2025-Aug,Bank of Ghana Statistical Bulletin,2026-04-20,11.5,11.5187,13.3328,4.4584,28.236,10919.2644
2025-Jul,Bank of Ghana Statistical Bulletin,2026-04-20,12.1,11.996,7.9547,14.1729,32.443,10763.9435
2025-Jun,Bank of Ghana Statistical Bulletin,2026-04-20,13.667,12.9979,8.571,1.9512,30.2956,11336.2121
2025-May,Bank of Ghana Statistical Bulletin,2026-04-20,18.3778,18.4098,9.7175,27.6058,34.7592,10738.4512
2025-Apr,Bank of Ghana Statistical Bulletin,2026-04-20,21.2402,20.978,19.9099,37.9881,31.8268,10792.1985
2025-Mar,Bank of Ghana Statistical Bulletin,2026-04-20,22.4055,23.2,24.3066,60.8269,34.4804,10299.2281
2025-Feb,Bank of Ghana Statistical Bulletin,2026-04-20,23.1331,22.4,26.9201,68.8127,34.9515,9432.5317
2025-Jan,Bank of Ghana Statistical Bulletin,2026-04-20,23.4802,22.8,29.3672,74.1949,34.9745,9221.7621
2024-Dec,Bank of Ghana Statistical Bulletin,2026-04-20,23.8197,23.1,26.3073,47.8202,33.6408,9112.82
2024-Nov,Bank of Ghana Statistical Bulletin,2026-04-20,23.0261,22.4,29.1755,75.4241,43.2297,7881.0984
2024-Oct,Bank of Ghana Statistical Bulletin,2026-04-20,22.0946,21.4,28.8318,104.4868,45.1924,7682.9588
2024-Sep,Bank of Ghana Statistical Bulletin,2026-04-20,21.4572,20.8,25.6438,90.2026,44.5048,7829.1093
