category,title,price_ghs,condition,region,area,location,seller_badge,description,price_outlier_flag,url,source,scraped_date
Commercial Equipment & Tools,Saloon/Barbering Led Mirror,950.0,,Greater Accra,Dansoman,"Greater Accra, Dansoman",Verified ID,Saloon/Barbering Led Mirror,False,https://jiji.com.gh/dansoman/salon-equipment/saloon-barbering-led-mirror-iG349GtAv0WEQcatmGoIU6e7.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Manual Siren / Hand-crank Siren / Air Raid Siren,2500.0,,Greater Accra,Awoshie,"Greater Accra, Awoshie",Verified ID,"These sirens are used for emergency warning and alert systems, including:
	•Fire alarms
	•Flood...",False,https://jiji.com.gh/awoshie/safety-equipment/manual-siren-hand-crank-siren-air-raid-siren-hmG1COYz2iNKSHb7HkleuWdm.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,"Large Format/Industrial Printers,Ecosolvent,Sublimatio,Xp600",25000.0,,Greater Accra,Circle,"Greater Accra, Circle",Verified ID,Brand New Mimaage 6ft & 10ft large format printer . Comes with free inks XP600 and other printing...,True,https://jiji.com.gh/circle/printing-equipment/large-format-industrial-printers-ecosolvent-sublimatio-xp600-1C57z753zCQ79Es9GC5v137z.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Barber Apron Capes Black Color,85.0,,Greater Accra,Taifa-Burkina,"Greater Accra, Taifa-Burkina","Verified ID, 5+ years on Jiji",Digital Printed Apron Capes Nylon,False,https://jiji.com.gh/taifa-burkina/salon-equipment/barber-apron-capes-black-color-35zh2oThCzcyqfPfIpNRtw8C.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Handheld Inkjet Printer,2200.0,,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",,"Hand held printer for printing manufacturing and expiring date, batch number, barcode, text etc.",False,https://jiji.com.gh/tema-metropolitan/printing-equipment/handheld-inkjet-printer-BxakVH1heH8mTLi4e1VGLPMa.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Walking Stick (4 Legs Quad Cane),120.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji","Four feet Quad Walking Stick
* Manufactured from lightweight Aluminum
* Qua base provides greater...",False,https://jiji.com.gh/accra-metropolitan/medical-equipment/walking-stick-4-legs-quad-cane-rq4kvKESNYW30mFIWMZsUleK.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Convex Mirror {80} Cm,800.0,,Greater Accra,Spintex,"Greater Accra, Spintex",,CORVEX SECURITY MIRROR: Observe around corners and eliminate blind spots with the BISupply Convex...,False,https://jiji.com.gh/spintex/safety-equipment/convex-mirror-80-cm-kk7N4jtCe7dw2TyzmcBbpjRP.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Wet/Dry Grinder,4500.0,Brand New,Greater Accra,Adenta,"Greater Accra, Adenta",,"Wet/Dry Milling Machine with Silver hopper
Single phase machine
60Kg/h
Model 100
Power:220v",False,https://jiji.com.gh/adenta-municipal/restaurant-and-catering-equipment/wet-dry-grinder-rmzte8weXMhADAQGExPBrHAQ.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Shampoo Basin,2899.0,,Greater Accra,Achimota,"Greater Accra, Achimota","Verified ID, 5","Brand new sink.
we import and sell all beauty equipments.pedicure,mannicure, massaging,facial...",False,https://jiji.com.gh/achimota/salon-equipment/shampoo-basin-xgW6IjMyKRpgaoAEMYSlxQq6.html,Jiji Ghana (jiji.com.gh),2026-04-20
Commercial Equipment & Tools,Plantain Chips Slicer,5400.0,Brand New,Greater Accra,Adenta,"Greater Accra, Adenta",3+ years on Jiji,This machine is a slicer meant for Plantain chips or banana chips. It can cut horizontal and...,False,https://jiji.com.gh/adenta-municipal/restaurant-and-catering-equipment/plantain-chips-slicer-8wbSzgG1AyD5ezUiDk5uG4fp.html,Jiji Ghana (jiji.com.gh),2026-04-20
