category,title,price_ghs,condition,region,area,location,seller_badge,description,price_outlier_flag,url,source,scraped_date
"Food, Agriculture & Farming",Malaysian Dwarf Coconut Seedlings,40.0,Bulk prices,Greater Accra,Pokuase,"Greater Accra, Pokuase",Verified ID,"The Malaysian Coconut is available for sale.
Maturity 12 months to 18 months 
Short in height and...",False,https://jiji.com.gh/pokuase/feeds-supplements-seeds/malaysian-dwarf-coconut-seedlings-hkhJms4ZnbjU73lCIagt8Rb5.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Food, Agriculture & Farming",Fresh Farm Eggs for Sale,48.0,Bulk prices,Central Region,Ajumako/Enyan/Essiam,"Central Region, Ajumako/Enyan/Essiam",,Fresh and Neat farm eggs available in both wholesale and retail,False,https://jiji.com.gh/ajumako-enyan-essiam/meals-and-drinks/fresh-farm-eggs-for-sale-aSntNMojtMhUOVYjifNU5ofU.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Food, Agriculture & Farming",Jumbo Dwarf Mango Seedlings,50.0,Bulk prices,Greater Accra,Pokuase,"Greater Accra, Pokuase",Verified ID,"The jumbo mango seedlings is the best in town, it takes only year and a half to maturity and...",False,https://jiji.com.gh/pokuase/feeds-supplements-seeds/jumbo-dwarf-mango-seedlings-C5cAOBF2H13DHj8YYf6sHzr9.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Food, Agriculture & Farming",Organic Pumpkin Seed,70.0,,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",Verified ID,"Pumpkin seeds offer numerous health benefits, including improved heart health, better sleep, and...",False,https://jiji.com.gh/tema-metropolitan/feeds-supplements-seeds/organic-pumpkin-seed-cRiB43hB2gOWnnePB98p6U7m.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Food, Agriculture & Farming",Pesticide and Insecticide,25.0,,Greater Accra,Adenta,"Greater Accra, Adenta","Verified ID, 5+ years on Jiji",Effective systemic and contact pesticide and insecticide available at Asiva Agro Chemicals located...,False,https://jiji.com.gh/adenta-municipal/feeds-supplements-seeds/pesticide-and-insecticide-iccbeoYVaoCWDmeF1fUNXWMM.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Food, Agriculture & Farming",Tomato Seeds,40.0,,Greater Accra,Adenta,"Greater Accra, Adenta","Verified ID, 5+ years on Jiji",Viable certified vegetable seeds for your home and commercial propagation.,False,https://jiji.com.gh/adenta-municipal/feeds-supplements-seeds/tomato-seeds-cy6WAVqHFZScScHjpyK9Dn3r.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Food, Agriculture & Farming",Habanero Seeds - Rouge [50g],400.0,,Greater Accra,Madina,"Greater Accra, Madina",Verified ID,"Habanero Rouge by Advanta is a premium chili pepper variety known for its intense heat, vibrant red...",False,https://jiji.com.gh/madina/feeds-supplements-seeds/habanero-seeds-rouge-50g-7ophH8mdBSnPu5UYLjI6j0Vw.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Food, Agriculture & Farming",13 Hp Gasoline Tiller,10800.0,,Greater Accra,North Industrial Area,"Greater Accra, North Industrial Area","Verified ID, 3+ years on Jiji",13 hp Nulux engin powered tiller.,True,https://jiji.com.gh/north-industrial-area/farm-machinery-equipment/13-hp-gasoline-tiller-5Q4lSKi6J0tx5LR0tlrO5yoS.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Food, Agriculture & Farming",Miracle Berry Seedlings,80.0,Bulk prices,Greater Accra,Pokuase,"Greater Accra, Pokuase",Verified ID,"Miracle Berry Seedlings for Sale! 
Looking for a unique fruit that naturally turns sour tastes into...",False,https://jiji.com.gh/pokuase/feeds-supplements-seeds/miracle-berry-seedlings-fEIfIYlvKcc7PNnL46vJgdfv.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Food, Agriculture & Farming","Certified Planting Maize Seeds (Obatanpa, Honampa)",35.0,,Greater Accra,Adenta,"Greater Accra, Adenta","Verified ID, 5+ years on Jiji",Certified planting maize seeds available at Asiva Agro Chemicals located at Amrahia-Katamanso...,False,https://jiji.com.gh/adenta-municipal/farm-animal-feed-supplements/certified-planting-maize-seeds-obatanpa-honampa-pbJYTnnZDVuTRpJo5fEnhHq0.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Food, Agriculture & Farming",Black Sesame Seed,300.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 3+ years on Jiji","It improve digestion 
It helps improves blood sugar",False,https://jiji.com.gh/accra-metropolitan/feeds-supplements-seeds/black-sesame-seed-Cd91VaOr6ztX6MS4veejuMuY.html,Jiji Ghana (jiji.com.gh),2026-04-20
