category,title,price_ghs,condition,region,area,location,seller_badge,description,price_outlier_flag,url,source,scraped_date
"Home, Furniture & Appliances",Reliable 10kg Westpool Washing Machine,3000.0,Brand New,Greater Accra,Avenor Area,"Greater Accra, Avenor Area","Verified ID, 5+ years on Jiji","Our washing machine operates quietly , reducing noise pollution and making it perfect for homes with...",False,https://jiji.com.gh/avenor-area/home-appliances/reliable-10kg-westpool-washing-machine-wRzehBEZkd4iXC3qP4mGRBny.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Unleash The Power Of Clean With Jid’S Trusted Products.,200.0,,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",5+ years on Jiji,"Experience the Power of Professional Cleaning
Only with Jid — your trusted cleaning partner.",False,https://jiji.com.gh/tema-metropolitan/household-chemicals/unleash-the-power-of-clean-with-jids-trusted-products-szsVjpuNTnTs12g0IuSMze8L.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Corner Light Decor,290.0,,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan",Verified ID,Smart corner floor light Living Rooms and Bedrooms: Create a relaxing or vibrant ambiance for...,False,https://jiji.com.gh/kumasi-metropolitan/lighting/corner-light-decor-eXVNC4ICt75X1MHbru7fGXla.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Eco-Friendly Hydrocarbon Refrigerant With Zero Ozone Depletion.,495.0,Brand New,Greater Accra,Airport Residential Area,"Greater Accra, Airport Residential Area","Verified ID, 5+ years on Jiji",99.9% purity - disposable cylinder freon,False,https://jiji.com.gh/airport-residential-area/kitchen-appliances/eco-friendly-hydrocarbon-refrigerant-with-zero-ozone-depletion-7Q5DCNly80of7MIcqjpMBqGh.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances","Neon Light Single Colour 5m- Purple, Pink, Warm, Blue, Orange",150.0,,Greater Accra,Dome,"Greater Accra, Dome","Verified ID, 5+ years on Jiji","5m.neon rope light
Colour
Pink
Purple
Blue
Warm.
Orange",False,https://jiji.com.gh/dome/lighting/neon-light-single-colour-5m-purple-pink-warm-blue-orange-2VXh0caEnCf0HnIm5kVWg3kn.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Asona 2.0hp Air Condition Heavy Duty Cooling Asona 2.0hp Safe Guard,4500.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,"Beat the heat effortlessly with the Asano 2.0HP Air Conditioner, built with advanced cooling...",False,https://jiji.com.gh/accra-metropolitan/home-appliances/asona-2-0hp-air-condition-heavy-duty-cooling-asona-2-0hp-safe-guard-iSZX7sUcM8TI79zVxTzQ2Jxr.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Golden Lifestyle Air Conditioners 1.5hp Air Conditioners Asano,2599.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,#one year warranty assured #R410A gas #100 copper #Affordable and durable #Visit our showroom...,False,https://jiji.com.gh/accra-metropolitan/home-appliances/golden-lifestyle-air-conditioners-1-5hp-air-conditioners-asano-hgnc9bHGDVnyX1ybCnlfwx5N.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",150w Suiming Street Light,450.0,Bulk prices,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",5+ years on Jiji,"Illuminate your compound, street, market place, Church, mosque, schools, hostels, Sport centers etc...",False,https://jiji.com.gh/tema-metropolitan/lighting/150w-suiming-street-light-imy7GL3uEOWJWrU7tnvWA2fB.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances","10m RGB-Ic Smart Neon Rope Light – App Control, Music Sync Dream Color",270.0,,Greater Accra,Adenta,"Greater Accra, Adenta",,"10M RGB-IC Smart Neon Rope Light – App Control, Music Sync & Dream ColorTransform your space with...",False,https://jiji.com.gh/adenta-municipal/lighting/10m-rgb-ic-smart-neon-rope-light-app-control-music-sync-dream-color-dbrCy25UXVoH6O3eJbv2DQ4J.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Ceiling Panel Light,1350.0,,Greater Accra,Pokuase,"Greater Accra, Pokuase",Verified ID,"Ceiling panel light 
3colored light.",False,https://jiji.com.gh/pokuase/lighting/ceiling-panel-light-hxrsaDPxnxSK1cVwo1kBpkJx.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Gold Quick Action Star Air Condition 1.5hp Gold Star Ac,3400.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji",Quality And Affordable One Year Warranty,False,https://jiji.com.gh/accra-metropolitan/home-appliances/gold-quick-action-star-air-condition-1-5hp-gold-star-ac-so58yDylbddCXsqqHsuZdV6e.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Proven Results Decakila 1200w/15l Vacuum Cleaner Decakila,1000.0,Brand New,Greater Accra,Avenor Area,"Greater Accra, Avenor Area",Verified ID,Quality and Affordable One Year Warranty,False,https://jiji.com.gh/avenor-area/home-appliances/proven-results-decakila-1200w-15l-vacuum-cleaner-decakila-xpOdg5snvyyqquJS2SiGGS4B.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Decorative Bladeless Ceiling Fan With Led Light And Remote Control,1999.0,,Greater Accra,Circle,"Greater Accra, Circle",,"- Application: Living Room, Dining Room, Bedroom, Study, etc
- Switch Type: Remote Control
- Light...",False,https://jiji.com.gh/circle/lighting/decorative-bladeless-ceiling-fan-with-led-light-and-remote-control-a53IV8hjY279LLWjgoj9kpeQ.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Decakila Water Heater,2000.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji",Quality brand New and One Year Warranty,False,https://jiji.com.gh/accra-metropolitan/home-appliances/decakila-water-heater-5K5tRgJ05a8TrtINEG0O7yE0.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Redefining Comfort in Every Season With Sigma 1.5hp Mirror Ac,4000.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",3+ years on Jiji,"It reliable, affordable, quality and comes with one year warranty",False,https://jiji.com.gh/accra-metropolitan/home-appliances/redefining-comfort-in-every-season-with-sigma-1-5hp-mirror-ac-1ANGyOVDawwSVatttgW76bMg.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Floor Lamp/Standing Lamp,500.0,,Greater Accra,Madina,"Greater Accra, Madina",,"Floor Lamp / Standing Lamp 
Modern Design Decoration Standing Light Linen Fabric Tripod Metal Floor...",False,https://jiji.com.gh/madina/lighting/floor-lamp-standing-lamp-bbbOVCtXPR3cSirmDTUPgb2j.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",TCL Air Conditioner Top Quality Cooling 1.5hp Split System,3800.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,Quality And Affordable One Year Warranty,False,https://jiji.com.gh/accra-metropolitan/home-appliances/tcl-air-conditioner-top-quality-cooling-1-5hp-split-system-uQDS4vjQpxcPQ2EvzKh0tipD.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Grab Your Decakila 1600w/2.5l Vacuum Cleaner Decakila,1800.0,Brand New,Greater Accra,Avenor Area,"Greater Accra, Avenor Area",Verified ID,Quality and Affordable One Year Warranty,False,https://jiji.com.gh/avenor-area/home-appliances/grab-your-decakila-1600w-2-5l-vacuum-cleaner-decakila-ozUutUq75qznMX0zJGzBsdu.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances","Pearl Split Ac – Your Room’S Best Friend
Pearl Ac",3300.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,Quality and affordable one year warranty,False,https://jiji.com.gh/accra-metropolitan/home-appliances/pearl-split-ac-your-rooms-best-friend-pearl-ac-fRPFfYPwdJe4ELswheZmwmcU.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",RGB Ambient Tube Light Bar,350.0,,Greater Accra,Labadi,"Greater Accra, Labadi",3+ years on Jiji,The RGB atmosphere light has 260° light-emitting surface and over 500 kinds of light-changing modes....,False,https://jiji.com.gh/labadi/lighting/rgb-ambient-tube-light-bar-n3XyKWOlQVQ8TCbNy0hAUMIy.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Decakila Sandwich Maker 1200w,350.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",5+ years on Jiji,Quality and affordable one year warranty,False,https://jiji.com.gh/accra-metropolitan/kitchen-appliances/decakila-sandwich-maker-1200w-8Z77Hnk9UDD0bhYtQaPSvjgr.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Top Tower 1.5hptcl,3799.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,Quality and Affordable prices with one year warranty,False,https://jiji.com.gh/accra-metropolitan/home-appliances/top-tower-1-5hptcl-jVdrhxFL6mCAupwIQ2O2iQgO.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",3watts Spot Lights. All Colours,13.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,3watts spotlight all colours available,False,https://jiji.com.gh/accra-metropolitan/lighting/3watts-spot-lights-all-colours-qfczY93Md7pkEVTmiK29OCLP.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Roch Live Smart Refrigerator Brand New,3600.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,Quality and affordable one year warranty,False,https://jiji.com.gh/accra-metropolitan/kitchen-appliances/roch-live-smart-refrigerator-brand-new-gkSOvMrzBD8vCKljtnr7d4Bm.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Flamino Twin Tub Washing Machine – Smart 41kwh Performance,2000.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,Premium twin tub construction with smooth operation and efficient energy performance.,False,https://jiji.com.gh/accra-metropolitan/home-appliances/flamino-twin-tub-washing-machine-smart-41kwh-performance-ra5YsLSrrn7ipzeMC9f8ReqO.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Center Table,800.0,Brand New,Greater Accra,Ashaiman Municipal,"Greater Accra, Ashaiman Municipal","Verified ID, 3+ years on Jiji","Center Table from Best Style Carpentry.
Size:
Length 30 inches
Width 18 inches 
Height 18 inches...",False,https://jiji.com.gh/ashaiman-municipal/furniture/center-table-110DZe6X2jLQMLXnpyjtKTAY.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Lg Electric Oven Built In,11500.0,Brand New,Greater Accra,Airport Residential Area,"Greater Accra, Airport Residential Area","Verified ID, 5+ years on Jiji","He LG WSEZM7225S2 is designed with a focus on high-capacity cooking, energy efficiency, and...",True,https://jiji.com.gh/airport-residential-area/kitchen-appliances/lg-electric-oven-built-in-kSnRaqHFD0nI37sVq8hjl4Pj.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Modern Decorative Ceiling Pendant Light,650.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 3+ years on Jiji","Color changing ( white, warm, off white)",False,https://jiji.com.gh/accra-metropolitan/lighting/modern-decorative-ceiling-pendant-light-8q6M8vnfbWyw0dmQbRTsqxBc.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances",Jellyfish Night Light With Speaker,199.0,,Greater Accra,West Legon,"Greater Accra, West Legon",3+ years on Jiji,Transform Your Space: Immerse yourself in the serene beauty of an underwater oasis with the Creative...,False,https://jiji.com.gh/west-legon/lighting/jellyfish-night-light-with-speaker-ndXJHyhKnzsRJE03fo2SxWoG.html,Jiji Ghana (jiji.com.gh),2026-04-20
"Home, Furniture & Appliances","Led Neon Rope Light (5m, Rgb, Smart Control)",190.0,,Greater Accra,Adenta,"Greater Accra, Adenta",,"Name: LED Neon Rope Light (5m, RGB, Smart Control)
Short Description: Decorative LED Neon Rope Light...",False,https://jiji.com.gh/adenta-municipal/lighting/led-neon-rope-light-5m-rgb-smart-control-tSoKcMo5uf5IPa1qtk9AuLUp.html,Jiji Ghana (jiji.com.gh),2026-04-20
