category,title,price_ghs,condition,tags,region,area,location,price_outlier_flag,url,source,scraped_date
"Home, Furniture & Appliances",Table With Bookshelf,1150.0,Brand New,Brand New,Greater Accra,Ablekuma,"Greater Accra, Ablekuma",False,https://tonaton.com/a-MfYFNdCgosUWvkt92OX0EJEjAEP80DRl-table-with-bookshelf.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Bookshelves/Storage,550.0,Brand New,Brand New,Greater Accra,Ablekuma,"Greater Accra, Ablekuma",False,https://tonaton.com/a-MfYFNdCgouN7Aj7bW7t2WWT4s0CkNEkO-bookshelves-storage.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Propylene Glycol - 250ml,25.0,,,Greater Accra,Nungua,"Greater Accra, Nungua",False,https://tonaton.com/a-MfYFNdCgtsZnKiWm0tWlUBUP96mmDIaO-propylene-glycol-250ml.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Hoffmans 2 in 1 Blender,350.0,Brand New,Brand New,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",False,https://tonaton.com/a-MfYFNdCgq3oREa4ehUvTs1ipq7zrvmwv-hoffmans-2-in-1-blender.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Double Gas Cylinder Cage,1700.0,Brand New,Brand New,Greater Accra,Lapaz,"Greater Accra, Lapaz",False,https://tonaton.com/a-MfYFNdCgD9iPT4ROWvMT8P5qSzofvB9V-double-gas-cylinder-cage.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",8 Pieces Ceramic Mug Set,150.0,,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgQHgAQXTKmw9e7Qxa82Mj1PBZ-8-pieces-ceramic-mug-set.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Bardefu 8 in 1 Commercial Professional Power Multo- Purpose Blender 4l,460.0,Brand New,Brand New,Greater Accra,Odorkor,"Greater Accra, Odorkor",False,https://tonaton.com/a-MfYFNdCgKqbOmkLJkqKC15dCZD4rguND-bardefu-8-in-1-commercial-professional-power-multo-purpose-blender-4l.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",50*50 Gas Burner With Oven and Grill,1500.0,Brand New,Brand New,Greater Accra,Dansoman,"Greater Accra, Dansoman",False,https://tonaton.com/a-MfYFNdCgfrEoZFOV10A9QZIufNAEb61j-50-50-gas-burner-with-oven-and-grill.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Eco-Friendly Hydrocarbon Refrigerant With Zero Ozone Depletion.,495.0,Brand New,Brand New,Greater Accra,Airport Residential Area,"Greater Accra, Airport Residential Area",False,https://tonaton.com/a-MfYFNdCgllWAmCumGTUV4xniNMPJvyhZ-eco-friendly-hydrocarbon-refrigerant-with-zero-ozone-depletion.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",White Pebbles,400.0,,Bulk prices,Greater Accra,Airport Residential Area,"Greater Accra, Airport Residential Area",False,https://tonaton.com/a-MfYFNdCgdOHjIaU1ztoYt5Tes3fXsn2o-white-pebbles.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Hachima 12kg Fully Automatic Washing Machine,3100.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgvwBG97BWHLmN7boA0vsjPtIV-hachima-12kg-fully-automatic-washing-machine.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Manual Juicer#.Out of Stock Now,70.0,Brand New,Brand New,Greater Accra,Burma Camp,"Greater Accra, Burma Camp",False,https://tonaton.com/a-MfYFNdCgRULxs0ED06812V2VlYLzw87z-manual-juicer-out-of-stock-now.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Toilet Gel Fragrance,5.0,,,Greater Accra,Odorkor,"Greater Accra, Odorkor",False,https://tonaton.com/a-LuubBC0h4H0bSIOt823iTonexJslUWh-toilet-gel-fragrance.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",16kg Gas Cylinder Cage,650.0,,,Greater Accra,Lapaz,"Greater Accra, Lapaz",False,https://tonaton.com/a-MfYFNdCgcvZcIb1XGBBsQHoCtwovVFVC-16kg-gas-cylinder-cage.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",White Stones,100.0,,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgB2UPtHOF5cFBqzi82QnnVKdx-white-stones.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Water Cups With Straw,40.0,,,Greater Accra,Ablekuma,"Greater Accra, Ablekuma",False,https://tonaton.com/a-MfYFNdCgjCmlMAf8SyGeyzZGB8T1aOdF-water-cups-with-straw.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Reliable 10kg Westpool Washing Machine,3000.0,Brand New,Brand New,Greater Accra,Avenor Area,"Greater Accra, Avenor Area",False,https://tonaton.com/a-MfYFNdCgVvyzxFSC4sQWpytJbwssVAyu-reliable-10kg-westpool-washing-machine.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",10pcs Decorative Love Balloons,50.0,,,Greater Accra,Ablekuma,"Greater Accra, Ablekuma",False,https://tonaton.com/a-MfYFNdCgxNGtl6LbL7NmQxR6n3BHZlKz-10pcs-decorative-love-balloons.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Rose Petals,12.0,,,Greater Accra,Ablekuma,"Greater Accra, Ablekuma",False,https://tonaton.com/a-MfYFNdCgRTCzRxi0MOzdLyG2uhFkX0hU-rose-petals.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Big Fridge,3800.0,Used,Used,Greater Accra,East Legon,"Greater Accra, East Legon",False,https://tonaton.com/a-MfYFNdCgdOyu2ohhFPay9I1kYUVlTcLh-big-fridge.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Roch RFR-120s-I Refrigerators 92 LTRS – Silver,1699.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgtg08iKLU5CQFgs98VMil75NV-roch-rfr-120s-i-refrigerators-92-ltrs-silver.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Quality Home Furniture,1500.0,Brand New,Brand New,Greater Accra,Ablekuma,"Greater Accra, Ablekuma",False,https://tonaton.com/a-MfYFNdCgedxFBEtLQTAhuj2H34YNxpiU-quality-home-furniture.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Cyclonia Cordless Steam Iron,450.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-LuubBC0gfBMAOZ0pFvcrHALh5qkEO1E-cyclonia-cordless-steam-iron.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Butane Gas Canister -220g,45.0,,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgGEoebI4wB6n4BqsH461oV4nm-butane-gas-canister-220g.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Morden Crystal Dressing Mirror Set,1350.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgncxXfPTqwpTwiA4UI4qtwA0P-morden-crystal-dressing-mirror-set.html,Tonaton Ghana (tonaton.com),2026-04-20
"Home, Furniture & Appliances",Midea 30 LTR Solo Microwave With Oven - EM9P032MX,1999.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgbTn5fKOq8jidt9FgOj44UZYV-midea-30-ltr-solo-microwave-with-oven-em9p032mx.html,Tonaton Ghana (tonaton.com),2026-04-20
