category,title,price_ghs,condition,tags,region,area,location,price_outlier_flag,url,source,scraped_date
Vehicles,Honda CR-V 2024 Blue,460000.0,Foreign Used,"Foreign Used, Automatic",Greater Accra,Madina,"Greater Accra, Madina",True,https://tonaton.com/a-MfYFNdCgWgXG83k61SRLDHF9nS0jJwU8-honda-cr-v-2024-blue.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Hyundai Avante 2013 White,125000.0,Foreign Used,"Foreign Used, Automatic",Greater Accra,Madina,"Greater Accra, Madina",True,https://tonaton.com/a-MfYFNdCgtWELCdPWlYLIUQ3zJNVsL1Km-hyundai-avante-2013-white.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,New Chery Tiggo 2 2024 Black,211000.0,Brand New,"Brand New, Automatic",Greater Accra,Dworwulu,"Greater Accra, Dworwulu",True,https://tonaton.com/a-MfYFNdCgUmtUKIs69TjRhmYudUyFMQ3C-new-chery-tiggo-2-2024-black.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Honda CR-V 2016 Brown,265000.0,Foreign Used,"Foreign Used, Automatic",Greater Accra,Madina,"Greater Accra, Madina",True,https://tonaton.com/a-MfYFNdCh2DgIVgTTWQTuUCLsO8wPPvVe-honda-cr-v-2016-brown.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Kia Seltos 2026 White,455000.0,Foreign Used,"Foreign Used, Automatic",Greater Accra,Madina,"Greater Accra, Madina",True,https://tonaton.com/a-MfYFNdCgGQUtP68XFk0sP94XsTaQ9yKA-kia-seltos-2026-white.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Hyundai Santa Fe 2017 White,225000.0,Foreign Used,"Foreign Used, Automatic",Greater Accra,Madina,"Greater Accra, Madina",True,https://tonaton.com/a-MfYFNdCgGyvkHC3j4xeujIDBDCs5mbMB-hyundai-santa-fe-2017-white.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Kia K5 2013 White,145000.0,Foreign Used,"Foreign Used, Automatic",Greater Accra,Madina,"Greater Accra, Madina",True,https://tonaton.com/a-MfYFNdCgESgzvSYjSbNJVLSKxMoBoHKl-kia-k5-2013-white.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Toyota Highlander 2018 Taillight Led,1700.0,Brand New,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",False,https://tonaton.com/a-MfYFNdCgVbSOxtdWFUkIO6uxUhVeIQL7-toyota-highlander-2018-taillight-led.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Hyundai Elantra Limited 4dr Sedan (1.8L 4cyl 6A) 2014 Gray,95000.0,Used,"Local Used, Automatic, 84000 km",Greater Accra,Oyarifa,"Greater Accra, Oyarifa",True,https://tonaton.com/a-MfYFNdCgEK40VEU90Kahep3vxdMKStQy-hyundai-elantra-limited-4dr-sedan-1-8l-4cyl-6a-2014-gray.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Uiszl R134a Refrigerator Gas,150.0,Brand New,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",False,https://tonaton.com/a-MfYFNdCge612LgPF1tFFEvj6FyEsI383-uiszl-r134a-refrigerator-gas.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Home Used Rims,800.0,Used,Used,Greater Accra,Darkuman,"Greater Accra, Darkuman",False,https://tonaton.com/a-MfYFNdCgt6eQC8EwYe2zDOR2RhZscyZr-home-used-rims.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Original Toyota Rims,3500.0,Used,Used,Greater Accra,Darkuman,"Greater Accra, Darkuman",False,https://tonaton.com/a-MfYFNdCgZWPn6OS1olFJ25W1BO31DnE6-original-toyota-rims.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,R134 Uzil Original Ac Gas,60.0,Brand New,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",False,https://tonaton.com/a-MfYFNdCgsWk3mWh4DpznMWuXnQPHkK3p-r134-uzil-original-ac-gas.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,15 Plate Tacoma Battery,850.0,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",False,https://tonaton.com/a-MfYFNdCgtSzTfn46qRWX3ZoBNsIp7YlN-15-plate-tacoma-battery.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Original Toyota Corolla in All Sizes,1400.0,Brand New,Brand New,Greater Accra,Darkuman,"Greater Accra, Darkuman",False,https://tonaton.com/a-MfYFNdCgvYdYn5HutCj1v8GAHLeYhQg4-original-toyota-corolla-in-all-sizes.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Home Used Rims for All Cars,1000.0,Used,Used,Greater Accra,Darkuman,"Greater Accra, Darkuman",False,https://tonaton.com/a-MfYFNdCgwSksUCpZNNRNOkEi0yJOoEmM-home-used-rims-for-all-cars.html,Tonaton Ghana (tonaton.com),2026-04-20
Vehicles,Used Rims Available,1800.0,Used,Used,Greater Accra,Darkuman,"Greater Accra, Darkuman",False,https://tonaton.com/a-MfYFNdCgZY4S6tokHdfrglRK55iHDuur-used-rims-available.html,Tonaton Ghana (tonaton.com),2026-04-20
