date,source,last_updated,cpi_overall_index,cpi_food_non_alcoholic_beverages,cpi_non_food,headline_inflation,core_inflation_excl_energy
2025-Dec,Bank of Ghana Statistical Bulletin,2026-04-20,261.7167,291.0393,239.0999,5.388,4.5663
2025-Nov,Bank of Ghana Statistical Bulletin,2026-04-20,259.3518,287.8874,237.6504,6.3284,5.4491
2025-Oct,Bank of Ghana Statistical Bulletin,2026-04-20,256.9712,284.8763,235.686,8.0463,7.3732
2025-Sep,Bank of Ghana Statistical Bulletin,2026-04-20,258.0221,287.4805,235.5422,9.4192,8.8263
2025-Aug,Bank of Ghana Statistical Bulletin,2026-04-20,255.7121,285.898,232.8647,11.4784,11.5187
2025-Jul,Bank of Ghana Statistical Bulletin,2026-04-20,259.0624,293.2236,233.206,12.1378,11.996
2025-Jun,Bank of Ghana Statistical Bulletin,2026-04-20,257.323,291.3581,231.562,13.667,12.9979
2025-May,Bank of Ghana Statistical Bulletin,2026-04-20,260.4575,292.7886,235.6867,18.3778,18.4098
2025-Apr,Bank of Ghana Statistical Bulletin,2026-04-20,258.5883,290.2406,234.3376,21.2402,20.978
2025-Mar,Bank of Ghana Statistical Bulletin,2026-04-20,256.5302,287.6523,232.6856,22.4055,23.2
2025-Feb,Bank of Ghana Statistical Bulletin,2026-04-20,255.8923,288.1596,231.1703,23.1331,22.4
2025-Jan,Bank of Ghana Statistical Bulletin,2026-04-20,252.6154,283.198,229.1842,23.4802,22.8
2024-Dec,Bank of Ghana Statistical Bulletin,2026-04-20,248.3363,277.5415,225.9604,23.8197,23.1
2024-Nov,Bank of Ghana Statistical Bulletin,2026-04-20,243.9158,270.037,240.1,23.0261,22.4
2024-Oct,Bank of Ghana Statistical Bulletin,2026-04-20,237.8343,260.1816,220.7127,22.0946,21.4
2024-Sep,Bank of Ghana Statistical Bulletin,2026-04-20,235.8107,259.4694,217.6843,21.4572,20.8
2024-Aug,Bank of Ghana Statistical Bulletin,2026-04-20,229.3826,249.041,214.321,20.3674,19.4
2024-Jul,Bank of Ghana Statistical Bulletin,2026-04-20,231.0245,254.6599,212.916,20.9484,19.9
2024-Jun,Bank of Ghana Statistical Bulletin,2026-04-20,226.3833,250.5015,207.9048,22.7504,22.1
2024-May,Bank of Ghana Statistical Bulletin,2026-04-20,220.0222,238.3761,205.9603,23.148,22.6
2024-Apr,Bank of Ghana Statistical Bulletin,2026-04-20,213.2677,232.1309,198.8326,25.0396,24.8
2024-Mar,Bank of Ghana Statistical Bulletin,2026-04-20,209.543,227.3076,195.9485,25.7876,26.3
2024-Feb,Bank of Ghana Statistical Bulletin,2026-04-20,207.7851,224.966,194.6373,23.1833,24.0
2024-Jan,Bank of Ghana Statistical Bulletin,2026-04-20,204.55,220.66,192.22,23.5194,24.1551
2023-Dec,Bank of Ghana Statistical Bulletin,2026-04-20,200.539,217.1857,187.8001,23.1892,24.1825
2023-Nov,Bank of Ghana Statistical Bulletin,2026-04-20,198.242,214.379,185.893,26.4102,27.1648
2023-Oct,Bank of Ghana Statistical Bulletin,2026-04-20,195.2424,212.6408,181.8965,35.2144,36.1693
2023-Sep,Bank of Ghana Statistical Bulletin,2026-04-20,194.1302,212.4982,180.0739,38.0845,38.99
2023-Aug,Bank of Ghana Statistical Bulletin,2026-04-20,190.5567,209.1051,176.3626,40.0673,40.9863
2023-Jul,Bank of Ghana Statistical Bulletin,2026-04-20,191.0023,209.683,176.7068,43.0858,44.2011
2023-Jun,Bank of Ghana Statistical Bulletin,2026-04-20,184.4217,201.9903,170.9606,42.5003,43.4682
2023-May,Bank of Ghana Statistical Bulletin,2026-04-20,178.6602,194.3613,166.6301,42.2,42.7872
2023-Apr,Bank of Ghana Statistical Bulletin,2026-04-20,170.5,182.9596,161.0376,41.2,41.6575
2023-Mar,Bank of Ghana Statistical Bulletin,2026-04-20,166.6,175.36,159.84,45.0,44.6439
2023-Feb,Bank of Ghana Statistical Bulletin,2026-04-20,168.7,177.0646,162.2602,52.8,51.9986
2023-Jan,Bank of Ghana Statistical Bulletin,2026-04-20,165.6,173.5518,159.5113,53.6,52.7703
2022-Dec,Bank of Ghana Statistical Bulletin,2026-04-20,162.79,168.7798,158.2055,54.1,53.2403
2022-Nov,Bank of Ghana Statistical Bulletin,2026-04-20,156.8,162.1458,152.7521,50.3,49.6883
2022-Oct,Bank of Ghana Statistical Bulletin,2026-04-20,144.4,146.8794,142.4934,40.4,39.66
2022-Sep,Bank of Ghana Statistical Bulletin,2026-04-20,140.06,142.2948,139.2842,37.2,36.2
2022-Aug,Bank of Ghana Statistical Bulletin,2026-04-20,176.3,181.2616,172.4759,33.9,32.7638
2022-Jul,Bank of Ghana Statistical Bulletin,2026-04-20,172.9854,178.0721,169.0631,31.7,30.4576
2022-Jun,Bank of Ghana Statistical Bulletin,2026-04-20,167.7118,172.4119,164.0876,29.8,28.6244
2022-May,Bank of Ghana Statistical Bulletin,2026-04-20,162.8,168.5605,158.4354,27.6,26.6363
2022-Apr,Bank of Ghana Statistical Bulletin,2026-04-20,156.4966,162.0223,152.2358,23.4,22.5158
2022-Mar,Bank of Ghana Statistical Bulletin,2026-04-20,148.8,153.123,145.529,19.4,18.5824
2022-Feb,Bank of Ghana Statistical Bulletin,2026-04-20,143.0452,146.4797,140.3968,15.7,14.9897
2022-Jan,Bank of Ghana Statistical Bulletin,2026-04-20,139.7477,141.8827,138.1015,13.9,13.2849
2021-Dec,Bank of Ghana Statistical Bulletin,2026-04-20,136.8567,139.1139,135.1162,12.6,11.913
2021-Nov,Bank of Ghana Statistical Bulletin,2026-04-20,135.2,137.41,133.48,12.2,11.4675
2021-Oct,Bank of Ghana Statistical Bulletin,2026-04-20,133.3041,134.5307,132.3582,11.0,10.2821
2021-Sep,Bank of Ghana Statistical Bulletin,2026-04-20,132.4975,134.9184,130.6307,10.6,10.0347
2021-Aug,Bank of Ghana Statistical Bulletin,2026-04-20,131.653,134.9102,129.1413,9.7,9.4614
2021-Jul,Bank of Ghana Statistical Bulletin,2026-04-20,131.2999,134.646,128.7197,9.0,8.8295
2021-Jun,Bank of Ghana Statistical Bulletin,2026-04-20,129.1885,131.9448,127.0632,7.8,7.5214
2021-May,Bank of Ghana Statistical Bulletin,2026-04-20,127.5716,129.5783,126.0243,7.5,7.5029
2021-Apr,Bank of Ghana Statistical Bulletin,2026-04-20,126.5839,127.9394,125.5387,8.5,8.8323
2021-Mar,Bank of Ghana Statistical Bulletin,2026-04-20,124.7,125.0705,124.3552,10.3,11.0704
2021-Feb,Bank of Ghana Statistical Bulletin,2026-04-20,123.6,124.8154,122.6525,10.3,11.088
2021-Jan,Bank of Ghana Statistical Bulletin,2026-04-20,122.7,124.8227,120.9874,9.9,10.7195
2020-Dec,Bank of Ghana Statistical Bulletin,2026-04-20,121.5205,123.371,120.0936,10.4,11.1887
2020-Nov,Bank of Ghana Statistical Bulletin,2026-04-20,120.4,121.5416,119.5917,9.8,10.4746
2020-Oct,Bank of Ghana Statistical Bulletin,2026-04-20,120.0519,121.1645,119.194,10.1,10.9625
2020-Sep,Bank of Ghana Statistical Bulletin,2026-04-20,119.8233,121.0409,118.8844,10.4,11.1964
2020-Aug,Bank of Ghana Statistical Bulletin,2026-04-20,120.0332,121.6948,118.752,10.5,11.3509
2020-Jul,Bank of Ghana Statistical Bulletin,2026-04-20,120.5,123.017,118.5134,11.4,12.3101
2020-Jun,Bank of Ghana Statistical Bulletin,2026-04-20,119.8287,122.9698,117.4065,11.2,12.1591
2020-May,Bank of Ghana Statistical Bulletin,2026-04-20,118.6447,122.8968,115.3653,11.3,12.0308
2020-Apr,Bank of Ghana Statistical Bulletin,2026-04-20,116.6423,120.1818,113.9134,10.6,11.0984
2020-Mar,Bank of Ghana Statistical Bulletin,2026-04-20,112.9932,112.9041,113.062,7.8,7.8882
2020-Feb,Bank of Ghana Statistical Bulletin,2026-04-20,112.0723,111.1743,112.7528,7.8,7.8396
2020-Jan,Bank of Ghana Statistical Bulletin,2026-04-20,111.6075,110.6328,112.359,7.8,7.8366
2019-Dec,Bank of Ghana Statistical Bulletin,2026-04-20,110.0,108.1531,111.5038,7.9,7.8584
2019-Nov,Bank of Ghana Statistical Bulletin,2026-04-20,109.7,108.8028,110.42,8.2,8.113
2019-Oct,Bank of Ghana Statistical Bulletin,2026-04-20,109.0,107.6362,110.0269,7.7,7.5786
2019-Sep,Bank of Ghana Statistical Bulletin,2026-04-20,108.63,109.06,108.3,7.6,7.3763
2019-Aug,Bank of Ghana Statistical Bulletin,2026-04-20,108.68,109.4,108.12,7.8,7.4314
2019-Jul,Bank of Ghana Statistical Bulletin,2026-04-20,242.0,168.1,299.8,9.4355,7.1661
2019-Jun,Bank of Ghana Statistical Bulletin,2026-04-20,240.4655,167.3503,297.6795,9.1245,7.3144
2019-May,Bank of Ghana Statistical Bulletin,2026-04-20,238.5881,165.9518,295.4273,9.4086,6.9065
2019-Apr,Bank of Ghana Statistical Bulletin,2026-04-20,236.4605,165.0269,292.3586,9.4725,6.3178
2019-Mar,Bank of Ghana Statistical Bulletin,2026-04-20,233.9787,164.9178,288.0201,9.2754,6.3618
2019-Feb,Bank of Ghana Statistical Bulletin,2026-04-20,231.2921,162.8452,284.853,9.1702,5.9335
2019-Jan,Bank of Ghana Statistical Bulletin,2026-04-20,229.0081,160.987,282.2359,9.0112,5.7335
2018-Dec,Bank of Ghana Statistical Bulletin,2026-04-20,226.7,158.6,279.9583,9.4251,10.4
2018-Nov,Bank of Ghana Statistical Bulletin,2026-04-20,224.2,156.5,277.2,9.3378,10.3
2018-Oct,Bank of Ghana Statistical Bulletin,2026-04-20,222.5563,154.9931,275.4257,9.5213,10.5
2018-Sep,Bank of Ghana Statistical Bulletin,2026-04-20,221.0,154.8,272.8,9.7768,10.8
2018-Aug,Bank of Ghana Statistical Bulletin,2026-04-20,221.1349,156.6,271.6,9.9,10.8
2018-Jul,Bank of Ghana Statistical Bulletin,2026-04-20,221.1349,157.6945,270.7782,9.6252,10.56
2018-Jun,Bank of Ghana Statistical Bulletin,2026-04-20,220.3588,157.1885,269.7907,10.0,10.97
2018-May,Bank of Ghana Statistical Bulletin,2026-04-20,218.0707,155.4637,267.0618,9.8052,10.7
2018-Apr,Bank of Ghana Statistical Bulletin,2026-04-20,216.0,153.75,264.71,9.6,10.4
