column_name,display_name,description,data_type,unit,example_value,null_count,null_pct
source,Source,Data source organisation,object,,Ghana Statistical Service (GSS StatsBank),0,0.0%
last_updated,Last Updated,Date data was last refreshed,object,YYYY-MM-DD,2026-04-20,0,0.0%
period,Period,"Time period (YYYY-MM for monthly, YYYY-QN for quarterly)",object,,2024-06,0,0.0%
indicative_price_diesel_price_ghc_litre,Indicative Price Diesel Price Ghc Litre,,float64,,14.25,187,63.4%
indicative_price_petrol_price_ghc_litre,Indicative Price Petrol Price Ghc Litre,,float64,,14.14,187,63.4%
indicative_price_brent_crude_oil_price_usd_barrel,Indicative Price Brent Crude Oil Price Usd Barrel,,float64,,83.01,0,0.0%
indicative_price_gold_price_usd_fine_ounce,Indicative Price Gold Price Usd Fine Ounce,,float64,,2325.34,0,0.0%
indicative_price_cocoa_price_usd_tonne,Indicative Price Cocoa Price Usd Tonne,,float64,,9022.58,0,0.0%
realised_price_diesel_price_ghc_litre,Realised Price Diesel Price Ghc Litre,,float64,,,295,100.0%
realised_price_petrol_price_ghc_litre,Realised Price Petrol Price Ghc Litre,,float64,,,295,100.0%
realised_price_brent_crude_oil_price_usd_barrel,Realised Price Brent Crude Oil Price Usd Barrel,,float64,,81.38,133,45.1%
realised_price_gold_price_usd_fine_ounce,Realised Price Gold Price Usd Fine Ounce,,float64,,2205.9,121,41.0%
realised_price_cocoa_price_usd_tonne,Realised Price Cocoa Price Usd Tonne,,float64,,2806.83,121,41.0%
