column_name,display_name,description,data_type,unit,example_value,null_count,null_pct
source,Source,Data source organisation,object,,Ghana Statistical Service (GSS StatsBank),0,0.0%
last_updated,Last Updated,Date data was last refreshed,object,YYYY-MM-DD,2026-04-20,0,0.0%
period,Period,"Time period (YYYY-MM for monthly, YYYY-QN for quarterly)",object,,2024-Q2,0,0.0%
value_in_ghana_cedis_total_revenue_and_grants,Value In Ghana Cedis Total Revenue And Grants,,float64,,42595467458.7,0,0.0%
value_in_ghana_cedis_domestic_revenue,Value In Ghana Cedis Domestic Revenue,,float64,,84599883823.0,0,0.0%
value_in_ghana_cedis_tax_revenue,Value In Ghana Cedis Tax Revenue,,float64,,35165389424.9,0,0.0%
value_in_ghana_cedis_taxes_on_income_and_property_direct,Value In Ghana Cedis Taxes On Income And Property Direct,,float64,,18851358651.7,0,0.0%
value_in_ghana_cedis_company_taxes,Value In Ghana Cedis Company Taxes,,float64,,7626805322.9,0,0.0%
value_in_ghana_cedis_company_taxes_on_oil,Value In Ghana Cedis Company Taxes On Oil,,float64,,1821884170.7,34,14.8%
value_in_ghana_cedis_other_direct_taxes,Value In Ghana Cedis Other Direct Taxes,,float64,,3351472490.0,0,0.0%
value_in_ghana_cedis_taxes_on_domestic_goods_and_services_indirect,Value In Ghana Cedis Taxes On Domestic Goods And Services Indirect,,float64,,13689944326.7,0,0.0%
value_in_ghana_cedis_vat,Value In Ghana Cedis Vat,,float64,,7609602204.5,0,0.0%
value_in_ghana_cedis_international_trade_taxes,Value In Ghana Cedis International Trade Taxes,,float64,,4616514359.7,0,0.0%
value_in_ghana_cedis_import_duties,Value In Ghana Cedis Import Duties,,float64,,4616514359.7,0,0.0%
value_in_ghana_cedis_grants,Value In Ghana Cedis Grants,,float64,,295525547.2,0,0.0%
value_in_ghana_cedis_total_expenditure,Value In Ghana Cedis Total Expenditure,,float64,,50941189213.1,0,0.0%
value_in_ghana_cedis_compensation_of_employees,Value In Ghana Cedis Compensation Of Employees,,float64,,16088370059.5,0,0.0%
value_in_ghana_cedis_interest_payments,Value In Ghana Cedis Interest Payments,,float64,,4494648592.2,0,0.0%
value_in_ghana_cedis_grants_to_other_government_units,Value In Ghana Cedis Grants To Other Government Units,,float64,,10944905690.1,34,14.8%
value_in_ghana_cedis_capital_expenditure,Value In Ghana Cedis Capital Expenditure,,float64,,9271607911.3,0,0.0%
value_in_ghana_cedis_overall_balance_incl_divestiture_and_discrepancy,Value In Ghana Cedis Overall Balance Incl Divestiture And Discrepancy,,float64,,-11246322406.2,0,0.0%
value_in_ghana_cedis_financing,Value In Ghana Cedis Financing,,float64,,11246322406.2,0,0.0%
value_in_ghana_cedis_foreign_financing_net,Value In Ghana Cedis Foreign Financing Net,,float64,,3426735614.8,0,0.0%
value_in_ghana_cedis_domestic_financing_net,Value In Ghana Cedis Domestic Financing Net,,float64,,8298730119.4,0,0.0%
percentage_of_annual_gdp_total_revenue_and_grants,Percentage Of Annual Gdp Total Revenue And Grants,,float64,,16.2,59,25.8%
percentage_of_annual_gdp_domestic_revenue,Percentage Of Annual Gdp Domestic Revenue,,float64,,31.7,59,25.8%
percentage_of_annual_gdp_tax_revenue,Percentage Of Annual Gdp Tax Revenue,,float64,,13.1,59,25.8%
percentage_of_annual_gdp_taxes_on_income_and_property_direct,Percentage Of Annual Gdp Taxes On Income And Property Direct,,float64,,6.7,59,25.8%
percentage_of_annual_gdp_company_taxes,Percentage Of Annual Gdp Company Taxes,,float64,,3.0,59,25.8%
percentage_of_annual_gdp_company_taxes_on_oil,Percentage Of Annual Gdp Company Taxes On Oil,,float64,,0.6,59,25.8%
percentage_of_annual_gdp_other_direct_taxes,Percentage Of Annual Gdp Other Direct Taxes,,float64,,1.1,59,25.8%
percentage_of_annual_gdp_taxes_on_domestic_goods_and_services_indirect,Percentage Of Annual Gdp Taxes On Domestic Goods And Services Indirect,,float64,,5.4,59,25.8%
percentage_of_annual_gdp_vat,Percentage Of Annual Gdp Vat,,float64,,3.0,59,25.8%
percentage_of_annual_gdp_international_trade_taxes,Percentage Of Annual Gdp International Trade Taxes,,float64,,1.7,59,25.8%
percentage_of_annual_gdp_import_duties,Percentage Of Annual Gdp Import Duties,,float64,,1.7,59,25.8%
percentage_of_annual_gdp_grants,Percentage Of Annual Gdp Grants,,float64,,0.3,59,25.8%
percentage_of_annual_gdp_total_expenditure,Percentage Of Annual Gdp Total Expenditure,,float64,,18.4,59,25.8%
percentage_of_annual_gdp_compensation_of_employees,Percentage Of Annual Gdp Compensation Of Employees,,float64,,6.0,59,25.8%
percentage_of_annual_gdp_interest_payments,Percentage Of Annual Gdp Interest Payments,,float64,,3.5,59,25.8%
percentage_of_annual_gdp_grants_to_other_government_units,Percentage Of Annual Gdp Grants To Other Government Units,,float64,,3.7,59,25.8%
percentage_of_annual_gdp_capital_expenditure,Percentage Of Annual Gdp Capital Expenditure,,float64,,2.5,59,25.8%
percentage_of_annual_gdp_overall_balance_incl_divestiture_and_discrepancy,Percentage Of Annual Gdp Overall Balance Incl Divestiture And Discrepancy,,float64,,-3.1,59,25.8%
percentage_of_annual_gdp_financing,Percentage Of Annual Gdp Financing,,float64,,3.3,59,25.8%
percentage_of_annual_gdp_foreign_financing_net,Percentage Of Annual Gdp Foreign Financing Net,,float64,,1.3,59,25.8%
percentage_of_annual_gdp_domestic_financing_net,Percentage Of Annual Gdp Domestic Financing Net,,float64,,2.0,59,25.8%
