column_name,display_name,description,data_type,unit,example_value,null_count,null_pct
source,Source,Data source organisation,object,,Ghana Statistical Service (GSS StatsBank),0,0.0%
last_updated,Last Updated,Date data was last refreshed,object,YYYY-MM-DD,2026-04-20,0,0.0%
period,Period,"Time period (YYYY-MM for monthly, YYYY-QN for quarterly)",object,,2025-Q3,0,0.0%
index_of_industrial_production_all_industries,Index Of Industrial Production All Industries,,float64,,102.6,0,0.0%
index_of_industrial_production_mining_and_quarrying,Index Of Industrial Production Mining And Quarrying,,float64,,98.0,0,0.0%
index_of_industrial_production_extraction_of_crude_petroleum_and_natural_gas,Index Of Industrial Production Extraction Of Crude Petroleum And Natural Gas,,float64,,79.1,0,0.0%
index_of_industrial_production_mining_of_metal_ores,Index Of Industrial Production Mining Of Metal Ores,,float64,,115.6,0,0.0%
index_of_industrial_production_other_mining_and_quarrying,Index Of Industrial Production Other Mining And Quarrying,,float64,,131.1,0,0.0%
index_of_industrial_production_manfacturing,Index Of Industrial Production Manfacturing,,float64,,111.1,0,0.0%
index_of_industrial_production_manufacture_of_food_products,Index Of Industrial Production Manufacture Of Food Products,,float64,,98.9,0,0.0%
index_of_industrial_production_manufacture_of_beverages,Index Of Industrial Production Manufacture Of Beverages,,float64,,114.3,0,0.0%
index_of_industrial_production_manufacture_of_textiles,Index Of Industrial Production Manufacture Of Textiles,,float64,,104.7,0,0.0%
index_of_industrial_production_manufacture_of_wearing_apparel,Index Of Industrial Production Manufacture Of Wearing Apparel,,float64,,113.6,0,0.0%
index_of_industrial_production_manufacture_of_leather_and_related_products,Index Of Industrial Production Manufacture Of Leather And Related Products,,float64,,86.0,0,0.0%
index_of_industrial_production_manufacture_of_wood_and_of_products_of_wood_and_cork,Index Of Industrial Production Manufacture Of Wood And Of Products Of Wood And Cork,,float64,,122.8,0,0.0%
index_of_industrial_production_manufacture_of_paper_and_paper_products,Index Of Industrial Production Manufacture Of Paper And Paper Products,,float64,,128.1,0,0.0%
index_of_industrial_production_printing_and_reproduction_of_recorded_media,Index Of Industrial Production Printing And Reproduction Of Recorded Media,,float64,,151.4,0,0.0%
index_of_industrial_production_manufacture_of_coke_and_refined_petroleum_products,Index Of Industrial Production Manufacture Of Coke And Refined Petroleum Products,,float64,,148.7,0,0.0%
index_of_industrial_production_manufacture_of_chemicals_and_chemical_products,Index Of Industrial Production Manufacture Of Chemicals And Chemical Products,,float64,,98.5,0,0.0%
index_of_industrial_production_manufacture_of_pharmaceuticals_medicinal_chemical_and_botanical_products,Index Of Industrial Production Manufacture Of Pharmaceuticals Medicinal Chemical And Botanical Products,,float64,,118.0,0,0.0%
index_of_industrial_production_manufacture_of_rubber_and_plastics_products,Index Of Industrial Production Manufacture Of Rubber And Plastics Products,,float64,,150.2,0,0.0%
index_of_industrial_production_manufacture_of_other_non_metallic_mineral_products,Index Of Industrial Production Manufacture Of Other Non Metallic Mineral Products,,float64,,136.7,0,0.0%
index_of_industrial_production_manufacture_of_basic_metals,Index Of Industrial Production Manufacture Of Basic Metals,,float64,,123.7,0,0.0%
index_of_industrial_production_manufacture_of_fabricated_metal_products_except_machinery_and_equipment,Index Of Industrial Production Manufacture Of Fabricated Metal Products Except Machinery And Equipment,,float64,,109.8,0,0.0%
