column_name,display_name,description,data_type,unit,example_value,null_count,null_pct
source,Source,Data source organisation,object,,Ghana Statistical Service (GSS StatsBank),0,0.0%
last_updated,Last Updated,Date data was last refreshed,object,YYYY-MM-DD,2026-04-20,0,0.0%
period,Period,"Time period (YYYY-MM for monthly, YYYY-QN for quarterly)",object,,2025-Q2,0,0.0%
value_in_ghana_cedis_nominal_total_trade_all_products,Value In Ghana Cedis Nominal Total Trade All Products,,int64,,157314990553,0,0.0%
value_in_ghana_cedis_nominal_total_trade_gold,Value In Ghana Cedis Nominal Total Trade Gold,,int64,,60680120549,0,0.0%
value_in_ghana_cedis_nominal_total_trade_mineral_fuels_and_oils,Value In Ghana Cedis Nominal Total Trade Mineral Fuels And Oils,,int64,,23638545323,0,0.0%
value_in_ghana_cedis_nominal_total_trade_cocoa_beans_and_products,Value In Ghana Cedis Nominal Total Trade Cocoa Beans And Products,,int64,,12096734858,0,0.0%
value_in_ghana_cedis_nominal_total_trade_machinery_and_electrical_equipment,Value In Ghana Cedis Nominal Total Trade Machinery And Electrical Equipment,,int64,,9223902811,0,0.0%
value_in_ghana_cedis_nominal_total_trade_chemical_products,Value In Ghana Cedis Nominal Total Trade Chemical Products,,int64,,7839412176,0,0.0%
value_in_ghana_cedis_nominal_total_trade_vehicles_and_automotive_parts,Value In Ghana Cedis Nominal Total Trade Vehicles And Automotive Parts,,int64,,8928946090,0,0.0%
value_in_ghana_cedis_nominal_total_trade_iron_and_steel,Value In Ghana Cedis Nominal Total Trade Iron And Steel,,int64,,5238864636,0,0.0%
value_in_ghana_cedis_nominal_total_trade_plastics,Value In Ghana Cedis Nominal Total Trade Plastics,,int64,,3512110218,0,0.0%
value_in_ghana_cedis_nominal_total_trade_vegetable_products,Value In Ghana Cedis Nominal Total Trade Vegetable Products,,int64,,5957831202,0,0.0%
value_in_ghana_cedis_nominal_total_trade_other_products,Value In Ghana Cedis Nominal Total Trade Other Products,,int64,,20198522690,0,0.0%
value_in_ghana_cedis_nominal_export_all_products,Value In Ghana Cedis Nominal Export All Products,,int64,,93391897016,0,0.0%
value_in_ghana_cedis_nominal_export_gold,Value In Ghana Cedis Nominal Export Gold,,int64,,60680028994,0,0.0%
value_in_ghana_cedis_nominal_export_mineral_fuels_and_oils,Value In Ghana Cedis Nominal Export Mineral Fuels And Oils,,int64,,7512979824,0,0.0%
value_in_ghana_cedis_nominal_export_cocoa_beans_and_products,Value In Ghana Cedis Nominal Export Cocoa Beans And Products,,int64,,12037501247,0,0.0%
value_in_ghana_cedis_nominal_export_machinery_and_electrical_equipment,Value In Ghana Cedis Nominal Export Machinery And Electrical Equipment,,int64,,234924751,0,0.0%
value_in_ghana_cedis_nominal_export_chemical_products,Value In Ghana Cedis Nominal Export Chemical Products,,int64,,1393700595,0,0.0%
value_in_ghana_cedis_nominal_export_vehicles_and_automotive_parts,Value In Ghana Cedis Nominal Export Vehicles And Automotive Parts,,int64,,73238324,0,0.0%
value_in_ghana_cedis_nominal_export_iron_and_steel,Value In Ghana Cedis Nominal Export Iron And Steel,,int64,,1514284064,0,0.0%
value_in_ghana_cedis_nominal_export_plastics,Value In Ghana Cedis Nominal Export Plastics,,int64,,705691525,0,0.0%
