column_name,display_name,description,data_type,unit,example_value,null_count,null_pct
category,Category,Product category on Tonaton Ghana,object,,Property / Real Estate,0,0.0%
title,Title,Listing title as entered by seller,object,,"4bdrm House in Sam Properties, Ga South Municipal for sale",0,0.0%
price_ghs,Price (GHS),Asking price in Ghana Cedis,float64,GHS,850000.0,0,0.0%
condition,Condition,"Item condition: Brand New, Used, Foreign Used, Refurbished",object,,,253,100.0%
tags,Tags,"All attribute tags from listing (condition, type, brand etc.)",object,,"30 sqm, 4, Semi-Furnished, 4",0,0.0%
region,Region,Ghana region (e.g. Greater Accra),object,,Greater Accra,0,0.0%
area,Area,Specific area within the region,object,,Ga South Municipal,0,0.0%
location,Location,Full location string (region + area),object,,"Greater Accra, Ga South Municipal",0,0.0%
price_outlier_flag,Outlier Flag,True if price is a statistical outlier (IQR × 3) for its category,bool,,False,0,0.0%
url,URL,Direct link to listing on tonaton.com,object,,https://tonaton.com/a-MfYFNdCgE2Cb2xtT2teLyj6CKRKg6OdJ-4bdrm-house-in-sam-proper,0,0.0%
source,Source,Data source,object,,Tonaton Ghana (tonaton.com),0,0.0%
scraped_date,Scraped Date,Date this record was collected,object,YYYY-MM-DD,2026-04-20,0,0.0%
