source,last_updated,indicator,period,consumer_price_index_and_inflation
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2026-01,262.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-12,261.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-11,259.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-10,257.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-09,258.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-08,255.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-07,259.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-06,257.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-05,260.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-04,258.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-03,256.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-02,255.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-01,252.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2024-12,248.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2024-11,243.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2024-10,237.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2024-09,235.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2024-08,229.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2024-07,231.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2024-06,226.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2024-05,220.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2024-04,213.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2024-03,209.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2024-02,207.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2024-01,204.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2023-12,200.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2023-11,198.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2023-10,194.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2023-09,194.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2023-08,190.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2023-07,191.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2023-06,184.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2023-05,178.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2023-04,170.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2023-03,166.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2023-02,168.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2023-01,165.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2022-12,162.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2022-11,156.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2022-10,144.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2022-09,140.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2022-08,136.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2022-07,133.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2022-06,129.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2022-05,125.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2022-04,120.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2022-03,114.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2022-02,110.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2022-01,107.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2021-12,105.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2021-11,104.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2021-10,102.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2021-09,102.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2021-08,101.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2021-07,101.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2021-06,99.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2021-05,98.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2021-04,97.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2021-03,96.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2021-02,95.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2021-01,94.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2020-12,93.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2020-11,92.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2020-10,92.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2020-09,92.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2020-08,92.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2020-07,93.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2020-06,92.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2020-05,91.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2020-04,90.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2020-03,87.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2020-02,86.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2020-01,86.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2019-12,84.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2019-11,84.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2019-10,84.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2019-09,83.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2019-08,83.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2019-07,83.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2019-06,83.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2019-05,82.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2019-04,81.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2019-03,80.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2019-02,80.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2019-01,79.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2018-12,78.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2018-11,78.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2018-10,78.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2018-09,77.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2018-08,77.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2018-07,77.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2018-06,77.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2018-05,76.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2018-04,76.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2018-03,76.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2018-02,75.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2018-01,75.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2017-12,74.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2017-11,73.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2017-10,73.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2017-09,72.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2017-08,72.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2017-07,72.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2017-06,72.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2017-05,71.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2017-04,70.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2017-03,69.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2017-02,68.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2017-01,68.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2016-12,66.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2016-11,66.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2016-10,65.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2016-09,64.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2016-08,64.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2016-07,64.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2016-06,64.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2016-05,63.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2016-04,62.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2016-03,61.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2016-02,60.8
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2016-01,60.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2015-12,57.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2015-11,57.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2015-10,56.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2015-09,55.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2015-08,55.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2015-07,55.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2015-06,54.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2015-05,53.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2015-04,52.8
