source,last_updated,period,interbank_exchange_rate_us_dollar_usd,interbank_exchange_rate_pound_sterling_gbp,interbank_exchange_rate_euro,forex_bureau_exchange_rate_us_dollar_usd,forex_bureau_exchange_rate_pound_sterling_gbp,forex_bureau_exchange_rate_euro
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-08,15.1,19.56,16.65,16.15,20.26,17.23
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-07,14.75,18.97,15.99,15.68,19.87,16.78
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-06,14.33,18.22,15.42,15.27,19.27,16.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-05,13.78,17.43,14.91,14.69,18.32,15.63
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-04,13.04,16.31,13.96,13.59,16.76,14.36
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-03,12.67,16.11,13.78,13.2,16.49,14.18
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-02,12.23,15.44,13.2,12.59,15.74,13.47
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-01,11.93,15.16,13.0,12.29,15.37,13.32
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-12,11.65,14.74,12.71,12.15,15.22,13.27
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-11,11.55,14.36,12.49,12.07,14.82,13.19
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-10,11.34,13.8,11.97,11.89,14.53,12.49
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-09,11.06,13.71,11.81,11.52,14.62,12.39
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-08,11.01,13.98,12.0,11.42,14.72,12.44
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-07,11.0,14.17,12.16,11.65,14.99,12.68
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-06,10.98,13.88,11.91,11.68,14.67,12.54
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-05,10.92,13.63,11.86,11.56,14.43,12.51
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-04,10.95,13.63,12.01,11.53,14.37,12.53
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-03,11.01,13.38,11.8,12.45,14.94,13.01
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-02,10.86,13.13,11.63,12.6,15.08,13.22
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-01,9.91,12.13,10.7,12.23,14.69,12.82
Ghana Statistical Service (GSS StatsBank),2026-04-20,2022-12,10.03,12.24,10.62,11.63,14.02,12.14
Ghana Statistical Service (GSS StatsBank),2026-04-20,2022-11,13.07,15.36,13.35,14.18,16.13,14.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2022-10,11.17,12.64,11.0,12.28,13.21,11.62
Ghana Statistical Service (GSS StatsBank),2026-04-20,2022-09,8.75,9.89,8.65,10.07,11.4,9.97
Ghana Statistical Service (GSS StatsBank),2026-04-20,2022-08,8.06,9.68,8.16,9.5,11.15,9.48
Ghana Statistical Service (GSS StatsBank),2026-04-20,2022-07,7.39,8.87,7.53,8.27,9.9,8.42
Ghana Statistical Service (GSS StatsBank),2026-04-20,2022-06,7.19,8.86,7.6,8.02,9.91,8.42
Ghana Statistical Service (GSS StatsBank),2026-04-20,2022-05,7.13,8.87,7.54,7.8,9.67,8.19
Ghana Statistical Service (GSS StatsBank),2026-04-20,2022-04,7.11,9.19,7.68,7.71,9.78,8.21
Ghana Statistical Service (GSS StatsBank),2026-04-20,2022-03,7.05,9.28,7.77,7.8,9.98,8.28
Ghana Statistical Service (GSS StatsBank),2026-04-20,2022-02,6.31,8.54,7.15,6.83,9.05,7.61
Ghana Statistical Service (GSS StatsBank),2026-04-20,2022-01,6.01,8.15,6.8,6.46,8.57,7.21
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-12,5.95,7.91,6.72,6.37,8.44,7.19
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-11,5.91,7.95,6.74,6.24,8.45,7.17
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-10,5.88,8.06,6.82,6.09,8.26,7.05
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-09,5.86,8.05,6.9,6.07,8.27,7.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-08,5.83,8.04,6.85,6.01,8.23,7.03
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-07,5.78,7.99,6.84,5.93,8.14,6.96
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-06,5.75,8.07,6.93,5.83,8.13,7.01
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-05,5.73,8.08,6.97,5.79,8.03,6.95
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-04,5.73,7.93,6.87,5.78,7.9,6.84
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-03,5.73,7.94,6.81,5.76,7.89,6.85
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-02,5.76,7.98,6.96,5.83,7.92,7.02
Ghana Statistical Service (GSS StatsBank),2026-04-20,2021-01,5.77,7.85,7.0,5.9,7.9,7.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-12,5.72,7.69,6.97,5.93,7.83,7.03
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-11,5.71,7.55,6.76,5.89,7.66,6.89
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-10,5.71,7.41,6.72,5.84,7.49,6.79
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-09,5.7,7.38,6.72,5.82,7.52,6.77
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-08,5.68,7.47,6.72,5.81,7.45,6.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-07,5.67,7.19,6.5,5.84,7.22,6.47
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-06,5.64,7.07,6.35,5.92,7.18,6.39
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-05,5.61,6.9,6.12,5.89,7.0,6.26
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-04,5.52,6.85,5.99,5.82,6.85,6.16
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-03,5.36,6.61,5.91,5.58,6.89,6.07
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-02,5.32,6.9,5.8,5.44,7.0,5.92
Ghana Statistical Service (GSS StatsBank),2026-04-20,2020-01,5.53,7.22,6.13,5.73,7.36,6.27
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-12,5.54,7.26,6.16,5.73,7.4,6.29
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-11,5.39,6.94,5.95,5.57,7.09,6.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-10,5.32,6.73,5.88,5.49,6.8,5.97
Ghana Statistical Service (GSS StatsBank),2026-04-20,2019-09,5.31,6.56,5.84,5.51,6.72,6.03
