dataset,source,scraped_date,category,title,price_ghs,condition,region,area,location,seller_badge,description,price_outlier_flag,platform,tags
SG Market Price Index – Commercial Equipment & Tools,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Commercial Equipment & Tools,Saloon/Barbering Led Mirror,950.0,,Greater Accra,Dansoman,"Greater Accra, Dansoman",Verified ID,Saloon/Barbering Led Mirror,False,Platform A,
SG Market Price Index – Commercial Equipment & Tools,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Commercial Equipment & Tools,Manual Siren / Hand-crank Siren / Air Raid Siren,2500.0,,Greater Accra,Awoshie,"Greater Accra, Awoshie",Verified ID,"These sirens are used for emergency warning and alert systems, including:
	•Fire alarms
	•Flood...",False,Platform A,
SG Market Price Index – Commercial Equipment & Tools,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Commercial Equipment & Tools,"Large Format/Industrial Printers,Ecosolvent,Sublimatio,Xp600",25000.0,,Greater Accra,Circle,"Greater Accra, Circle",Verified ID,Brand New Mimaage 6ft & 10ft large format printer . Comes with free inks XP600 and other printing...,True,Platform A,
SG Market Price Index – Commercial Equipment & Tools,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Commercial Equipment & Tools,Barber Apron Capes Black Color,85.0,,Greater Accra,Taifa-Burkina,"Greater Accra, Taifa-Burkina","Verified ID, 5+ years on Jiji",Digital Printed Apron Capes Nylon,False,Platform A,
SG Market Price Index – Commercial Equipment & Tools,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Commercial Equipment & Tools,Handheld Inkjet Printer,2200.0,,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",,"Hand held printer for printing manufacturing and expiring date, batch number, barcode, text etc.",False,Platform A,
SG Market Price Index – Commercial Equipment & Tools,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Commercial Equipment & Tools,Walking Stick (4 Legs Quad Cane),120.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji","Four feet Quad Walking Stick
* Manufactured from lightweight Aluminum
* Qua base provides greater...",False,Platform A,
SG Market Price Index – Commercial Equipment & Tools,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Commercial Equipment & Tools,Convex Mirror {80} Cm,800.0,,Greater Accra,Spintex,"Greater Accra, Spintex",,CORVEX SECURITY MIRROR: Observe around corners and eliminate blind spots with the BISupply Convex...,False,Platform A,
SG Market Price Index – Commercial Equipment & Tools,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Commercial Equipment & Tools,Wet/Dry Grinder,4500.0,Brand New,Greater Accra,Adenta,"Greater Accra, Adenta",,"Wet/Dry Milling Machine with Silver hopper
Single phase machine
60Kg/h
Model 100
Power:220v",False,Platform A,
SG Market Price Index – Commercial Equipment & Tools,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Commercial Equipment & Tools,Shampoo Basin,2899.0,,Greater Accra,Achimota,"Greater Accra, Achimota","Verified ID, 5","Brand new sink.
we import and sell all beauty equipments.pedicure,mannicure, massaging,facial...",False,Platform A,
SG Market Price Index – Commercial Equipment & Tools,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Commercial Equipment & Tools,Plantain Chips Slicer,5400.0,Brand New,Greater Accra,Adenta,"Greater Accra, Adenta",3+ years on Jiji,This machine is a slicer meant for Plantain chips or banana chips. It can cut horizontal and...,False,Platform A,
SG Market Price Index – Commercial Equipment & Tools,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Commercial Equipment & Tools,Protective Motorcycle Knee/Elbow Gear 4-piece Set,100.0,,Greater Accra,Madina,"Greater Accra, Madina","Verified ID, 5+ years on Jiji","Product Features
Complete 4-piece protective gear set
Durable and lightweight material
Provides...",False,Platform A,
SG Market Price Index – Commercial Equipment & Tools,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Commercial Equipment & Tools,MSA Helmet,90.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,MSA® V-GardTM hard hat equipped with a four-point suspension. The headgear may be adjusted to fit...,False,Platform A,
SG Market Price Index – Commercial Equipment & Tools,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Commercial Equipment & Tools,Body Bags (Mortuary Bag),100.0,,Greater Accra,Dansoman,"Greater Accra, Dansoman",3+ years on Jiji,"A body bag, also known as a cadaver pouch or human remains pouch (HRP), is a non-porous bag designed...",False,Platform A,
SG Market Price Index – Commercial Equipment & Tools,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Commercial Equipment & Tools,Electrical Hand Gloves,399.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 3+ years on Jiji",Today's advanced electricity gloves are manufactured using non-conductive materials such as silicone...,False,Platform A,
SG Market Price Index – Commercial Equipment & Tools,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Commercial Equipment & Tools,V Guard Safety Helmet,40.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 3+ years on Jiji",Helmet vents are openings designed to allow air to flow in and out of the helmet: Intake Vents:...,False,Platform A,
SG Market Price Index – Commercial Equipment & Tools,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Commercial Equipment & Tools,First Aid Boxes,220.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 3+ years on Jiji","Brand new all-purpose first aid kit Care for : cuts & scrapes, minor burns, itch relief, skin...",False,Platform A,
SG Market Price Index – Commercial Equipment & Tools,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Commercial Equipment & Tools,Barbershop /Salon Chairs,2000.0,,Greater Accra,Dansoman,"Greater Accra, Dansoman",Verified ID,"Call
WhatsApp",False,Platform A,
