dataset,source,scraped_date,category,title,price_ghs,condition,region,area,location,seller_badge,description,price_outlier_flag,platform,tags
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Laptop Fans,100.0,Brand New,Greater Accra,Lapaz,"Greater Accra, Lapaz",Popular,Hp laptop fans available for sale,False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,JBL Eon Active Speaker,9200.0,Used,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",3+ years on Jiji,"JBL active speakers, mainly for occasions.",True,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Digital Baofeng Professional Fm Transceiver Walkie Talkie,450.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle","Verified ID, 5+ years on Jiji","What Is It Used For?
A digital Baofeng walkie-talkie is used for:
 1. Communication
	•	Talking to...",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Laptop Cpu Fan for Hp and Lenovo,160.0,Brand New,Greater Accra,Kokomlemle,"Greater Accra, Kokomlemle","Verified ID, 5+ years on Jiji",I have for Hp and Lenovo fans. prices ranges from depending on the type u want,False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,External Laptop Batteries (170 to 250cedis),200.0,Brand New,Greater Accra,Madina,"Greater Accra, Madina",Verified ID,"Explore our extensive collection of laptop batteries, designed for a wide range of brands and...",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,USB Wifi Adapter,35.0,Brand New,Greater Accra,Circle,"Greater Accra, Circle",5+ years on Jiji,Connect your PC to a wireless network with the help of this card delivery available if apply at a...,False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,SSD Nvme 256 Gb for Upgrade,500.0,Used,Greater Accra,Osu,"Greater Accra, Osu","Verified ID, 5+ years on Jiji","All hard drives were obtained from new laptops
All hard drives support laptop & desktop",False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Original Microsoft Surface 1769 Battery for 1782 Dynk01 G3hta036h,450.0,Brand New,Greater Accra,Accra New Town,"Greater Accra, Accra New Town","Verified ID, 5+ years on Jiji",Original Microsoft Surface 1769 Laptop Battery 5900mAh Battery Replacement for Microsoft Surface...,False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,4in1 Hdmi Wireless Extender/Transmitter 150m,2700.0,Brand New,Greater Accra,Achimota,"Greater Accra, Achimota",5+ years on Jiji,150m hdmi wireless extender 4in1,False,Platform A,
SG Market Price Index – Electronics,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Electronics,Toshiba Satellite 5136u Battery,350.0,Brand New,Greater Accra,Lapaz,"Greater Accra, Lapaz",,Pa5136u-1brs pa5136 original laptop battery 14.8v 3380mah (52wh) 4cell for toshiba satellite z30...,False,Platform A,
