dataset,source,scraped_date,category,title,price_ghs,condition,region,area,location,seller_badge,description,price_outlier_flag,platform,tags
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Serviced Land for Sale at Prampram-Freedom Is Here,50000.0,,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",5+ years on Jiji,Purchase an affordable gated community estate land located in ningo prampram close to ningo senior...,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,2bdrm Apartment in Kwabenya for rent,1800.0,,Greater Accra,Ga West Municipal,"Greater Accra, Ga West Municipal",5+ years on Jiji,"Nice 2 bedroom apartment for rent at Franco Estate, 
All rooms en-suite 
Water flows 24/7
No agent...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Affordable Self-Catering Studio at the Heart of East Legon + Starlink,350.0,"1 room, 1 bedroom",Greater Accra,East Legon,"Greater Accra, East Legon",3+ years on Jiji,"Cheapest shortlet in East Legon centrally located in proximity to restaurants, bars, supermarket,...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Well Measured Plots for Sale at Tsopoli,25000.0,,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",5+ years on Jiji,"Visit our well demarcated plots with a gated community with access to water,electricity, and road.It...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Land For Sale At Dodowa Hills,65000.0,,Greater Accra,Dodowa,"Greater Accra, Dodowa",,"Location: Dodowa
 Land Size: 70 X 100 
 Documentation: Genuine and litigation-free 
 Access: Good...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Semi Serviced Estate Lands for Sale,25000.0,,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",5+ years on Jiji,Buy Estate Masters lands with flexible payment which comes with free Indenture and Barcoded site...,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Hot Land Sales,55000.0,,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",5+ years on Jiji,Buy land now near central university within a gated community with free documents. call estate...,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Neat Developed Documented Lands at Tema Community 25,250000.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,AXE REAL ESTATE is offering everyone the chance to own a genuine and litigation free land which is...,True,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Half Plot of Land,80000.0,,Greater Accra,Ga West Municipal,"Greater Accra, Ga West Municipal",Verified ID,The land is at Amasaman 3 junction Doblogono road I am the owner I live there and all the documents...,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Church Hall for Hire (Long Contract),1000.0,100guests,Greater Accra,Ashaley Botwe,"Greater Accra, Ashaley Botwe","Verified ID, 3+ years on Jiji","Are you looking for a very Serene, Soundprooed & Grace filled Hall for your Church Meeting? Then...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Beautiful Landscape Two Plots of Lands for Sale,60000.0,,Central Region,Gomoa East,"Central Region, Gomoa East",Verified ID,Litigation free lands available with documents for sale at Dominase off kasoa-winneba road behind...,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Legit Residential Half Plot of Land for Sale,25000.0,,Ashanti,Kwabre,"Ashanti, Kwabre",,Legit Residential Half Plot Of Land For Sale At Affordable Price With A Genuine Documents,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,"Furnished Single, Two and Three Bedroom Apartment",350.0,"2 rooms, 2 bedrooms",Greater Accra,Dansoman,"Greater Accra, Dansoman",Verified ID,"Top notch fully furnished single,two bedroom and three bedroom apartments for rent at different...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Land for Sale at Lakeside Comm 9,180000.0,,Greater Accra,Ashaley Botwe,"Greater Accra, Ashaley Botwe","Verified ID, 5+ years on Jiji",Land for sale at lakeside estate community. It's 50x100feet. With footings on it,True,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,1 Bedroom Apartment to Let for Short Stay at Gbawe,450.0,"2 rooms, 1 bedroom",Greater Accra,Gbawe,"Greater Accra, Gbawe",5+ years on Jiji,A home away from home. This is a spacious and comfy living place for the family. Your family will be...,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,2 Bed Furnished Flat Near Knust,900.0,"2 rooms, 2 bedrooms",Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan","Verified ID, 5+ years on Jiji",A nicely fully furnished 2 bedroom 1 bathroom flat near knust,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Short Stay Apartment,200.0,"5 rooms, 5 bedrooms",Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan",5+ years on Jiji,We have available one bedroom apartments and four single rooms. The entire house is also available...,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Bar Coded Certified Registered Lands for Sale at Dominase,30000.0,,Central Region,Gomoa East,"Central Region, Gomoa East",Verified ID,Amenities electricity and water available on the land it's Litigation free behind the onion market...,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Crown Your Hustle With One Plot of Land for Sale,15000.0,,Central Region,Gomoa East,"Central Region, Gomoa East",Verified ID,Close to the Gomoa east municipal and the Potsin police station behind the onion market off...,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Rent-for-Less (Weekdays Discounts; You Can Also Pay Per Hour),500.0,,Greater Accra,East Legon,"Greater Accra, East Legon","Verified ID, 3+ years on Jiji",You have an Event and you need A Beautiful & Serene Space for about 40-60 (small gathering or 80-100...,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Estate Plot for Sale No Agent Litigation Free,25000.0,,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan","Verified ID, 3+ years on Jiji",Commercial and residential land for sale at Tsopoli. Our site is located just 15mins drive from the...,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Alpha Real Estate Company Land for Sale at Kasoa Akraman,25000.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji","A real estate company is offer its a available land for sale at , Kasoa Akraman with free documents...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Whooping Price Offers on Half Plot at Prampram,30000.0,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,Check this full plot of land at gated community in PRAMPRAM. Locate the land 10 minutes drive from...,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,600 Plots of Land for Sale at Kwabere Kasaam With No Litigation,35000.0,,Ashanti,Kwabre,"Ashanti, Kwabre",,600 Plots Of Land For Sale At Affordable Price With No Litigation Access To Road. It Is Now Under...,False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,"Perfect Location to Your Dream Home, Prampram Land for Sale",25000.0,,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",3+ years on Jiji,"It is a very serene and peaceful environment to build your dream home. 
Estate land comes with free...",False,Platform A,
SG Market Price Index – Property & Real Estate,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Property / Real Estate,Land for Sell in Ningo-Prampram,60000.0,,Greater Accra,Ningo-Prampram,"Greater Accra, Ningo-Prampram",,"This land is located in a very fast developing neighbourhood, just a minute away from the biggest...",False,Platform A,
