dataset,source,scraped_date,category,title,price_ghs,condition,region,area,location,seller_badge,description,price_outlier_flag,platform,tags
SG Market Price Index – Vehicles,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Vehicles,Honda CRV 2017 2018 2019 2020 2021 2022 Boot Empty/Skeleton,7000.0,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",Verified ID,Quality goods and affordable,False,Platform A,
SG Market Price Index – Vehicles,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Vehicles,Hyundai Santa Fe SE AWD 2017 Gray,180000.0,Used,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan",5+ years on Jiji,"The car was bought brand new from Canada, has low mileage, was used by a lady, and everything works...",True,Platform A,
SG Market Price Index – Vehicles,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Vehicles,Haojue Engine,3200.0,Used,Greater Accra,Madina,"Greater Accra, Madina","Verified ID, 3+ years on Jiji","High performance engine. Reliable and affordable. 
Upgrade your ride with a strong, durable and fuel...",False,Platform A,
SG Market Price Index – Vehicles,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Vehicles,"Ford Explorer 2020, 2021,2022,2023 And 2025 Mirror Available",4500.0,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai","Verified ID, 5+ years on Jiji",Ford Explorer 2020 to 2022 mirror with blindspot and light available,False,Platform A,
SG Market Price Index – Vehicles,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Vehicles,Toyota Vitz 3 Plugs Engine,14000.0,Used,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",,Toyota Vitz 3 plugs engine,True,Platform A,
SG Market Price Index – Vehicles,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Vehicles,Home Used Doors,4000.0,Used,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",Verified ID,Home used Doors for all vehicle models from America and Canada,False,Platform A,
SG Market Price Index – Vehicles,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Vehicles,Nissan Versa Front Shocks 2012- 2017,1000.0,Used,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",Verified ID,Available in stock with affordable prices and delivery options is available Delivery before payment...,False,Platform A,
SG Market Price Index – Vehicles,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Vehicles,45 and 55L Motorcycle Tail Box,1250.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 3+ years on Jiji","Black 45L & 55L Motorcycle Top Case, Waterproof Aluminum Motorcycle Trunk Top Box - Tour Tail Box...",False,Platform A,
SG Market Price Index – Vehicles,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Vehicles,Toyota Highlander 2018 Taillight Led,1700.0,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai","Verified ID, 5",Good and quality to use,False,Platform A,
SG Market Price Index – Vehicles,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Vehicles,Daewoo Matiz 3 Engine and Gearbox,8500.0,Used,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",,Daewoo Matiz 3 engine and gearbox,False,Platform A,
SG Market Price Index – Vehicles,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Vehicles,Kia Picanto Engine and Gearbox,8000.0,Used,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",,Kia Picanto engine and gearbox,False,Platform A,
SG Market Price Index – Vehicles,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Vehicles,All Kinds of Brakes Master Cylinder Available,600.0,Used,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai","Verified ID, 3+ years on Jiji",Very nice and good condition and affordable price,False,Platform A,
SG Market Price Index – Vehicles,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Vehicles,Toyota Highlander 2020-2022 Headlights Led ( Used),2500.0,Used,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",Verified ID,Home used headlights very neat as seen,False,Platform A,
SG Market Price Index – Vehicles,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Vehicles,Hyundai Sonata Headlight 2011 2012 2013,1300.0,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",,Hyundai Sonata Headlight 2011 2012 2013,False,Platform A,
SG Market Price Index – Vehicles,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Vehicles,Autel Key Nissan Universal Smart Key Remote,300.0,Brand New,Greater Accra,Achimota,"Greater Accra, Achimota",Verified ID,"Autel Key Nissan Style Universal Smart key,for Autel All Type of nissan model",False,Platform A,
SG Market Price Index – Vehicles,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Vehicles,Crv 2017-24 Radar Sensor,3000.0,Used,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",Verified ID,We do pick up and delivery aswell,False,Platform A,
SG Market Price Index – Vehicles,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Vehicles,Chevy Malibu 2017/2019 Radiator Complete,6500.0,Used,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai","Verified ID, 5",Chevy malibu 2017/2019 radiator complete,False,Platform A,
SG Market Price Index – Vehicles,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Vehicles,2012 Civic Back Cut,18000.0,Used,Greater Accra,Adenta,"Greater Accra, Adenta","Verified ID, 5+ years on Jiji",Doors and other parts available,True,Platform A,
SG Market Price Index – Vehicles,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Vehicles,Dashboard Cover.,150.0,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai","Verified ID, 5+ years on Jiji","This dashboard cover, or dash mat, is a protective or decorative overlay for a vehicle's dashboard,...",False,Platform A,
SG Market Price Index – Vehicles,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Vehicles,Chrome Sliver Anti Rust Oil Can Spray Available,150.0,Brand New,Greater Accra,Dansoman,"Greater Accra, Dansoman","Verified ID, 5+ years on Jiji",We import chrome anti rust oil can spray We have all colours Please contact us for more information...,False,Platform A,
SG Market Price Index – Vehicles,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Vehicles,Mitsubishi Outlander 2016-2017-2018-2019-2020 Led Tail Light,1500.0,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",Verified ID,Mitsubishi outlander 2016-2017-2018-2019-2020 led tail light,False,Platform A,
SG Market Price Index – Vehicles,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Vehicles,Hyundai Accent 2015-2016-2017 Headlight,2000.0,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",Verified ID,Hyundai Accent 2015-2016-2017 headlight,False,Platform A,
SG Market Price Index – Vehicles,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Vehicles,Honda Leo Engine Oil,350.0,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",3+ years on Jiji,"Honda Ultra Leo SP 0W-20 is a genuine full synthetic engine oil, API SP and ILSAC GF-6 rated,...",False,Platform A,
SG Market Price Index – Vehicles,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Vehicles,High Pressure Car Wash Machine,1300.0,Brand New,Greater Accra,Pokuase,"Greater Accra, Pokuase",,Household High-Pressure Car Washing Machine 220V 1400W/1200W Portable High-Pressure Water Gun...,False,Platform A,
SG Market Price Index – Vehicles,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Vehicles,Honda Civic 2016 To 2021 4d Car Floor Mats Available,850.0,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai","Verified ID, 5+ years on Jiji",High-quality 4D car floor mats available for Honda Civic 2016 to 2021....,False,Platform A,
SG Market Price Index – Vehicles,"SG Datalytics (compiled from public online classifieds, Ghana)",2026-04-20,Vehicles,Honda Accord LX (1.5L 4cyl Turbo CVT) 2019 Gray,190000.0,Foreign Used,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",5+ years on Jiji,Very Neat Honda used slightly used by Woman,True,Platform A,
