year,country,country_code,source,last_updated,agriculture_forestry_fishing_of_gdp,agriculture_value_added_growth,arable_land_of_land_area,agricultural_land_of_land_area,cereal_yield_kg_per_hectare,prevalence_of_undernourishment,food_production_index,employment_in_agriculture_of_total
2025,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,,34.5736
2024,Ghana,GH,World Bank Open Data,2026-04-20,20.8867,2.8178,,,,,,35.1865
2023,Ghana,GH,World Bank Open Data,2026-04-20,20.9431,5.8686,20.6999,55.393,2687.6,6.3,,36.0072
2022,Ghana,GH,World Bank Open Data,2026-04-20,19.5136,4.1605,20.6999,55.393,2433.8,5.9,135.5,36.3202
2021,Ghana,GH,World Bank Open Data,2026-04-20,19.6575,8.4568,20.6999,55.393,2360.5,5.6,130.54,35.969
2020,Ghana,GH,World Bank Open Data,2026-04-20,18.8538,7.2837,20.7001,55.3938,2410.8,5.7,122.4,37.416
2019,Ghana,GH,World Bank Open Data,2026-04-20,17.3232,4.6551,20.4878,54.8491,2346.2,6.6,119.42,37.658
2018,Ghana,GH,World Bank Open Data,2026-04-20,18.1366,4.8757,20.2751,53.694,2172.6,7.5,113.03,39.8966
2017,Ghana,GH,World Bank Open Data,2026-04-20,19.5617,6.2138,20.063,53.107,1930.7,8.8,107.89,42.0184
2016,Ghana,GH,World Bank Open Data,2026-04-20,20.8443,2.733,19.8509,54.3111,1842.4,9.5,101.19,42.8608
2015,Ghana,GH,World Bank Open Data,2026-04-20,19.9827,2.0572,19.6388,54.5641,1830.3,9.4,99.74,43.4261
2014,Ghana,GH,World Bank Open Data,2026-04-20,19.5838,0.9005,19.4267,54.3845,1703.4,8.7,99.06,43.8952
2013,Ghana,GH,World Bank Open Data,2026-04-20,20.3698,5.9554,19.2147,54.7731,1688.8,8.0,94.83,44.3403
2012,Ghana,GH,World Bank Open Data,2026-04-20,22.1312,2.3019,19.0026,54.2777,1768.1,7.7,92.17,45.7602
2011,Ghana,GH,World Bank Open Data,2026-04-20,23.6637,0.8461,18.7905,54.0909,1594.2,7.3,87.25,47.0766
2010,Ghana,GH,World Bank Open Data,2026-04-20,28.0387,5.2766,18.5784,54.4978,1814.3,6.9,83.94,48.8412
2009,Ghana,GH,World Bank Open Data,2026-04-20,30.9934,7.2255,18.3663,54.1024,1659.8,6.9,81.98,52.1109
2008,Ghana,GH,World Bank Open Data,2026-04-20,29.4081,7.4042,18.1543,52.7589,1598.1,8.1,74.63,55.0095
2007,Ghana,GH,World Bank Open Data,2026-04-20,27.2941,-1.7177,17.9422,54.8134,1317.0,9.2,66.65,58.0843
2006,Ghana,GH,World Bank Open Data,2026-04-20,28.3331,,17.7301,52.9304,1334.5,10.4,68.26,60.7279
2005,Ghana,GH,World Bank Open Data,2026-04-20,37.453,,17.518,53.2635,1432.3,11.1,66.33,61.3105
2004,Ghana,GH,World Bank Open Data,2026-04-20,37.9524,,17.3059,52.1648,1373.3,12.0,64.59,62.0186
2003,Ghana,GH,World Bank Open Data,2026-04-20,36.5454,,17.0939,55.3359,1396.4,12.6,62.42,62.5722
2002,Ghana,GH,World Bank Open Data,2026-04-20,35.1484,,16.8818,57.3547,1349.0,13.4,60.07,63.0914
2001,Ghana,GH,World Bank Open Data,2026-04-20,35.2418,,16.6697,56.6847,1186.1,14.8,54.25,63.5735
2000,Ghana,GH,World Bank Open Data,2026-04-20,35.2715,,16.4576,56.1023,1309.2,,52.11,
1999,Ghana,GH,World Bank Open Data,2026-04-20,,,16.2456,57.3945,1297.0,,51.59,
1998,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,48.68,
