year,country,country_code,source,last_updated,access_to_electricity_of_population,access_to_electricity_rural_of_rural_population,access_to_electricity_urban_of_urban_population,energy_use_kg_of_oil_equivalent_per_capita,internet_users_of_population,mobile_cellular_subscriptions_per_100_people,roads_paved_of_total_roads,renewable_energy_consumption_of_total
2024,Ghana,GH,World Bank Open Data,2026-04-20,,,,,72.1757,113.648,,
2023,Ghana,GH,World Bank Open Data,2026-04-20,89.5,77.8,97.5,369.3313,70.6743,98.8059,,
2022,Ghana,GH,World Bank Open Data,2026-04-20,85.1,71.6,95.0,361.5629,69.9133,120.8034,,
2021,Ghana,GH,World Bank Open Data,2026-04-20,86.3,74.0,95.2,382.1919,68.6,124.4026,,39.0
2020,Ghana,GH,World Bank Open Data,2026-04-20,85.4,73.1,94.6,392.3731,62.5176,126.8874,,40.0
2019,Ghana,GH,World Bank Open Data,2026-04-20,83.5,70.0,93.8,380.4212,22.0732,130.7052,,42.6
2018,Ghana,GH,World Bank Open Data,2026-04-20,80.4,68.3,89.9,378.6575,43.0,133.61,,42.1
2017,Ghana,GH,World Bank Open Data,2026-04-20,79.0,65.3,90.0,351.114,37.8842,122.4718,,45.3
2016,Ghana,GH,World Bank Open Data,2026-04-20,79.3,66.6,89.8,327.9305,28.0,130.4814,,45.2
2015,Ghana,GH,World Bank Open Data,2026-04-20,74.0,57.0,88.4,325.604,23.0,121.9972,,44.0
2014,Ghana,GH,World Bank Open Data,2026-04-20,78.3,64.0,90.8,321.3547,19.0,108.2705,,47.7
2013,Ghana,GH,World Bank Open Data,2026-04-20,70.7,50.8,88.5,323.6711,15.0,102.338,,46.2
2012,Ghana,GH,World Bank Open Data,2026-04-20,56.5,23.6,86.8,328.5202,10.6,95.8262,,46.5
2011,Ghana,GH,World Bank Open Data,2026-04-20,64.1,42.0,85.0,302.7763,9.0,81.1104,,50.1
2010,Ghana,GH,World Bank Open Data,2026-04-20,64.2,55.4,72.8,296.0996,7.8,68.4473,,51.9
2009,Ghana,GH,World Bank Open Data,2026-04-20,61.1,37.9,84.2,274.2687,5.44,60.7695,12.6,51.9
2008,Ghana,GH,World Bank Open Data,2026-04-20,60.5,36.8,84.8,276.0237,4.27,47.7132,16.1,57.3
2007,Ghana,GH,World Bank Open Data,2026-04-20,56.9,32.4,82.7,263.0254,3.85,32.1629,,54.5
2006,Ghana,GH,World Bank Open Data,2026-04-20,55.1,31.4,80.7,274.1337,2.7232,22.6002,,58.6
2005,Ghana,GH,World Bank Open Data,2026-04-20,41.3,7.9,78.4,261.8934,1.8312,12.8046,14.9,61.4
2004,Ghana,GH,World Bank Open Data,2026-04-20,50.8,24.7,80.7,270.1921,1.7168,7.7509,,62.4
2003,Ghana,GH,World Bank Open Data,2026-04-20,48.3,24.0,76.9,281.2178,1.1931,3.7355,17.92,64.5
2002,Ghana,GH,World Bank Open Data,2026-04-20,46.8,19.8,79.5,303.7972,0.8303,1.8658,,65.7
2001,Ghana,GH,World Bank Open Data,2026-04-20,44.8,17.4,78.9,313.1657,0.2,1.2089,18.4,69.3
2000,Ghana,GH,World Bank Open Data,2026-04-20,43.7,14.9,80.5,322.1273,0.1536,0.6622,29.6,71.6
1999,Ghana,GH,World Bank Open Data,2026-04-20,40.7405,12.534,77.8511,401.34,,,29.6,72.8
1998,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,,73.6
1997,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,,78.3
1996,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,24.1,
1995,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,24.9,
1994,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,24.4,
1993,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,23.9,
1992,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,23.5,
1991,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,23.0,
1990,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,19.6,
