year,country,country_code,source,last_updated,lending_interest_rate,deposit_interest_rate,domestic_credit_to_private_sector_of_gdp,domestic_credit_to_private_sector_by_banks_of_gdp,atms_per_100_000_adults,commercial_bank_branches_per_100_000_adults,account_ownership_at_financial_institution,bank_capital_to_assets_ratio,bank_nonperforming_loans_of_total_loans
2024,Ghana,GH,World Bank Open Data,2026-04-20,,,,8.3328,,,81.243,,
2023,Ghana,GH,World Bank Open Data,2026-04-20,,11.4167,,8.6512,10.5722,4.4378,,5.227,
2022,Ghana,GH,World Bank Open Data,2026-04-20,,12.0521,,11.2707,10.6865,5.7459,,7.7381,
2021,Ghana,GH,World Bank Open Data,2026-04-20,,11.5,,12.0248,11.0576,11.1693,68.2304,9.0121,
2020,Ghana,GH,World Bank Open Data,2026-04-20,,11.5,,12.0865,11.1368,5.9742,,9.7606,
2019,Ghana,GH,World Bank Open Data,2026-04-20,,11.5,,13.0414,10.843,8.0799,,10.6645,
2018,Ghana,GH,World Bank Open Data,2026-04-20,,12.0833,,12.7801,11.2029,8.3118,,12.2867,
2017,Ghana,GH,World Bank Open Data,2026-04-20,,14.0625,,15.1357,10.9837,8.1894,57.7175,8.9073,
2016,Ghana,GH,World Bank Open Data,2026-04-20,,13.0417,,16.5318,10.6387,6.8037,,9.1802,
2015,Ghana,GH,World Bank Open Data,2026-04-20,,13.3392,,17.1193,9.7439,6.8094,,10.5038,
2014,Ghana,GH,World Bank Open Data,2026-04-20,,12.9042,,15.7414,7.7763,5.7828,40.5058,10.6144,
2013,Ghana,GH,World Bank Open Data,2026-04-20,,12.35,,14.5435,7.7254,5.5675,,9.9823,
2012,Ghana,GH,World Bank Open Data,2026-04-20,,10.05,,17.1637,5.2081,5.4098,,11.1059,
2011,Ghana,GH,World Bank Open Data,2026-04-20,,8.9083,,16.5299,3.8737,5.1273,29.4254,10.6665,
2010,Ghana,GH,World Bank Open Data,2026-04-20,,12.8783,,15.9514,3.7413,5.1041,,12.4353,
2009,Ghana,GH,World Bank Open Data,2026-04-20,,17.0642,,17.6227,3.6899,4.8384,,11.8842,
2008,Ghana,GH,World Bank Open Data,2026-04-20,,11.285,,12.559,3.6466,4.5226,,9.9897,
2007,Ghana,GH,World Bank Open Data,2026-04-20,,8.8958,,14.4177,,4.3299,,,
2006,Ghana,GH,World Bank Open Data,2026-04-20,,8.8854,,10.785,,3.4183,,,
2005,Ghana,GH,World Bank Open Data,2026-04-20,,10.1625,,15.4296,,3.0722,,,
2004,Ghana,GH,World Bank Open Data,2026-04-20,,13.625,,13.058,,2.9183,,,
2003,Ghana,GH,World Bank Open Data,2026-04-20,,14.3233,,12.387,,,,,
2002,Ghana,GH,World Bank Open Data,2026-04-20,,16.2083,,12.0012,,,,,
2001,Ghana,GH,World Bank Open Data,2026-04-20,,30.8542,,11.7459,,,,,
2000,Ghana,GH,World Bank Open Data,2026-04-20,,28.6042,,13.815,,,,,
1999,Ghana,GH,World Bank Open Data,2026-04-20,,23.5625,,,,,,,
