year,country,country_code,source,last_updated,total_population,population_growth_rate,urban_population_of_total,unemployment_rate_of_total_labor_force,youth_unemployment_rate_ages_15–24,poverty_headcount_ratio_at_national_lines,life_expectancy_at_birth_years,under_5_mortality_rate_per_1_000_live_births,adult_literacy_rate,primary_school_enrollment_rate_gross
2025,Ghana,GH,World Bank Open Data,2026-04-20,,,,2.979,5.826,,,,,
2024,Ghana,GH,World Bank Open Data,2026-04-20,34427414.0,1.875,58.3655,2.82,5.347,,65.695,35.9,,100.967
2023,Ghana,GH,World Bank Open Data,2026-04-20,33787914.0,1.9086,57.8075,2.829,5.352,,65.498,37.2,,
2022,Ghana,GH,World Bank Open Data,2026-04-20,33149152.0,1.9203,57.2506,2.87,5.402,,65.246,38.6,,98.2319
2021,Ghana,GH,World Bank Open Data,2026-04-20,32518665.0,1.959,56.6953,3.2,5.985,,64.286,40.3,76.49,99.4509
2020,Ghana,GH,World Bank Open Data,2026-04-20,31887809.0,1.9918,56.2172,3.178,6.319,,64.309,42.2,,98.4049
2019,Ghana,GH,World Bank Open Data,2026-04-20,31258945.0,2.0078,55.7246,3.067,5.875,,64.455,44.1,,99.875
2018,Ghana,GH,World Bank Open Data,2026-04-20,30637585.0,2.0752,55.2185,3.204,6.107,,64.138,46.1,,98.6814
2017,Ghana,GH,World Bank Open Data,2026-04-20,30008354.0,2.1954,54.6991,3.369,6.375,,63.829,48.2,64.49,100.4789
2016,Ghana,GH,World Bank Open Data,2026-04-20,29356742.0,2.2762,54.1671,5.256,10.616,23.4,63.522,50.3,,101.7511
2015,Ghana,GH,World Bank Open Data,2026-04-20,28696068.0,2.3071,53.6226,6.806,14.238,,63.175,52.5,60.1981,103.2131
2014,Ghana,GH,World Bank Open Data,2026-04-20,28041592.0,2.365,53.0663,4.403,9.307,,62.832,54.9,,99.5601
2013,Ghana,GH,World Bank Open Data,2026-04-20,27386193.0,2.4093,52.4986,2.173,4.718,,62.397,57.5,,101.0895
2012,Ghana,GH,World Bank Open Data,2026-04-20,26734268.0,2.4199,51.9198,3.126,6.664,24.2,61.995,60.3,,102.0687
2011,Ghana,GH,World Bank Open Data,2026-04-20,26095088.0,2.405,51.3304,4.213,8.808,,61.617,63.3,,99.4131
2010,Ghana,GH,World Bank Open Data,2026-04-20,25474995.0,2.433,50.7297,5.384,11.059,,61.297,66.5,71.5,
2009,Ghana,GH,World Bank Open Data,2026-04-20,24862664.0,2.4953,50.1111,5.362,10.811,,60.928,69.8,,99.0774
2008,Ghana,GH,World Bank Open Data,2026-04-20,24249946.0,2.5378,49.4709,5.144,10.264,,60.578,73.1,,100.8415
2007,Ghana,GH,World Bank Open Data,2026-04-20,23642279.0,2.5774,48.8125,5.104,9.996,,60.282,76.2,,95.9957
2006,Ghana,GH,World Bank Open Data,2026-04-20,23040702.0,2.5997,48.1389,4.897,9.494,,59.975,79.1,,91.2333
2005,Ghana,GH,World Bank Open Data,2026-04-20,22449438.0,2.6228,47.4528,5.816,10.671,31.9,59.638,82.0,,86.7025
2004,Ghana,GH,World Bank Open Data,2026-04-20,21868298.0,2.6486,46.7572,6.758,11.854,,59.316,85.0,,80.2254
2003,Ghana,GH,World Bank Open Data,2026-04-20,21296705.0,2.7,46.0548,7.728,13.052,,59.014,88.2,,76.3093
2002,Ghana,GH,World Bank Open Data,2026-04-20,20729388.0,2.7501,45.3485,8.711,14.261,,58.709,91.9,,78.8476
2001,Ghana,GH,World Bank Open Data,2026-04-20,20167069.0,2.6631,44.6411,9.615,15.376,,58.403,95.8,,75.4196
2000,Ghana,GH,World Bank Open Data,2026-04-20,19637087.0,2.5124,43.9374,,,,58.139,99.9,57.9,79.9404
1999,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,,,,75.295
1998,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,39.5,,,,
1997,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,,,,76.4101
1991,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,51.7,,,,
