year,country,country_code,source,last_updated,exports_of_goods_services_of_gdp,imports_of_goods_services_of_gdp,exports_of_goods_services_usd,imports_of_goods_services_usd,foreign_direct_investment_net_inflows_of_gdp,foreign_direct_investment_net_inflows_usd,foreign_direct_investment_net_outflows_of_gdp,merchandise_trade_of_gdp,merchandise_exports_usd,merchandise_imports_usd
2024,Ghana,GH,World Bank Open Data,2026-04-20,35.4734,34.315,29197465998.8647,28244066026.1723,2.1451,1765552579.5641,,43.0845,20221000000,15241000000
2023,Ghana,GH,World Bank Open Data,2026-04-20,31.7708,32.617,25590486225.4334,26272099171.5081,1.6379,1319315614.6799,,38.1292,16703000000,14009000000
2022,Ghana,GH,World Bank Open Data,2026-04-20,34.664,35.4514,25623315466.9184,26205330553.5428,1.9324,1428411737.133,,43.1513,17276000000,14621000000
2021,Ghana,GH,World Bank Open Data,2026-04-20,30.0551,32.6527,23898089227.0418,25963543826.9813,3.1863,2533586462.0387,,35.6616,14727000000,13629000000
2020,Ghana,GH,World Bank Open Data,2026-04-20,31.5254,35.0501,22070393252.1853,24537944240.0045,2.6794,1875782953.469,,38.4255,14472000000,12429000000
2019,Ghana,GH,World Bank Open Data,2026-04-20,37.4496,39.3752,25597786148.2046,26913986432.3936,5.6762,3879831469.7,,42.5426,15668000000,13411000000
2018,Ghana,GH,World Bank Open Data,2026-04-20,33.4549,34.5036,22501546548.8178,23206913262.4037,4.444,2989035000.0,,41.7444,14943000000,13134000000
2017,Ghana,GH,World Bank Open Data,2026-04-20,33.8769,36.6715,20456689539.6174,22144229690.5959,5.3904,3254990000.0,,43.855,13835000000,12647000000
2016,Ghana,GH,World Bank Open Data,2026-04-20,31.1932,36.6838,17513188147.4573,20595796190.5901,6.2078,3485333369.2796,,42.8504,11138000000,12920000000
2015,Ghana,GH,World Bank Open Data,2026-04-20,33.8317,42.6896,16725314357.9985,21104358073.9633,6.4574,3192320530.7897,,48.1139,10321000000,13465000000
2014,Ghana,GH,World Bank Open Data,2026-04-20,28.2319,35.6047,15436790166.9328,19468106209.0343,6.1512,3363389444.4444,,50.8737,13217000000,14600000000
2013,Ghana,GH,World Bank Open Data,2026-04-20,25.4408,35.3185,15988443997.9098,22196190509.8489,5.1348,3227000000.0,,49.8872,13752000000,17600000000
2012,Ghana,GH,World Bank Open Data,2026-04-20,40.3592,52.8088,16656935875.3268,21795097067.3479,7.9825,3294520000.0,,75.8752,13552000000,17763000000
2011,Ghana,GH,World Bank Open Data,2026-04-20,36.9366,49.3588,14529631105.6309,19416125145.9104,8.2559,3247588000.0,,72.7642,12785000000,15838000000
2010,Ghana,GH,World Bank Open Data,2026-04-20,29.4767,45.9011,9490812128.5358,14779077373.6471,7.8495,2527350000.0,,58.644,7960000000,10922000000
2009,Ghana,GH,World Bank Open Data,2026-04-20,29.2919,42.3029,7630156153.1338,11019356824.751,9.1081,2372540000.0,,53.3078,5840000000,8046000000
2008,Ghana,GH,World Bank Open Data,2026-04-20,25.0295,44.4848,7178293982.0864,12757957187.9974,9.4664,2714916343.6998,,54.1818,5270000000,10269000000
2007,Ghana,GH,World Bank Open Data,2026-04-20,24.5251,40.8292,6088927418.3777,10136811817.0443,5.5712,1383177929.8546,,49.3649,4195000000,8061000000
2006,Ghana,GH,World Bank Open Data,2026-04-20,24.6562,39.8629,5149454653.9366,8325374081.938,3.0453,636010000.0,,50.1843,3727000000,6754000000
2005,Ghana,GH,World Bank Open Data,2026-04-20,36.4492,61.7223,3916311039.7709,6631794425.3758,1.3492,144970000.0,,75.843,2802000000,5347000000
2004,Ghana,GH,World Bank Open Data,2026-04-20,39.3033,60.367,3490692555.2671,5361446367.1282,1.5681,139270000.0,,73.4567,2450000000,4074000000
2003,Ghana,GH,World Bank Open Data,2026-04-20,40.679,56.6081,3104918870.6499,4320740016.8904,1.7916,136751000.0,,72.5036,2324000000,3210000000
2002,Ghana,GH,World Bank Open Data,2026-04-20,42.6163,54.873,2627802407.066,3383577207.4552,0.9557,58930000.0,,74.1137,1850000000,2720000000
2001,Ghana,GH,World Bank Open Data,2026-04-20,45.233,64.8128,2404077313.4349,3444719916.7952,1.6806,89320000.0,,91.6297,1716000000,3154000000
2000,Ghana,GH,World Bank Open Data,2026-04-20,48.8023,67.2462,2431743616.9412,3350776353.9168,3.3294,165900000.0,,93.1997,1671000000,2973000000
