Year,Country,Country Code,Source,Scraped Date,Access to Electricity (% of Population),"Access to Electricity, Rural (% of Rural Population)","Access to Electricity, Urban (% of Urban Population)",Energy Use (kg of oil equivalent per capita),Internet Users (% of Population),Mobile Cellular Subscriptions (per 100 people),"Roads, Paved (% of Total Roads)",Renewable Energy Consumption (% of Total)
2024,Ghana,GH,World Bank Open Data,2026-05-01,,,,,72.17569733,113.647966704673,,
2023,Ghana,GH,World Bank Open Data,2026-05-01,89.5,,97.5,,70.67430115,98.8059221412722,,
2022,Ghana,GH,World Bank Open Data,2026-05-01,85.1,,95.0,,69.91329956,120.803416027053,,
2021,Ghana,GH,World Bank Open Data,2026-05-01,86.3,,95.2,,68.6,124.402625384529,,39.0
2020,Ghana,GH,World Bank Open Data,2026-05-01,85.4,,94.6,,62.51760101,126.887391353856,,40.0
2019,Ghana,GH,World Bank Open Data,2026-05-01,83.5,,93.8,,22.0732,130.70523333401,,42.6
2018,Ghana,GH,World Bank Open Data,2026-05-01,80.4,,89.9,,43.0,133.609992432498,,42.1
2017,Ghana,GH,World Bank Open Data,2026-05-01,79.0,,90.0,,37.88420105,122.471765695646,,45.3
2016,Ghana,GH,World Bank Open Data,2026-05-01,79.3,,89.8,,28.0,130.481366086196,,45.2
2015,Ghana,GH,World Bank Open Data,2026-05-01,74.0,,88.4,,23.0,121.997156544235,,44.0
2014,Ghana,GH,World Bank Open Data,2026-05-01,78.3,,90.8,,19.0,108.270496910446,,47.7
2013,Ghana,GH,World Bank Open Data,2026-05-01,70.7,,88.5,,15.0,102.337999297675,,46.2
2012,Ghana,GH,World Bank Open Data,2026-05-01,56.5,,86.8,,10.6,95.8261770997433,,46.5
2011,Ghana,GH,World Bank Open Data,2026-05-01,64.1,,85.0,,9.0,81.1104488323626,,50.1
2010,Ghana,GH,World Bank Open Data,2026-05-01,64.2,,72.8,,7.8,68.4473107845556,,51.9
2009,Ghana,GH,World Bank Open Data,2026-05-01,61.1,,84.2,,5.44,60.7694975888344,12.6,51.9
2008,Ghana,GH,World Bank Open Data,2026-05-01,60.5,,84.8,,4.27,47.7132196500561,16.1,57.3
2007,Ghana,GH,World Bank Open Data,2026-05-01,56.9,,82.7,,3.85,32.1629441899404,,54.5
2006,Ghana,GH,World Bank Open Data,2026-05-01,55.1,,80.7,,2.72317597313987,22.6001881366288,,58.6
2005,Ghana,GH,World Bank Open Data,2026-05-01,41.3,,78.4,,1.83119746104616,12.8045967119533,14.9,61.4
2004,Ghana,GH,World Bank Open Data,2026-05-01,50.8,,80.7,,1.71679770389504,7.75094614130464,,62.4
2003,Ghana,GH,World Bank Open Data,2026-05-01,48.3,,76.9,,1.19305791098328,3.73545578999193,17.9200000762939,64.5
2002,Ghana,GH,World Bank Open Data,2026-05-01,46.8,,79.5,,0.830284033818738,1.86582932404951,,65.7
2001,Ghana,GH,World Bank Open Data,2026-05-01,44.8,,78.9,,0.200008060324831,1.20888662601392,18.3999996185303,69.3
2000,Ghana,GH,World Bank Open Data,2026-05-01,43.7,,80.5,,0.153615297625799,0.662241808064506,29.6000003814697,71.6
1999,Ghana,GH,World Bank Open Data,2026-05-01,40.7405395507813,,77.8511276245117,,,,29.6000003814697,72.8
1998,Ghana,GH,World Bank Open Data,2026-05-01,,,,,,,,73.6
1997,Ghana,GH,World Bank Open Data,2026-05-01,,,,,,,,78.3
1996,Ghana,GH,World Bank Open Data,2026-05-01,,,,,,,24.1000003814697,
1995,Ghana,GH,World Bank Open Data,2026-05-01,,,,,,,24.8999996185303,
1994,Ghana,GH,World Bank Open Data,2026-05-01,,,,,,,24.3999996185303,
1993,Ghana,GH,World Bank Open Data,2026-05-01,,,,,,,23.8999996185303,
1992,Ghana,GH,World Bank Open Data,2026-05-01,,,,,,,23.5,
1991,Ghana,GH,World Bank Open Data,2026-05-01,,,,,,,23.0,
1990,Ghana,GH,World Bank Open Data,2026-05-01,,,,,,,19.6000003814697,
