Year,Country,Country Code,Source,Scraped Date,Lending Interest Rate (%),Deposit Interest Rate (%),Domestic Credit to Private Sector (% of GDP),Domestic Credit to Private Sector by Banks (% of GDP),"ATMs (per 100,000 adults)","Commercial Bank Branches (per 100,000 adults)",Account Ownership at Financial Institution (%),Bank Capital to Assets Ratio (%),Bank Nonperforming Loans (% of Total Loans)
2024,Ghana,GH,World Bank Open Data,2026-05-01,,,,8.33276294498399,,,81.2430252454858,,
2023,Ghana,GH,World Bank Open Data,2026-05-01,,11.4166666666667,,8.65124461988612,10.572166384357,4.4378136112736,,5.22701121867012,
2022,Ghana,GH,World Bank Open Data,2026-05-01,,12.0520833333333,,11.2706745599304,10.6864950413668,5.74588585335902,,7.7381190171964,
2021,Ghana,GH,World Bank Open Data,2026-05-01,,11.5,,12.024769747436,11.0576485507466,11.1692929390992,68.2303947936909,9.01209167614904,
2020,Ghana,GH,World Bank Open Data,2026-05-01,,11.5,,12.0864909654416,11.1368404041981,5.9741656169145,,9.76057450178403,
2019,Ghana,GH,World Bank Open Data,2026-05-01,,11.5,,13.0413982493314,10.8429740720127,8.07987987843816,,10.6645401218628,
2018,Ghana,GH,World Bank Open Data,2026-05-01,,12.0833333333333,,12.7801113614181,11.20291261063,8.31183838853199,,12.2867438475838,
2017,Ghana,GH,World Bank Open Data,2026-05-01,,14.0625,,15.135744802977,10.9837217911398,8.18942857617273,57.7175264186459,8.90729617365833,
2016,Ghana,GH,World Bank Open Data,2026-05-01,,13.0416666666667,,16.5318362863588,10.6387410749487,6.80371771027585,,9.18021886788584,
2015,Ghana,GH,World Bank Open Data,2026-05-01,,13.3391666666667,,17.1192932611417,9.74387267613594,6.80938078878802,,10.5038444488751,
2014,Ghana,GH,World Bank Open Data,2026-05-01,,12.9041666666667,,15.7414141634736,7.7762698581842,5.78280157615342,40.5057942389551,10.6143601938163,
2013,Ghana,GH,World Bank Open Data,2026-05-01,,12.35,,14.5434834545912,7.72536149148118,5.567505889694,,9.98225727157145,
2012,Ghana,GH,World Bank Open Data,2026-05-01,,10.05,,17.1636734801869,5.20808691196756,5.40980858813532,,11.1058718799713,
2011,Ghana,GH,World Bank Open Data,2026-05-01,,8.90833333333333,,16.529947058297,3.87370056307184,5.12732534076499,29.4253535855083,10.6664605489132,
2010,Ghana,GH,World Bank Open Data,2026-05-01,,12.8783333333333,,15.9514145717562,3.74128175284321,5.10408541539091,,12.4352584600057,
2009,Ghana,GH,World Bank Open Data,2026-05-01,,17.0641666666667,,17.6226642219194,3.68989124260091,4.83844415174681,,11.884154787662,
2008,Ghana,GH,World Bank Open Data,2026-05-01,,11.285,,12.558950508188,3.64656958642808,4.52256116305605,,9.9896818000653,
2007,Ghana,GH,World Bank Open Data,2026-05-01,,8.89583333333333,,14.4177395805101,,4.32987400416395,,,
2006,Ghana,GH,World Bank Open Data,2026-05-01,,8.88541666666667,,10.7849766382305,,3.41830760455893,,,
2005,Ghana,GH,World Bank Open Data,2026-05-01,,10.1625,,15.4295610538331,,3.07219959150903,,,
2004,Ghana,GH,World Bank Open Data,2026-05-01,,13.625,,13.0580385311355,,2.91830571771352,,,
2003,Ghana,GH,World Bank Open Data,2026-05-01,,14.3233333333333,,12.3870144520627,,,,,
2002,Ghana,GH,World Bank Open Data,2026-05-01,,16.2083333333333,,12.0012391720872,,,,,
2001,Ghana,GH,World Bank Open Data,2026-05-01,,30.8541666666667,,11.7458734880105,,,,,
2000,Ghana,GH,World Bank Open Data,2026-05-01,,28.6041666666667,,13.8150119521418,,,,,
1999,Ghana,GH,World Bank Open Data,2026-05-01,,23.5625,,,,,,,
