Year,Country,Country Code,Source,Scraped Date,Total Population,Population Growth Rate (%),Urban Population (% of Total),Unemployment Rate (% of Total Labor Force),Youth Unemployment Rate (% ages 15-24),Poverty Headcount Ratio at National Lines (%),Life Expectancy at Birth (years),"Under-5 Mortality Rate (per 1,000 live births)",Adult Literacy Rate (%),Primary School Enrollment Rate (gross %)
2025,Ghana,GH,World Bank Open Data,2026-05-01,,,,2.979,5.826,,,,,
2024,Ghana,GH,World Bank Open Data,2026-05-01,34427414.0,1.87500010333119,58.3654868038581,2.82,5.347,,65.695,35.9,,100.967018127441
2023,Ghana,GH,World Bank Open Data,2026-05-01,33787914.0,1.90860289687983,57.8074737774654,2.829,5.352,,65.498,37.2,,
2022,Ghana,GH,World Bank Open Data,2026-05-01,33149152.0,1.92029034344132,57.250609602871,2.87,5.402,,65.246,38.6,,98.2318953247047
2021,Ghana,GH,World Bank Open Data,2026-05-01,32518665.0,1.95904584379494,56.6952556826536,3.2,5.985,,64.286,40.3,76.4899978637695,99.4509436572472
2020,Ghana,GH,World Bank Open Data,2026-05-01,31887809.0,1.99181985149439,56.2171613974837,3.178,6.319,,64.309,42.2,,98.4048952723908
2019,Ghana,GH,World Bank Open Data,2026-05-01,31258945.0,2.00780519953703,55.7246279109161,3.067,5.875,,64.455,44.1,,99.8750321985622
2018,Ghana,GH,World Bank Open Data,2026-05-01,30637585.0,2.07517136640112,55.218477566593,3.204,6.107,,64.138,46.1,,98.6813906905268
2017,Ghana,GH,World Bank Open Data,2026-05-01,30008354.0,2.19535792776401,54.6991419779128,3.369,6.375,,63.829,48.2,64.4899978637695,100.478896703055
2016,Ghana,GH,World Bank Open Data,2026-05-01,29356742.0,2.27621203911157,54.167052758274,5.256,10.616,23.4,63.522,50.3,,101.751107525308
2015,Ghana,GH,World Bank Open Data,2026-05-01,28696068.0,2.30712733064921,53.6226415210752,6.806,14.238,,63.175,52.5,60.1981035367761,103.213138177351
2014,Ghana,GH,World Bank Open Data,2026-05-01,28041592.0,2.36498553072391,53.0663398797148,4.403,9.307,,62.832,54.9,,99.5600865756332
2013,Ghana,GH,World Bank Open Data,2026-05-01,27386193.0,2.40927930949909,52.4985794475913,2.173,4.718,,62.397,57.5,,101.089456129828
2012,Ghana,GH,World Bank Open Data,2026-05-01,26734268.0,2.4199090803465,51.9197918381031,3.126,6.664,24.2,61.995,60.3,,102.068698169955
2011,Ghana,GH,World Bank Open Data,2026-05-01,26095088.0,2.40497145453178,51.3304086646488,4.213,8.808,,61.617,63.3,,99.4130783081055
2010,Ghana,GH,World Bank Open Data,2026-05-01,25474995.0,2.43301424000427,50.7296926788704,5.384,11.059,,61.297,66.5,71.5,
2009,Ghana,GH,World Bank Open Data,2026-05-01,24862664.0,2.49528498609835,50.1111250897099,5.362,10.811,,60.928,69.8,,99.0773620605469
2008,Ghana,GH,World Bank Open Data,2026-05-01,24249946.0,2.5377798286274,49.4708679942306,5.144,10.264,,60.578,73.1,,100.841491699219
2007,Ghana,GH,World Bank Open Data,2026-05-01,23642279.0,2.57742881770877,48.8125122665918,5.104,9.996,,60.282,76.2,,95.9956512451172
2006,Ghana,GH,World Bank Open Data,2026-05-01,23040702.0,2.59967236461776,48.1388926229785,4.897,9.494,,59.975,79.1,,91.2332763671875
2005,Ghana,GH,World Bank Open Data,2026-05-01,22449438.0,2.62275723095941,47.4528437795757,5.816,10.671,31.9,59.638,82.0,,86.7024688720703
2004,Ghana,GH,World Bank Open Data,2026-05-01,21868298.0,2.64856422445373,46.7572004525685,6.758,11.854,,59.316,85.0,,80.2254409790039
2003,Ghana,GH,World Bank Open Data,2026-05-01,21296705.0,2.69999623325849,46.0547973581418,7.728,13.052,,59.014,88.2,,76.3093490600586
2002,Ghana,GH,World Bank Open Data,2026-05-01,20729388.0,2.75013769977312,45.3484692124806,8.711,14.261,,58.709,91.9,,78.8475799560547
2001,Ghana,GH,World Bank Open Data,2026-05-01,20167069.0,2.6631054412646,44.6410507317701,9.615,15.376,,58.403,95.8,,75.4195938110352
2000,Ghana,GH,World Bank Open Data,2026-05-01,19637087.0,2.51243583964957,43.9373786640616,,,,58.139,99.9,57.9000015258789,79.9403762817383
1999,Ghana,GH,World Bank Open Data,2026-05-01,,,,,,,,,,75.2949523925781
1998,Ghana,GH,World Bank Open Data,2026-05-01,,,,,,39.5,,,,
1997,Ghana,GH,World Bank Open Data,2026-05-01,,,,,,,,,,76.4101104736328
1991,Ghana,GH,World Bank Open Data,2026-05-01,,,,,,51.7,,,,
