Year,Country,Country Code,Source,Scraped Date,Exports of Goods & Services (% of GDP),Imports of Goods & Services (% of GDP),Exports of Goods & Services (USD),Imports of Goods & Services (USD),"Foreign Direct Investment, Net Inflows (% of GDP)","Foreign Direct Investment, Net Inflows (USD)","Foreign Direct Investment, Net Outflows (% of GDP)",Merchandise Trade (% of GDP),Merchandise Exports (USD),Merchandise Imports (USD)
2024,Ghana,GH,World Bank Open Data,2026-05-01,35.4733766353922,34.315046103667,29197465998.8647,28244066026.1723,2.14505298599888,1765552579.5641,,43.0844540513615,20221000000,15241000000
2023,Ghana,GH,World Bank Open Data,2026-05-01,31.7708164934404,32.6170450347243,25590486225.4334,26272099171.5081,1.63794208213468,1319315614.67989,,38.1292214438968,16703000000,14009000000
2022,Ghana,GH,World Bank Open Data,2026-05-01,34.6640435533587,35.451412242532,25623315466.9184,26205330553.5428,1.93240124339233,1428411737.133,,43.1512853459185,17276000000,14621000000
2021,Ghana,GH,World Bank Open Data,2026-05-01,30.0551194696231,32.6527114432115,23898089227.0418,25963543826.9813,3.18633188953992,2533586462.03873,,35.6615526699214,14727000000,13629000000
2020,Ghana,GH,World Bank Open Data,2026-05-01,31.5254204867115,35.0500782295317,22070393252.1853,24537944240.0045,2.67937438514205,1875782953.46905,,38.4254746538806,14472000000,12429000000
2019,Ghana,GH,World Bank Open Data,2026-05-01,37.4495998625311,39.3752028696209,25597786148.2046,26913986432.3936,5.67619931009197,3879831469.7,,42.5426209945473,15668000000,13411000000
2018,Ghana,GH,World Bank Open Data,2026-05-01,33.4548954489265,34.5036220155637,22501546548.8178,23206913262.4037,4.4440435772374,2989035000.0,,41.7443795466076,14943000000,13134000000
2017,Ghana,GH,World Bank Open Data,2026-05-01,33.8768747799681,36.6714905104435,20456689539.6174,22144229690.5959,5.39035841681501,3254990000.0,,43.8549647138993,13835000000,12647000000
2016,Ghana,GH,World Bank Open Data,2026-05-01,31.193239148362,36.6837602962245,17513188147.4573,20595796190.5901,6.20782671803196,3485333369.27963,,42.8503902951703,11138000000,12920000000
2015,Ghana,GH,World Bank Open Data,2026-05-01,33.8317048233696,42.6895661009546,16725314357.9985,21104358073.9633,6.45737614178894,3192320530.7897,,48.1139495320654,10321000000,13465000000
2014,Ghana,GH,World Bank Open Data,2026-05-01,28.2319021605976,35.6046602824807,15436790166.9328,19468106209.0343,6.15120635162518,3363389444.44444,,50.8737123397321,13217000000,14600000000
2013,Ghana,GH,World Bank Open Data,2026-05-01,25.4407833967285,35.318538506149,15988443997.9098,22196190509.8489,5.13479660884921,3227000000.0,,49.8872461359282,13752000000,17600000000
2012,Ghana,GH,World Bank Open Data,2026-05-01,40.3592181740371,52.808816954646,16656935875.3268,21795097067.3479,7.98251565917851,3294520000.0,,75.8752345917387,13552000000,17763000000
2011,Ghana,GH,World Bank Open Data,2026-05-01,36.9366085502594,49.3588453047101,14529631105.6309,19416125145.9104,8.2558797134245,3247588000.0,,72.7641699123625,12785000000,15838000000
2010,Ghana,GH,World Bank Open Data,2026-05-01,29.4767179831573,45.901097808525,9490812128.53579,14779077373.6471,7.84948455261709,2527350000.0,,58.644021335595,7960000000,10922000000
2009,Ghana,GH,World Bank Open Data,2026-05-01,29.2918659785048,42.3028725496475,7630156153.13385,11019356824.751,9.10808669100415,2372540000.0,,53.3078016772251,5840000000,8046000000
2008,Ghana,GH,World Bank Open Data,2026-05-01,25.0294572995074,44.4847683116359,7178293982.08643,12757957187.9974,9.46643908231485,2714916343.69978,,54.1817788387651,5270000000,10269000000
2007,Ghana,GH,World Bank Open Data,2026-05-01,24.5250906044049,40.8292316808483,6088927418.37771,10136811817.0443,5.57118876952139,1383177929.85458,,49.3649356930043,4195000000,8061000000
2006,Ghana,GH,World Bank Open Data,2026-05-01,24.6561904908957,39.8628637530195,5149454653.93664,8325374081.93796,3.04529018468516,636010000.0,,50.1842524892458,3727000000,6754000000
2005,Ghana,GH,World Bank Open Data,2026-05-01,36.449216950714,61.7222971639139,3916311039.77093,6631794425.3758,1.34923986570129,144970000.0,,75.8429721018129,2802000000,5347000000
2004,Ghana,GH,World Bank Open Data,2026-05-01,39.3033251214107,60.3670092258015,3490692555.26712,5361446367.12822,1.56810546990152,139270000.0,,73.4567393238852,2450000000,4074000000
2003,Ghana,GH,World Bank Open Data,2026-05-01,40.67904265112,56.6081030628332,3104918870.64991,4320740016.89041,1.7916409392104,136751000.0,,72.5036084386247,2324000000,3210000000
2002,Ghana,GH,World Bank Open Data,2026-05-01,42.6162518930867,54.8729912815685,2627802407.06598,3383577207.45517,0.955694277966518,58930000.0,,74.1137425811469,1850000000,2720000000
2001,Ghana,GH,World Bank Open Data,2026-05-01,45.2330164667316,64.8128376940797,2404077313.43492,3444719916.79522,1.68056701347756,89320000.0,,91.6296613931448,1716000000,3154000000
2000,Ghana,GH,World Bank Open Data,2026-05-01,48.8022576190038,67.2461725439646,2431743616.94123,3350776353.91682,3.32941946782064,165900000.0,,93.1996624988491,1671000000,2973000000
