Dataset,Source,Scraped Date,Quarter,Index of Industrial Production,Year-on-year IIP change (%),Quarter-on-quarter IIP change (%)
Ghana Index of Industrial Production (IIP),Ghana Statistical Service (GSS StatsBank),2026-05-01,2025Q3,3759.9,110.6,53.4
Ghana Index of Industrial Production (IIP),Ghana Statistical Service (GSS StatsBank),2026-05-01,2025Q2,3715.5,177.7,112.8
Ghana Index of Industrial Production (IIP),Ghana Statistical Service (GSS StatsBank),2026-05-01,2025Q1,3612.3,178.3,-54.1
Ghana Index of Industrial Production (IIP),Ghana Statistical Service (GSS StatsBank),2026-05-01,2024Q4,3680.8,239.4,46.3
Ghana Index of Industrial Production (IIP),Ghana Statistical Service (GSS StatsBank),2026-05-01,2024Q3,3635.7,237.2,113.1
Ghana Index of Industrial Production (IIP),Ghana Statistical Service (GSS StatsBank),2026-05-01,2024Q2,3526.9,278.1,105.3
Ghana Index of Industrial Production (IIP),Ghana Statistical Service (GSS StatsBank),2026-05-01,2024Q1,3414.7,259.9,-7.2
Ghana Index of Industrial Production (IIP),Ghana Statistical Service (GSS StatsBank),2026-05-01,2023Q4,3431.8,25.9,39.6
Ghana Index of Industrial Production (IIP),Ghana Statistical Service (GSS StatsBank),2026-05-01,2023Q3,3404.0,171.9,174.7
Ghana Index of Industrial Production (IIP),Ghana Statistical Service (GSS StatsBank),2026-05-01,2023Q2,3260.1,-76.4,87.1
Ghana Index of Industrial Production (IIP),Ghana Statistical Service (GSS StatsBank),2026-05-01,2023Q1,3177.8,-115.4,-227.0
Ghana Index of Industrial Production (IIP),Ghana Statistical Service (GSS StatsBank),2026-05-01,2022Q4,3424.4,..,183.8
Ghana Index of Industrial Production (IIP),Ghana Statistical Service (GSS StatsBank),2026-05-01,2022Q3,3244.4,..,-87.7
Ghana Index of Industrial Production (IIP),Ghana Statistical Service (GSS StatsBank),2026-05-01,2022Q2,3349.5,..,41.4
Ghana Index of Industrial Production (IIP),Ghana Statistical Service (GSS StatsBank),2026-05-01,2022Q1,3312.4,..,..
