Dataset,Source,Scraped Date,Time_Period,"Balance of payments, overall balance",Capital account balance,Current account balance,Net official transfers,Net private transfers,Error and omission (net),Financial account balance,Foreign direct investments (net)
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2024Q2,873910000,20600000,998500000,0,1397700000,120500000,-265630000,436300000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2024Q1,68350000,13400000,280300000,0,1290000000,-89400000,-135870000,379400000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023,518390000,128900000,1407000000,108200000,4040780000,-156100000,-861430000,1308300000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023Q4,1135420000,41200000,495400000,84300000,827700000,4800000,594020000,398700000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023Q3,-276070000,21700000,48600000,8500000,1195320000,-1100000,-345280000,308800000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023Q2,246030000,25900000,234000000,6700000,1046880000,57800000,-71680000,315300000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023Q1,-586990000,40100000,629000000,8700000,970880000,-217600000,-1038490000,285500000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2022,-3406380000,142100000,-1740660000,200000,3572740000,217000000,-2283380000,1472600000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2022Q4,3370000,26100000,318210000,100000,1089760000,232800000,-573700000,322100000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2022Q3,-912680000,25100000,-723280000,0,910940000,63000000,-277510000,363100000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2022Q2,-1562610000,60000000,-781200000,0,691600000,-150100000,-949840000,354100000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2022Q1,-934460000,30900000,-554390000,100000,880440000,71300000,-482330000,433300000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2021,510130000,203900000,-2541480000,0,3354910000,-252398968,3099980000,2413890000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2021Q4,-1174570000,45000000,-681120000,0,793200000,-305984057,-232510000,517180000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2021Q3,-685050000,34000000,-1098510000,0,846890000,-63695651,443140000,942550000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2021Q2,2799680000,27100000,-564850000,0,807740000,57043931,3280410000,542910000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2021Q1,-429930000,97800000,-197000000,0,907080000,60236808,-391060000,411250000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2020,377460000,250000000,-2133960000,168120000,3564740000,-375774057,2637050000,1333360000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2020Q4,43260000,73000000,-896370000,99720000,974280000,-335028481,1202090000,346930000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2020Q3,-675680000,38000000,-689430000,68400000,865140000,15137396,-39700000,429250000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2020Q2,-466580000,62000000,-654090000,0,956330000,106175875,19380000,331130000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2020Q1,1476460000,77000000,105930000,0,768990000,-162058848,1455280000,226050000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2019,1341000000,257080000,-1863970000,17650000,3386440000,137339982,2810550000,3292070000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2019Q4,462130000,69300000,-366640000,17650000,894860000,34333647,725130000,835610000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2019Q3,-444440000,79230000,-836200000,0,812930000,90145949,222390000,762690000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2019Q2,-1674000000,67650000,-839140000,0,884520000,-99775795,-802730000,956810000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2019Q1,2997310000,40900000,178010000,0,794130000,112636181,2665760000,736960000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2018,-671520000,257760000,-2043920000,18700000,2564350000,-128011494,1242660000,2908180000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2018Q4,85860000,31960000,-1041940000,0,630990000,209252777,886590000,497080000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2018Q3,-385760000,67310000,-592640000,0,657410000,-9444992,149010000,1063790000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2018Q2,241910000,75240000,-636170000,18700000,719310000,-67454181,870300000,986070000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2018Q1,-613530000,83250000,226830000,0,556640000,-260365098,-663240000,361240000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2017,1091440000,242200000,-2002580000,0,2424200000,78301353,2773530000,3239080000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2017Q4,712180000,35410000,-808200000,0,640330000,184945783,1300030000,888760000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2017Q3,-838520000,34410000,-1013010000,0,552290000,134265321,5820000,899120000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2017Q2,1626100000,64410000,-509520000,0,568470000,-126365336,2197570000,892900000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2017Q1,-408320000,107970000,328150000,0,663110000,-114544416,-729890000,558300000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2016,247430000,274320000,-3096200000,25600000,1431030000,1060076228,2283560000,3470660000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2016Q4,1615940000,68580000,-821300000,4950000,230350000,390638997,2046610000,963860000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2016Q3,-522390000,68580000,-939370000,13080000,413040000,197076325,219900000,876320000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2016Q2,-397220000,68580000,-703090000,3750000,334110000,222378530,83490000,834160000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2016Q1,-448900000,68580000,-632440000,3820000,453530000,249982376,-66440000,796320000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2015,-15880000,473880000,-3032500000,222390000,2375330000,-2391809865,2649370000,2970890000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2015Q4,1875130000,118470000,-1030560000,21920000,497200000,-2612432163,2759060000,846210000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2015Q3,-284640000,118470000,-882970000,102810000,870610000,142614051,455720000,841310000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2015Q2,-757800000,118470000,-361870000,97660000,598000000,-8776263,-387160000,815870000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2015Q1,-848570000,118470000,-757100000,0,409520000,86784510,-178250000,467500000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2014,-86070000,0,-3879520000,9570000,1998910000,-3712145710,3752800000,3356990000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2014Q4,396240000,0,-873180000,0,645360000,-2130780512,1700100000,918750000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2014Q3,935000000,0,-915820000,8570000,420920000,-1070580011,1460700000,621250000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2014Q2,-522360000,0,-1007660000,0,438830000,300101695,92600000,829490000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2014Q1,-894950000,0,-1082860000,1000000,493800000,-810886882,499400000,987500000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2013,-699210000,349250000,-5869800000,80290000,1859150000,151677811,5018910000,3226330000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2013Q4,699850000,150880000,-1395070000,56740000,429500000,-330671881,2425590000,871900000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2013Q3,-99550000,150880000,-2226080000,0,459130000,724426565,1402100000,899800000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2013Q2,-618090000,27860000,-1097020000,16040000,541110000,338823962,140110000,904910000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2013Q1,-681420000,19630000,-1151630000,7510000,429410000,-580900835,1051110000,549720000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2012,-454210000,283400000,-5041670000,257820000,2147510000,1219590928,3367860000,3293430000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2012Q4,1088120000,69690000,-895530000,23920000,430890000,101997012,1881650000,349760000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2012Q3,-293350000,75850000,-1570640000,54140000,372930000,144349240,1132940000,1249900000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2012Q2,-771730000,58460000,-1559720000,39480000,476760000,512017381,275970000,796250000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2012Q1,-477250000,79400000,-1015780000,140280000,866930000,461227296,77300000,897520000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2011,546530000,445060000,-3706990000,228650000,2368770000,219265597,4034250000,3222250000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2011Q4,834680000,0,-1958270000,0,592190000,34770000,2758180000,429390000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2011Q3,-278670000,152760000,-802160000,63990000,507680000,218980000,304510000,1047720000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2011Q2,144730000,164330000,-412110000,81060000,595140000,-26210000,583050000,963580000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2011Q1,-154210000,127970000,-534450000,83600000,673760000,-8274403,388510000,781560000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2010,1462670000,337470000,-2959140000,199740000,2122690000,694740000,3727070000,2527360000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2010Q4,1363840000,88960000,-986670000,0,530670000,482490000,1868020000,516100000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2010Q3,-98020000,15600000,-691870000,52000000,641880000,170350000,423500000,619690000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2010Q2,44830000,85500000,-671130000,37830000,500220000,-137460000,853420000,840140000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2010Q1,152020000,147410000,-609470000,109910000,449920000,179360000,582130000,551430000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009,1158780000,563890000,-1696600000,289620000,1788380000,352210000,2503170000,1677840000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009Q4,1188240000,127080000,-205470000,102540000,494420000,-70780000,1464490000,414440000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009Q3,596520000,121000000,-536660000,5720000,468910000,338890000,794290000,359950000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009Q2,-221710000,166570000,-352680000,44170000,424220000,58110000,72860000,477450000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2009Q1,-404270000,149240000,-601790000,137190000,400830000,25990000,171530000,426000000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008,-940750000,463310000,-3543140000,241110000,1970390000,259285631,2343100000,2111590000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008Q4,-223930000,103810000,-813780000,14510000,480290000,-15250000,605100000,421650000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008Q3,65850000,111270000,-1280350000,3090000,495580000,205100000,1141100000,1355140000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008Q2,-520770000,121120000,-647960000,85870000,486890000,178790000,-51600000,204870000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2008Q1,-261900000,127110000,-801050000,137640000,507630000,-109354369,648500000,129930000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2007,413110000,188140000,-2201480000,209370000,1833810000,211300000,2403290000,970380000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2007Q4,980090000,24540000,-702690000,40920000,583590000,27910000,1654870000,446000000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2007Q3,-442670000,56800000,-859030000,5400000,508160000,47180000,369180000,260620000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2007Q2,210810000,48560000,-216840000,86930000,380990000,109640000,318010000,240190000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2007Q1,-335120000,58240000,-422920000,76120000,361070000,26570000,61230000,23570000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006,415120000,229940000,-1040190000,603680000,1644580000,200680000,1254630000,636010000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006Q4,461880000,50330000,-473010000,37370000,372520000,92040000,842850000,72490000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006Q3,-318970000,70270000,-531580000,70150000,363830000,17640000,194970000,305540000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006Q2,5020000,47810000,-174410000,89390000,465230000,2740000,176690000,59860000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2006Q1,267190000,61530000,138810000,406770000,443000000,88260000,40120000,198120000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2005,84340000,0,-773410000,575660000,1549760000,23257336,834490000,144970000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2005Q4,280130000,0,-210270000,124650000,533970000,-81837296,572240000,57660000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2005Q3,87030000,0,-327290000,196650000,348110000,132795391,281520000,37230000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2005Q2,-128020000,0,-155500000,169090000,311710000,-4345706,31830000,31490000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2005Q1,-154800000,0,-80350000,85270000,355970000,-23355053,-51100000,18590000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2004,-10500000,0,-315830000,543930000,1287050000,103799268,201570000,139270000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2004Q4,181020000,0,-312900000,152420000,302190000,171987770,321930000,53750000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2004Q3,32880000,0,-46010000,148040000,257640000,55325610,23560000,43000000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2004Q2,-72100000,0,27010000,119010000,406210000,15420519,-114520000,22000000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2004Q1,-152300000,0,16070000,124460000,321010000,-138934632,-29400000,20520000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2003,558300000,0,278030000,382000000,1017200000,-60069841,340350000,105400000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2003Q4,336700000,0,94390000,80900000,297400000,-106236333,348550000,24000000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2003Q3,213700000,0,79750000,121400000,294600000,117154063,16800000,27000000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2003Q2,82100000,0,93210000,115900000,232200000,8889885,-20000000,20300000
Ghana International Finance,Ghana Statistical Service (GSS StatsBank),2026-04-20,2003Q1,-74200000,0,10680000,63800000,193000000,-79877455,-5000000,34100000
