Dataset,Source,Scraped Date,Time_Period,Value in Ghana Cedis (nominal),Value in Ghana Cedis (real),Value in US Dollars,Net weight in KG
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2025Q2,157314990553,56796617003,12451257177,12418521511
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2025M06,41280558352,15120007889,4015027870,4038293456
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2025M05,52299738828,18848526391,4254951187,4607699139
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2025M04,63734693373,22828082723,4181278120,3772528917
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2025Q1,181605044111,56487366413,11846861966,11611773289
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2025M03,59335643109,18349913182,3819995218,2860056107
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2025M02,63785793967,19694612943,4118880055,4237731106
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2025M01,58483607035,18442840288,3907986693,4513986076
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2024,545076556968,199818694698,38186161856,40830943842
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2024Q4,165355718081,53989826318,10614624929,11114816136
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2024M12,49991677111,16252252828,3383085024,3318001577
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2024M11,60168938987,19717842880,3780576756,3742273063
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2024M10,55195101982,18019730611,3450963148,4054541495
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2024Q3,149137277274,51776861414,9851379331,10619453501
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2024M09,51204590392,17740014311,3286453143,3134587885
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2024M08,47081916934,16410744462,3117969229,3012996961
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2024M07,50850769948,17626102641,3446956958,4471868654
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2024Q2,123003685130,47074651386,8962994340,9382356145
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2024M06,41960085126,15921866995,2922800299,3141333006
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2024M05,42667863727,16450264657,3098500997,3351386001
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2024M04,38375736277,14702519733,2941693044,2889637138
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2024Q1,107579876483,46977355579,8757163257,9714318061
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2024M03,38859131407,16933947660,3067270993,3082069720
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2024M02,32577893438,14264650745,2661932075,3144542668
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2024M01,36142851637,15778757173,3027960189,3487705673
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2023,366638334442,177950347980,33148585075,38635070254
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2023Q4,105182951832,48524809996,9121556611,9713186479
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2023M12,37121161744,17121874055,3181339335,3487481631
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2023M11,37406106234,17248975378,3238981724,2865993672
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2023M10,30655683853,14153960563,2701235551,3359711176
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2023Q3,90086255041,43539056154,8171837741,12280535570
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2023M09,29768755937,14379858793,2690944248,5470302941
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2023M08,33673898059,16261090160,3059222365,3852236034
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2023M07,26643601045,12898107200,2421671127,2957996595
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2023Q2,85041199202,42074770711,7767537231,9263491102
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2023M06,28104946038,13905962232,2558767308,3605977114
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2023M05,30996743730,15334200237,2839127647,2992742117
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2023M04,25939509434,12834608242,2369642276,2664771872
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2023Q1,86327928368,43811711119,8087653493,7377857103
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2023M03,32207058048,16351038053,2924213232,2587904806
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2023M02,26295606171,13344784287,2420864442,2277984969
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2023M01,27825264149,14115888779,2742575818,2511967329
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2022,292358346938,179118560829,35950612099,32599935570
Ghana International Merchandise Trade,Ghana Statistical Service (GSS StatsBank),2026-05-01,2022Q4,91416655640,41887809025,8149370161,7783615128
