Dataset,Source,Scraped Date,Month,Producer Price Index All industries,Producer Price Index Mining and quarrying,Producer Price Index Mining and quarrying (excluding petroleum)*,Producer Price Index Manufacturing,Producer Price Index Electricity and gas,"Producer Price Index Water supply, sewerage, waste management","Producer Price Index Water collection, treatment and supply*",Producer Price Index Construction,Producer Price Index Transportation and storage,Producer Price Index Accommdation and food service,Producer Price Index Information and communication,Year-on-year PPI change (%) All industries,Year-on-year PPI change (%) Mining and quarrying,Year-on-year PPI change (%) Mining and quarrying (excluding petroleum)*,Year-on-year PPI change (%) Manufacturing,Year-on-year PPI change (%) Electricity and gas,"Year-on-year PPI change (%) Water supply, sewerage, waste management","Year-on-year PPI change (%) Water collection, treatment and supply*",Year-on-year PPI change (%) Construction,Year-on-year PPI change (%) Transportation and storage,Year-on-year PPI change (%) Accommdation and food service,Year-on-year PPI change (%) Information and communication,Month-on-month PPI change (%) All industries,Month-on-month PPI change (%) Mining and quarrying,Month-on-month PPI change (%) Mining and quarrying (excluding petroleum)*,Month-on-month PPI change (%) Manufacturing,Month-on-month PPI change (%) Electricity and gas,"Month-on-month PPI change (%) Water supply, sewerage, waste management","Month-on-month PPI change (%) Water collection, treatment and supply*",Month-on-month PPI change (%) Construction,Month-on-month PPI change (%) Transportation and storage,Month-on-month PPI change (%) Accommdation and food service,Month-on-month PPI change (%) Information and communication
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2026M01,274.9,368.3,479.9,261.2,234.1,174.5,189.4,224.6,224.9,232.2,127.3,1.6,3.7,31.5,-2.2,14.8,9.9,17.2,1.1,-6.9,-5.4,1.4,3.3,7.0,11.7,-0.4,8.6,7.5,15.5,-0.5,-2.3,-0.4,-0.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2025M12,266.0,344.3,429.6,262.2,215.6,162.4,164.0,225.7,230.2,233.2,127.4,1.9,3.3,21.8,0.1,6.1,2.3,1.5,1.9,-3.7,-3.2,1.7,-0.8,-1.4,-0.2,-0.6,0.1,0.0,0.0,0.3,0.9,0.7,0.0
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2025M11,268.1,349.0,430.4,263.7,215.4,162.3,164.0,225.1,228.3,231.7,127.3,1.3,2.3,23.2,0.5,4.0,2.3,1.5,0.7,-10.2,-6.1,1.5,-1.9,-4.6,-5.7,0.5,-0.8,0.0,0.0,0.4,-0.9,-1.1,0.0
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2025M10,273.4,366.0,456.4,262.5,217.2,162.4,164.0,224.2,230.3,234.3,127.3,1.4,0.7,16.9,2.5,5.0,2.3,1.5,0.4,-8.7,-1.7,1.6,1.2,1.5,1.9,1.5,-0.6,0.0,0.0,2.8,1.7,-1.0,0.0
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2025M09,270.1,360.5,447.8,258.7,218.5,162.4,164.0,218.0,226.4,236.8,127.3,3.2,5.0,23.4,1.7,9.0,3.1,3.2,4.6,-8.2,0.6,1.7,0.9,1.4,0.9,0.2,2.6,1.7,0.0,0.2,2.1,5.2,0.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2025M08,267.7,355.6,443.6,258.3,212.9,159.7,164.0,217.5,221.8,225.0,127.0,3.0,4.9,29.5,1.5,6.9,4.4,5.2,4.9,-8.0,-3.4,1.5,2.1,3.5,3.7,1.4,0.8,0.0,0.0,0.1,2.0,1.5,0.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2025M07,262.2,343.5,427.7,254.7,211.3,159.7,164.0,217.4,217.4,221.7,126.9,3.7,4.6,33.1,3.2,6.7,5.1,5.2,5.3,-8.1,-2.8,2.6,1.5,2.2,3.8,1.2,2.2,0.5,1.1,0.3,1.1,1.5,0.0
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2025M06,258.2,336.2,412.2,251.7,206.7,158.8,162.3,216.6,215.1,218.4,126.9,5.8,6.5,33.6,7.2,5.1,4.5,4.1,5.9,-7.0,-2.8,2.6,-1.6,-2.0,-0.8,-1.4,-3.4,-0.1,0.0,-0.5,0.7,-6.6,-0.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2025M05,262.4,343.2,415.7,255.3,214.1,158.9,162.3,217.8,213.6,233.8,127.2,10.2,13.6,39.9,10.1,8.9,5.2,5.3,7.4,-4.8,6.4,2.9,-4.3,-4.8,-2.0,-5.5,4.6,0.1,0.4,-2.8,-13.5,-9.2,-0.3
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2025M04,274.1,360.3,424.3,270.2,204.6,158.7,161.6,224.0,247.0,257.5,127.6,18.7,24.3,56.0,19.9,5.3,5.8,4.8,13.9,16.2,20.6,3.4,-0.7,-1.6,2.7,-0.4,-0.4,0.0,0.0,-0.2,-1.5,-0.4,1.5
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2025M03,276.1,366.0,413.1,271.4,205.5,158.8,161.6,224.6,250.7,258.5,125.7,24.4,35.4,62.2,22.9,5.1,5.8,4.8,15.4,20.4,22.6,4.1,0.6,1.0,6.4,0.3,0.1,0.0,0.0,0.1,1.1,1.4,0.0
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2025M02,274.5,362.3,388.2,270.7,205.3,158.8,161.6,224.3,247.9,254.8,125.7,27.7,44.6,67.4,20.8,9.7,5.8,4.8,15.8,22.7,29.1,4.2,1.5,2.0,6.4,1.3,0.7,0.0,0.0,1.0,2.6,3.8,0.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-04-20,2025M01,270.6,355.2,365.0,267.2,203.8,158.7,161.6,222.2,241.5,245.5,125.5,28.6,47.5,61.2,20.0,9.5,5.8,4.8,29.8,22.0,29.0,4.2,3.6,6.6,3.5,2.0,0.3,0.0,0.0,0.3,1.0,1.9,0.2
