Dataset,Source,Scraped Date,Month,Producer Price Index,Year-on-year PPI change (%),Month-on-month PPI change (%)
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2026M01,274.9,1.6,3.3
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2025M12,266.0,1.9,-0.8
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2025M11,268.1,1.3,-1.9
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2025M10,273.4,1.4,1.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2025M09,270.1,3.2,0.9
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2025M08,267.7,3.0,2.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2025M07,262.2,3.7,1.5
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2025M06,258.2,5.8,-1.6
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2025M05,262.4,10.2,-4.3
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2025M04,274.1,18.7,-0.7
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2025M03,276.1,24.4,0.6
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2025M02,274.5,27.7,1.5
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2025M01,270.6,28.6,3.6
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2024M12,261.1,26.1,-1.4
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2024M11,264.7,27.0,-1.8
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2024M10,269.6,33.0,3.0
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2024M09,261.7,30.5,0.7
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2024M08,259.8,33.2,2.7
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2024M07,252.9,29.0,3.7
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2024M06,244.0,25.6,2.5
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2024M05,238.1,23.4,3.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2024M04,231.0,16.5,4.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2024M03,221.9,15.1,3.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2024M02,215.0,11.9,2.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2024M01,210.4,17.1,1.7
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2023M12,207.0,16.4,-0.7
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2023M11,208.4,1.7,2.8
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2023M10,202.7,9.5,1.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2023M09,200.5,24.9,2.8
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2023M08,195.1,28.1,-0.4
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2023M07,196.0,32.7,0.9
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2023M06,194.3,29.1,0.7
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2023M05,193.0,30.1,-2.6
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2023M04,198.2,34.1,2.8
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2023M03,192.8,33.3,0.3
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2023M02,192.2,50.6,7.0
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2023M01,179.7,52.2,1.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2022M12,177.8,55.4,-13.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2022M11,204.9,80.5,10.8
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2022M10,185.0,63.5,15.3
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2022M09,160.5,45.8,5.4
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2022M08,152.3,41.0,3.1
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2022M07,147.6,36.9,-1.9
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2022M06,150.5,41.6,1.5
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2022M05,148.4,41.3,0.4
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2022M04,147.8,46.2,2.2
Ghana Producer Price Index (PPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2022M03,144.6,42.8,13.3
