Dataset,Source,Scraped Date,Quarter,Unit Value Index Export,Unit Value Index Import,Year-on-year UVI change (%) Export,Year-on-year UVI change (%) Import,Quarter-on-quarter UVI change (%) Export,Quarter-on-quarter UVI change (%) Import
Ghana Export & Import Price Indices (XMPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2025Q2,358.3,208.0,25.4,-13.0,-4.2,-18.5
Ghana Export & Import Price Indices (XMPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2025Q1,373.9,255.4,58.5,15.5,4.2,-1.0
Ghana Export & Import Price Indices (XMPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2024Q4,358.7,257.9,64.0,20.2,10.8,0.4
Ghana Export & Import Price Indices (XMPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2024Q3,323.7,256.8,53.5,26.3,13.3,7.4
Ghana Export & Import Price Indices (XMPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2024Q2,285.7,239.0,40.5,18.9,21.1,8.1
Ghana Export & Import Price Indices (XMPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2024Q1,235.8,221.1,20.4,11.5,7.8,3.0
Ghana Export & Import Price Indices (XMPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2023Q4,218.7,214.6,4.0,-5.7,3.7,5.6
Ghana Export & Import Price Indices (XMPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2023Q3,210.8,203.3,36.3,17.6,3.7,1.1
Ghana Export & Import Price Indices (XMPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2023Q2,203.3,201.1,37.1,35.6,3.8,1.4
Ghana Export & Import Price Indices (XMPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2023Q1,195.9,198.3,52.3,53.4,-6.9,-12.8
Ghana Export & Import Price Indices (XMPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2022Q4,210.3,227.5,88.8,99.0,36.0,31.6
Ghana Export & Import Price Indices (XMPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2022Q3,154.7,172.8,47.1,57.4,4.3,16.6
Ghana Export & Import Price Indices (XMPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2022Q2,148.2,148.3,43.0,41.4,15.2,14.7
Ghana Export & Import Price Indices (XMPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2022Q1,128.7,129.2,28.7,29.2,15.5,13.0
Ghana Export & Import Price Indices (XMPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2021Q4,111.4,114.3,..,..,6.0,4.2
Ghana Export & Import Price Indices (XMPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2021Q3,105.2,109.8,..,..,1.4,4.7
Ghana Export & Import Price Indices (XMPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2021Q2,103.7,104.9,..,..,3.7,4.9
Ghana Export & Import Price Indices (XMPI),Ghana Statistical Service (GSS StatsBank),2026-05-01,2021Q1,100.0,100.0,..,..,..,..
