Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Description,URL,Source,Scraped Date
Commercial Equipment & Tools,A3 Dtf Printer,37000.0,"GH₵ 37,000",,Greater Accra,Kokomlemle,"Greater Accra, Kokomlemle","A3 dtf printer double xp 600 print head for Sublimation of Shirts, Mugs.
Free 2kg melt powder |...",https://jiji.com.gh/kokomlemle/printing-equipment/a3-dtf-printer-5nUp3Of3OWYrXwrqugN8pkCp.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,"Block Production Mixer – High Output, Strong Mix",16990.0,"GH₵ 16,990",,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan","block production mixer – high output, strong mix 
still mixing materials by hand? you are losing...",https://jiji.com.gh/kumasi-metropolitan/manufacturing-equipments/block-production-mixer-high-output-strong-mix-BEXnKZLniAUw30UiZpBrNYke.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Hernia Belt,450.0,GH₵ 450,,Greater Accra,Accra New Town,"Greater Accra, Accra New Town",Adult hernia belt available all sizes available,https://jiji.com.gh/accra-new-town/medical-equipment/hernia-belt-l0QVKpiXgiyopV0pAePyGDdP.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,HIV Test Kits (Retro Test Kits),100.0,GH₵ 100,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",This TEST KITS is available at McSARPONG MEDICAL CO. LTD at Spintex.This HIV Test Kit will help you...,https://jiji.com.gh/accra-metropolitan/medical-equipment/hiv-test-kits-retro-test-kits-ypNI2UuF8JVuncfI1mhbnO3b.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Display Refrigerator 3doors Pearl PVC-150,12999.0,"GH₵ 12,999",Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka","3 Doors Glass display fridge
Capacity: 950 Liters
Fast cooling
Energy Saving
See-Through inside LED...",https://jiji.com.gh/adabraka/store-equipments/display-refrigerator-3doors-pearl-pvc-150-lkYD341kd8PFxpC5jvXRJvzd.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Equator 3000 Professional Wall Mounted Hair Dryer,1450.0,"GH₵ 1,450",,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Quality hair drying equipment. 
Brand new in box",https://jiji.com.gh/accra-metropolitan/salon-equipment/equator-3000-professional-wall-mounted-hair-dryer-yBtSb40PrqqkBEeQpnYml0iK.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Sinocare Ican Cgm System,1010.0,"GH₵ 1,010",,Greater Accra,West Legon,"Greater Accra, West Legon",Continuous glucose monitoring system,https://jiji.com.gh/west-legon/medical-equipment/sinocare-ican-cgm-system-Js9o7sVtjWhIRKdrgm2oNGa.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Juki Sewing Machine (Full Set). In Kumasi and Accra,3350.0,"GH₵ 3,350",,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan",Used Industrial sewing machine. Original Juki.,https://jiji.com.gh/kumasi-metropolitan/manufacturing-equipments/juki-sewing-machine-full-set-in-kumasi-and-accra-8Co6XAZIPUDcHUxORRNSBOY3.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Brand New Sggemsy Industrial Sewing Machines for Sale.,3999.0,"GH₵ 3,999",,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Brand new sg-gemsy industrial sewing machines for sale.I have other brands like jaki,...",https://jiji.com.gh/accra-metropolitan/manufacturing-equipments/brand-new-sggemsy-industrial-sewing-machines-for-sale-myyjP8SGHahgpZUJdIcW0X1i.html,Jiji Ghana (jiji.com.gh),2026-04-27
Commercial Equipment & Tools,Nce Wall Mount Hair Dryer,2300.0,"GH₵ 2,300",Bulk prices,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Beautiful wall mount hair dryer,https://jiji.com.gh/accra-metropolitan/salon-equipment/nce-wall-mount-hair-dryer-aoRTN1yEtdfAEYZnm33UDvqy.html,Jiji Ghana (jiji.com.gh),2026-04-27
