Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Seller Badge,Description,URL,Source,Scraped Date
Commercial Equipment,"Get a New Pearl Display Fridge PVC28 ,178 Litres.",6499.0,"GH₵ 6,499",Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",5+ years on Jiji,"Energy Saving
See-Through inside LED lamp
Lockable double glazed doors with handles
Large internal...",https://jiji.com.gh/adabraka/store-equipments/get-a-new-pearl-display-fridge-pvc28-178-litres-q0RxEvkDq41bq1EBNoemtUZD.html,Jiji Ghana (jiji.com.gh),2026-05-04
Commercial Equipment,CNC Cutting Plasma,70000.0,"GH₵ 70,000",,Central Region,Gomoa East,"Central Region, Gomoa East",,1500w it has no fault and I am the first owner. Cnc plasma cutting machine including the air...,https://jiji.com.gh/gomoa-east/manufacturing-equipments/cnc-cutting-plasma-zDVmDVOom0DcCVW50HJ0Bmin.html,Jiji Ghana (jiji.com.gh),2026-05-04
Commercial Equipment,Amazing Deal on Pearl Display Single Door Fridge,5999.0,"GH₵ 5,999",Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",5+ years on Jiji,"Fast cooling
Energy Saving
See-Through inside LED lamp
Lockable double glazed doors with...",https://jiji.com.gh/adabraka/store-equipments/amazing-deal-on-pearl-display-single-door-fridge-uiX7c0JTnI34JMWZaXvP8nbi.html,Jiji Ghana (jiji.com.gh),2026-05-04
Commercial Equipment,Picana Stun Gun Taser Flashlight 800 Type 30000 Kv,400.0,GH₵ 400,,Greater Accra,Ga East Municipal,"Greater Accra, Ga East Municipal","Verified ID, 5+ years on Jiji","Description
Portable pocket size taser

Picana / Taser / Stun Gun / Tactical Flashlight
YRG 800 Type...",https://jiji.com.gh/ga-east-municipal/safety-equipment/picana-stun-gun-taser-flashlight-800-type-30000-kv-zozJZq7sNyistYqeEo9PDmX7.html,Jiji Ghana (jiji.com.gh),2026-05-04
Commercial Equipment,Zeta Afyreye Mkii Addressable Optical Smoke Detector.,800.0,GH₵ 800,,Greater Accra,Kaneshie,"Greater Accra, Kaneshie",Verified ID,"Zeta Alarms.
Afyreye MKII (e.g MKII-AOP).
Designed to detect some in commercial and residential...",https://jiji.com.gh/kaneshie/safety-equipment/zeta-afyreye-mkii-addressable-optical-smoke-detector-d7FscCD9lxxOzIH34snPrIiI.html,Jiji Ghana (jiji.com.gh),2026-05-04
Commercial Equipment,Fabulous Nasco Single Door Display Fridge(Nasfl360-1dr).,6499.0,"GH₵ 6,499",Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",3+ years on Jiji,"Nasco NasFL360-1DR Single Door Display Fridge
Energy Saving
Fast Cooling
Classic Design",https://jiji.com.gh/adabraka/store-equipments/fabulous-nasco-single-door-display-fridge-nasfl360-1dr-kFXYY5oT16hYJTfjKHpZLImr.html,Jiji Ghana (jiji.com.gh),2026-05-04
Commercial Equipment,Hikvision 55-65-75 Inch Conference Flat Panel Brackets,4500.0,"GH₵ 4,500",Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji","Color Silver gray
Material SPCC high quality steel plate
Surface Treatment Sheet metal...",https://jiji.com.gh/accra-metropolitan/store-equipments/hikvision-55-65-75-inch-conference-flat-panel-brackets-bbfDEotRBz8HBj6LuJsXrUBl.html,Jiji Ghana (jiji.com.gh),2026-05-04
Commercial Equipment,Floor Marking Tape,250.0,GH₵ 250,,Greater Accra,Spintex,"Greater Accra, Spintex",,"Special Feature Anti Slip
Highly durable, easy to apply, easy to remove
Made of tough, resilient...",https://jiji.com.gh/spintex/safety-equipment/floor-marking-tape-CyDIOAHikKzu0NpKEruSQHwn.html,Jiji Ghana (jiji.com.gh),2026-05-04
Commercial Equipment,See Through Vertical Display Fridge Pearl PVC 424-2b,5999.0,"GH₵ 5,999",Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",5+ years on Jiji,"Fast cooling
Energy Saving
See-Through inside LED lamp
Lockable double glazed doors with...",https://jiji.com.gh/adabraka/store-equipments/see-through-vertical-display-fridge-pearl-pvc-424-2b-ldlp3chIWZjaEneJVePdAlD5.html,Jiji Ghana (jiji.com.gh),2026-05-04
Commercial Equipment,Flagging Tape,16.0,GH₵ 16,,Greater Accra,Spintex,"Greater Accra, Spintex",,"Durable White Tape - Our flag tape is made from high-quality, durable material that will last for...",https://jiji.com.gh/spintex/safety-equipment/flagging-tape-zQwxvIiyG17FnWjEXU70dRST.html,Jiji Ghana (jiji.com.gh),2026-05-04
Commercial Equipment,Better Deal on Pearl Display Fridge PVC-74 Double Door,7999.0,"GH₵ 7,999",Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",5+ years on Jiji,"Fast cooling
Energy Saving
See-Through inside LED lamp
Lockable double glazed doors with...",https://jiji.com.gh/adabraka/store-equipments/better-deal-on-pearl-display-fridge-pvc-74-double-door-xvqTkOwY1niCfBIQRxwAz4Qf.html,Jiji Ghana (jiji.com.gh),2026-05-04
Commercial Equipment,Carton Boxes for Packaging,15.0,GH₵ 15,,Greater Accra,East Legon,"Greater Accra, East Legon",Verified ID,"Strong boxes for packaging 
DESCRIPTION 
Available in different sizes",https://jiji.com.gh/east-legon/stationery/carton-boxes-for-packaging-dvsAPBKVC9C5ga2sdWsuJJtj.html,Jiji Ghana (jiji.com.gh),2026-05-04
Commercial Equipment,Ipower Pro Max,1150.0,"GH₵ 1,150",,Greater Accra,Circle,"Greater Accra, Circle",,The iPower Pro Max (most commonly from the brand QianLi) is a professional DC power supply control...,https://jiji.com.gh/circle/manufacturing-equipments/ipower-pro-max-wfLl8j0oAfbMOHU5Zddsxj2f.html,Jiji Ghana (jiji.com.gh),2026-05-04
Commercial Equipment,Brand New Sggemsy Industrial Sewing Machines for Sale.,3999.0,"GH₵ 3,999",,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",5+ years on Jiji,"Brand new sg-gemsy industrial sewing machines for sale.I have other brands like jaki,...",https://jiji.com.gh/accra-metropolitan/manufacturing-equipments/brand-new-sggemsy-industrial-sewing-machines-for-sale-myyjP8SGHahgpZUJdIcW0X1i.html,Jiji Ghana (jiji.com.gh),2026-05-04
Commercial Equipment,Salon Hair Sofa Sink Chair,2950.0,"GH₵ 2,950",Bulk prices,Greater Accra,Madina,"Greater Accra, Madina",3+ years on Jiji,Salon Sofa Hair sink chair,https://jiji.com.gh/madina/salon-equipment/salon-hair-sofa-sink-chair-mN89Llu0trVP1GBoJzkDy08n.html,Jiji Ghana (jiji.com.gh),2026-05-04
Commercial Equipment,Massaging Bed With Neck Rest,1500.0,"GH₵ 1,500",,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,SOFT SPONGE PAD: The massage bed uses PVC and sponge soft pads to provide customers with excellent...,https://jiji.com.gh/accra-metropolitan/salon-equipment/massaging-bed-with-neck-rest-s3LGPzAWnNXCJdVcY0al9f8E.html,Jiji Ghana (jiji.com.gh),2026-05-04
Commercial Equipment,Display Refrigerator 3doors Pearl PVC-150,12999.0,"GH₵ 12,999",Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",5+ years on Jiji,"3 Doors Glass display fridge
Capacity: 950 Liters
Fast cooling
Energy Saving
See-Through inside LED...",https://jiji.com.gh/adabraka/store-equipments/display-refrigerator-3doors-pearl-pvc-150-lkYD341kd8PFxpC5jvXRJvzd.html,Jiji Ghana (jiji.com.gh),2026-05-04
Commercial Equipment,Nce Wall Mount Hair Dryer,2300.0,"GH₵ 2,300",Bulk prices,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",3+ years on Jiji,Beautiful wall mount hair dryer,https://jiji.com.gh/accra-metropolitan/salon-equipment/nce-wall-mount-hair-dryer-aoRTN1yEtdfAEYZnm33UDvqy.html,Jiji Ghana (jiji.com.gh),2026-05-04
