Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Seller Badge,Description,URL,Source,Scraped Date
Electronics,Laptop Fans,100.0,GH₵ 100,Brand New,Greater Accra,Lapaz,"Greater Accra, Lapaz","4.9, Popular",Hp laptop fans available for sale,https://jiji.com.gh/lapaz/computer-hardware/laptop-fans-8E9KoTmX4u0uSpTgWfeA0Zti.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,JBL Eon Active Speaker,9200.0,"GH₵ 9,200",Used,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",3+ years on Jiji,"JBL active speakers, mainly for occasions.",https://jiji.com.gh/accra-metropolitan/audio-and-music-equipment/jbl-eon-active-speaker-wI51e2EYvu56aqkfQIebJe2d.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,Digital Baofeng Professional Fm Transceiver Walkie Talkie,450.0,GH₵ 450,Brand New,Greater Accra,Circle,"Greater Accra, Circle","Verified ID, 5+ years on Jiji","What Is It Used For?
A digital Baofeng walkie-talkie is used for:
 1. Communication
	•	Talking to...",https://jiji.com.gh/circle/audio-and-music-equipment/digital-baofeng-professional-fm-transceiver-walkie-talkie-mkQig1DFTumVxd2gZVmf86Ew.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,Laptop Cpu Fan for Hp and Lenovo,160.0,GH₵ 160,Brand New,Greater Accra,Kokomlemle,"Greater Accra, Kokomlemle","Verified ID, 5+ years on Jiji",I have for Hp and Lenovo fans. prices ranges from depending on the type u want,https://jiji.com.gh/kokomlemle/computer-hardware/laptop-cpu-fan-for-hp-and-lenovo-iFCjulujen5pxwSKOV6WCfkF.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,External Laptop Batteries (170 to 250cedis),200.0,GH₵ 200,Brand New,Greater Accra,Madina,"Greater Accra, Madina",Verified ID,"Explore our extensive collection of laptop batteries, designed for a wide range of brands and...",https://jiji.com.gh/madina/computer-accessories/external-laptop-batteries-170-to-250cedis-hg0qitRlNKV2mdopmMIbi55P.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,USB Wifi Adapter,35.0,GH₵ 35,Brand New,Greater Accra,Circle,"Greater Accra, Circle",5+ years on Jiji,Connect your PC to a wireless network with the help of this card delivery available if apply at a...,https://jiji.com.gh/circle/computer-accessories/usb-wifi-adapter-3wGOR8EU7gPLoczHqg4gcm1N.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,SSD Nvme 256 Gb for Upgrade,500.0,GH₵ 500,Used,Greater Accra,Osu,"Greater Accra, Osu","Verified ID, 5+ years on Jiji","All hard drives were obtained from new laptops
All hard drives support laptop & desktop",https://jiji.com.gh/osu/computer-hardware/ssd-nvme-256-gb-for-upgrade-hsV3q3wsmm6dRtc9BcWWZvJG.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,Original Microsoft Surface 1769 Battery for 1782 Dynk01 G3hta036h,450.0,GH₵ 450,Brand New,Greater Accra,Accra New Town,"Greater Accra, Accra New Town","Verified ID, 5+ years on Jiji",Original Microsoft Surface 1769 Laptop Battery 5900mAh Battery Replacement for Microsoft Surface...,https://jiji.com.gh/accra-new-town/computer-accessories/original-microsoft-surface-1769-battery-for-1782-dynk01-g3hta036h-8589eRoukDuTMz0iQrqMKFNo.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,4in1 Hdmi Wireless Extender/Transmitter 150m,2700.0,"GH₵ 2,700",Brand New,Greater Accra,Achimota,"Greater Accra, Achimota","4.5, 5+ years on Jiji",150m hdmi wireless extender 4in1,https://jiji.com.gh/achimota/tv-dvd-equipment/4in1-hdmi-wireless-extender-transmitter-150m-3oDijVBQ0U2vcjSFAfkRY0en.html,Jiji Ghana (jiji.com.gh),2026-04-20
Electronics,Toshiba Satellite 5136u Battery,350.0,GH₵ 350,Brand New,Greater Accra,Lapaz,"Greater Accra, Lapaz",,Pa5136u-1brs pa5136 original laptop battery 14.8v 3380mah (52wh) 4cell for toshiba satellite z30...,https://jiji.com.gh/lapaz/computer-accessories/toshiba-satellite-5136u-battery-49XMX2dPUaJBzWETDU1MiqPI.html,Jiji Ghana (jiji.com.gh),2026-04-20
