Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Description,URL,Source,Scraped Date
Electronics,77-Inch Oled Evo C4 Series Smart Tv,59570.0,"GH₵ 59,570","77inches, Brand New",Greater Accra,Airport Residential Area,"Greater Accra, Airport Residential Area",The LG OLED77C46LA is a 77-inch OLED evo C4 series 4K Smart TV released in 2024. It is powered by...,https://jiji.com.gh/airport-residential-area/tv-dvd-equipment/77-inch-oled-evo-c4-series-smart-tv-rvmhf4VGWLAMJul0yPymfGR2.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,Laptop HP EliteBook 830 G7 16GB Intel Core i7 SSD 512GB,5299.0,"GH₵ 5,299","Used, Intel Core i7",Greater Accra,Kokomlemle,"Greater Accra, Kokomlemle","Premium business-class laptop design for speed, durability and smooth multitasking. perfect for...",https://jiji.com.gh/kokomlemle/computers-and-laptops/laptop-hp-elitebook-830-g7-16gb-intel-core-i7-ssd-512gb-unGy88VjK1HNQ9QM5fN2XtNP.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,Hp 83a (Cf283a) Toner Original,480.0,GH₵ 480,,Greater Accra,Adabraka,"Greater Accra, Adabraka","Hp 83a (cf283a) black original laserjet toner cartridge for hp laserjet pro mfp m127fn, mfp m127fw,...",https://jiji.com.gh/adabraka/accessories-and-supplies-for-electronics/hp-83a-cf283a-toner-original-5RX6cvgiKKsjLK2pPivl3YQi.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,Uk Used Playstation 4 Or Ps 4 Standard With Controller.,2000.0,"GH₵ 2,000",Used,Greater Accra,,Greater Accra,"Uk Used PlayStation 4 or Ps 4 Standard with Controller.
Ps4 standard has no games but also comes...",https://jiji.com.gh/greater-accra/video-games-and-consoles/uk-used-playstation-4-or-ps-4-standard-with-controller-yDZF4XRP2JSTKsTX5yjj76dD.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,"Canon Eos 600d Ultralens Ready Power, Precision, Perfection",6500.0,"GH₵ 6,500",Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",UltraLens Ready 600D is compatible with a wide range of Canon lenses for endless creativity.,https://jiji.com.gh/adabraka/cameras-video-cameras-and-accessories/canon-eos-600d-ultralens-ready-power-precision-perfection-cJE37WeuFeU7hncBD1eyMHZ9.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,Sata to Usb for All HHD,180.0,GH₵ 180,Brand New,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan","Powered sat to usb 
available with adapter",https://jiji.com.gh/kumasi-metropolitan/computer-accessories/sata-to-usb-for-all-hhd-jOg5Kdm3LKlmfdcMEsqLeCyY.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,Media Plus Hi-if Multimedia System,800.0,GH₵ 800,Brand New,Greater Accra,Alajo,"Greater Accra, Alajo",7media plus Hi-fi multimedia system available. Brand new. Enjoy 3D sound quality with variety of...,https://jiji.com.gh/alajo/audio-and-music-equipment/media-plus-hi-if-multimedia-system-8W5draYCj3uvG6ImhIpsg6Au.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,Morgan Soundbar With Subwoofer,1100.0,"GH₵ 1,100",Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka","Power: 100W (4*10W+60W)
Driver:2′′ (Mid) *2+2′′(Tweeters)*2 + 8 “BASS
Material: abs + steel mesh
...",https://jiji.com.gh/adabraka/audio-and-music-equipment/morgan-soundbar-with-subwoofer-nMwiK2Rzj1cKsYxI6EMllDQc.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,65-Inch Smart Tv From Lg's 2021 Premium G1 Gallery Series,31280.0,"GH₵ 31,280","65inches, 2160p (4K)",Greater Accra,Airport Residential Area,"Greater Accra, Airport Residential Area",The LG OLED65G1PVA is a 65-inch 4K Smart TV from LG's 2021 premium G1 Gallery Series. It features...,https://jiji.com.gh/airport-residential-area/tv-dvd-equipment/65-inch-smart-tv-from-lgs-2021-premium-g1-gallery-series-BJ3GLjh0SsXCZaHvN6uWfGG1.html,Jiji Ghana (jiji.com.gh),2026-04-27
Electronics,Behringer U-Phoria Um2,1400.0,"GH₵ 1,400",Brand New,Greater Accra,Labadi,"Greater Accra, Labadi",New but not in box behringer U-PHORIA um2 going out for cool price WhatsApp/call me for any other...,https://jiji.com.gh/labadi/audio-and-music-equipment/behringer-u-phoria-um2-3hOWWz9Ck4wTFYv4B36MgQkz.html,Jiji Ghana (jiji.com.gh),2026-04-27
