Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Seller Badge,Description,URL,Source,Scraped Date
Fashion,Executive 5pcs Boys Suite in Colours,550.0,GH₵ 550,Boys,Greater Accra,Kokomlemle,"Greater Accra, Kokomlemle",Verified ID,"Executive suite for all occasions
Available as seen, whatsapp or call for your order, delivery comes...",https://jiji.com.gh/kokomlemle/childrens-clothing/executive-5pcs-boys-suite-in-colours-pot5N7W3iIuFCADk9H1q4us5.html,Jiji Ghana (jiji.com.gh),2026-05-04
Fashion,"Men's 2-Piece Casual Set - V-Neck, Colour Block Polo Trouser Sets",359.0,GH₵ 359,"Bulk prices, Men's",Greater Accra,Osu,"Greater Accra, Osu",Verified ID,"Whether you need a sharp men's 2-in-1 outfit for a date, office casual or weekend hangouts, these...",https://jiji.com.gh/osu/clothing/mens-2-piece-casual-set-v-neck-colour-block-polo-trouser-sets-8y5nRiddVM05gWbLDXqFGTk8.html,Jiji Ghana (jiji.com.gh),2026-05-04
Fashion,Ladies Quality Hermes 2in1 Big Bag,350.0,GH₵ 350,Women's,Greater Accra,Accra New Town,"Greater Accra, Accra New Town",Verified ID,Quality ladies Hermes big bag for ladies suitable for all occasion,https://jiji.com.gh/accra-new-town/bags/ladies-quality-hermes-2in1-big-bag-nxYM4w1sWJ7P2YtZ6UTsreNG.html,Jiji Ghana (jiji.com.gh),2026-05-04
Fashion,7inches Wifi / Kids Tablet,350.0,GH₵ 350,,Greater Accra,Lapaz,"Greater Accra, Lapaz","Verified ID, 5+ years on Jiji","7inches wifi / kids tablet
UK USED
Gotab wifi tablet
Many in stock
Working perfectly ok
With alot of...",https://jiji.com.gh/lapaz/babies-and-kids-accessories/7inches-wifi-kids-tablet-CekcXqZkfL2cwXRfnSiHADJ5.html,Jiji Ghana (jiji.com.gh),2026-05-04
Fashion,Richard Mille Watch,350.0,GH₵ 350,Men's,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,"Original richard mille watches avakin different designs and colors.
Non fading 
Quality and unique",https://jiji.com.gh/accra-metropolitan/watches/richard-mille-watch-tXZdXeJlkMTlG41mQ8AnkgXK.html,Jiji Ghana (jiji.com.gh),2026-05-04
Fashion,Valenzo Watch,250.0,GH₵ 250,Unisex,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,"Quality valenzo watch available in different colors. 
Non fading 
Nationwide delivery",https://jiji.com.gh/accra-metropolitan/watches/valenzo-watch-rfTvkTqPIAQNPAbFy8RlBY7a.html,Jiji Ghana (jiji.com.gh),2026-05-04
Fashion,Multi-Functional Anti-Theft Laptop Backpack With Usb Charging Port,75.0,GH₵ 75,Men's,Greater Accra,Adenta,"Greater Accra, Adenta","Verified ID, 3+ years on Jiji","Multi-Functional Anti-Theft Laptop Backpack with USB Charging Port Stay organized, stylish, and...",https://jiji.com.gh/adenta-municipal/bags/multi-functional-anti-theft-laptop-backpack-with-usb-charging-port-rnO4aNVpNwRko4K6khOKDwRr.html,Jiji Ghana (jiji.com.gh),2026-05-04
Fashion,Joefox Hybrid Leather Watch,280.0,GH₵ 280,Men's,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji","Genuine Timepiece 
 Fresh in box
 3 years battery life",https://jiji.com.gh/accra-metropolitan/watches/joefox-hybrid-leather-watch-wK1jnHJzS4fcoUEMbffQkRT9.html,Jiji Ghana (jiji.com.gh),2026-05-04
Fashion,Kids Air Force 1,80.0,GH₵ 80,"Unisex, 18, 19, 20, 21, 22, 23, 24, 25",Greater Accra,Teshie,"Greater Accra, Teshie",Verified ID,Get you kids Nike Air Force at affordable price,https://jiji.com.gh/teshie/childrens-shoes/kids-air-force-1-pf7HuS0QJ7lIsdLHNnebcNdr.html,Jiji Ghana (jiji.com.gh),2026-05-04
Fashion,Long Beautiful Scarfs,150.0,GH₵ 150,,Greater Accra,Madina,"Greater Accra, Madina","Verified ID, 5+ years on Jiji","Provides warmth 
Unisex
Fabric is cashmere with polyester 
Size 46*206cm
Classic and stylish",https://jiji.com.gh/madina/accessories/long-beautiful-scarfs-A7MfgIXN0Htq9l6FqNWIaKgG.html,Jiji Ghana (jiji.com.gh),2026-05-04
Fashion,Loewe Shades,300.0,GH₵ 300,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji",Quality and affordable,https://jiji.com.gh/accra-metropolitan/accessories/loewe-shades-1AM0X0A9coSfWfVLaa7ZDmAA.html,Jiji Ghana (jiji.com.gh),2026-05-04
Fashion,Quality Children School Shoes,100.0,GH₵ 100,"Unisex, 30, 28, 27, 29, 26, 20, 21, 22, 23, 24, 25, 31, 32, 33, 34, 35",Greater Accra,Weija,"Greater Accra, Weija",3+ years on Jiji,Quality Kids School shoes for sale.,https://jiji.com.gh/weija/childrens-shoes/quality-children-school-shoes-zME6f9ayc1ae7f4aZt29ppif.html,Jiji Ghana (jiji.com.gh),2026-05-04
Fashion,"Laptop Bag Simple, Outdoor File Bag, Briefcase, Computer Not",149.0,GH₵ 149,Men's,Greater Accra,Achimota,"Greater Accra, Achimota",,"New laptop bag, fashionable and simple, large-capacity outdoor file bag, crossbody briefcase,...",https://jiji.com.gh/achimota/bags/laptop-bag-simple-outdoor-file-bag-briefcase-computer-not-n19NuYfrhd4QG7yReBb9JGcT.html,Jiji Ghana (jiji.com.gh),2026-05-04
Fashion,3 Set Oval Suite Engagement and Wedding Rings,370.0,GH₵ 370,,Greater Accra,Achimota,"Greater Accra, Achimota",5+ years on Jiji,"Comes in a box suitable for the program 
Nationwide delivery",https://jiji.com.gh/achimota/wedding-wear/3-set-oval-suite-engagement-and-wedding-rings-xB3Ikxb7kfZ7tBfn3AhtHgov.html,Jiji Ghana (jiji.com.gh),2026-05-04
Fashion,Richard Mille 2022 Rm 35-03 Rafa Nadal White Carbon / Quartz Tpt Watch,15000.0,"GH₵ 15,000",Men's,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,Richard Mille Unworn 2022 RM 35-03 Rafa Nadal White Carbon / Quartz TPT watch. The lightest and most...,https://jiji.com.gh/accra-metropolitan/watches/richard-mille-2022-rm-35-03-rafa-nadal-white-carbon-quartz-tpt-watch-uil41cjud0lWjSQW4hXv4PVa.html,Jiji Ghana (jiji.com.gh),2026-05-04
Fashion,Casio World Time Chain Watch,250.0,GH₵ 250,Men's,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji","Quality Timepiece 
Very durable",https://jiji.com.gh/accra-metropolitan/watches/casio-world-time-chain-watch-ubTiUogxjFVd3mb2kg4IgAOm.html,Jiji Ghana (jiji.com.gh),2026-05-04
