Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Description,URL,Source,Scraped Date
"Home, Furniture & Appliances",Top Mount Doubledoor Nasco 112l Nasf2-13fl Gray Fridge,1899.0,"GH₵ 1,899",Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka","Top freezer
silver
lock
led light
energy saving",https://jiji.com.gh/adabraka/kitchen-appliances/top-mount-doubledoor-nasco-112l-nasf2-13fl-gray-fridge-7SClCpstNIq2NJS3v0fjnWzj.html,Jiji Ghana (jiji.com.gh),2026-04-27
"Home, Furniture & Appliances",Ayla Office Desk,1000.0,"GH₵ 1,000",Used,Greater Accra,Labadi,"Greater Accra, Labadi",This desk is compatible for use for both indoors and outdoors,https://jiji.com.gh/labadi/furniture/ayla-office-desk-dvRR9irWBfu7Z2xN02be3XH8.html,Jiji Ghana (jiji.com.gh),2026-04-27
"Home, Furniture & Appliances",Recommend Samsung-2.5hp-Wind-Free-Split-Acs-R410,11599.0,"GH₵ 11,599","Brand New, No",Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Samsung-2.5hp-wind-free-split-acs-r410
triple protector
white
volt control
r410 gas
one year...",https://jiji.com.gh/accra-metropolitan/home-appliances/recommend-samsung-2-5hp-wind-free-split-acs-r410-ds6l5MePp2lBal9XWyl0VJJY.html,Jiji Ghana (jiji.com.gh),2026-04-27
"Home, Furniture & Appliances",Buy Authentic Zara 200 Single Door Chest Freezer for Less,2249.0,"GH₵ 2,249",Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",Fast cooling Energy Saving See-Through inside LED lamp Lockable double glazed doors with handles...,https://jiji.com.gh/adabraka/kitchen-appliances/buy-authentic-zara-200-single-door-chest-freezer-for-less-3bAJkVWZXCr4UXNqohBaeyLo.html,Jiji Ghana (jiji.com.gh),2026-04-27
"Home, Furniture & Appliances",Track Light,85.0,GH₵ 85,,Greater Accra,Kaneshie,"Greater Accra, Kaneshie","Track light and bar 
All sizes are available 
Available in single color 
And available in 2colors...",https://jiji.com.gh/kaneshie/lighting/track-light-fYRXeL3GAzTHeTB8jUeHgnNO.html,Jiji Ghana (jiji.com.gh),2026-04-27
"Home, Furniture & Appliances","3 in 1 LED Light With Remote Control, 3 in 1 Wardrobe Light",90.0,GH₵ 90,,Greater Accra,Madina,"Greater Accra, Madina","Choose your clothes at ease with the perfect lighting with the help of this LED Closet, Kitchen, and...",https://jiji.com.gh/madina/lighting/3-in-1-led-light-with-remote-control-3-in-1-wardrobe-light-eZigC9ad8U3yX5H3gxDWZeID.html,Jiji Ghana (jiji.com.gh),2026-04-27
"Home, Furniture & Appliances",200w -Street Light (4eye),500.0,GH₵ 500,,Greater Accra,Accra New Town,"Greater Accra, Accra New Town","Low Energy Consumption & Long Life.
 Environmentally Safe.
 Produce Virtually Zero UV Emissions.
...",https://jiji.com.gh/accra-new-town/lighting/200w-street-light-4eye-dXqKaW1xzTtWANaPiD2Zlq8Q.html,Jiji Ghana (jiji.com.gh),2026-04-27
"Home, Furniture & Appliances",Brilliant Decakila 3800w Instant Electric Water Heater Set,800.0,GH₵ 800,Brand New,Greater Accra,Avenor Area,"Greater Accra, Avenor Area",Quality and affordable one year warranty,https://jiji.com.gh/avenor-area/home-appliances/brilliant-decakila-3800w-instant-electric-water-heater-set-q2dUaHkZPqlnAEU3mdGY0JAT.html,Jiji Ghana (jiji.com.gh),2026-04-27
"Home, Furniture & Appliances",Russell 1.5l Hobbs Glass Jug Blender 600w – White,1800.0,"GH₵ 1,800",Brand New,Greater Accra,Lapaz,"Greater Accra, Lapaz","Go Create Glass Jug blender.
KEY FEATURES
1.5 litre capacity
2 variable speed settings
High speed...",https://jiji.com.gh/lapaz/kitchen-appliances/russell-1-5l-hobbs-glass-jug-blender-600w-white-pf8fYIiV2lP6509AttXsV21n.html,Jiji Ghana (jiji.com.gh),2026-04-27
"Home, Furniture & Appliances",Smartairfryer 1500w Cooking Visible Smart Air Fryer,740.0,GH₵ 740,Brand New,Greater Accra,Dansoman,"Greater Accra, Dansoman","Oraimo Smart Air Fryer 
• Size: 5 liters (good for family meals)
• Power: 1500 watts (fast...",https://jiji.com.gh/dansoman/kitchen-appliances/smartairfryer-1500w-cooking-visible-smart-air-fryer-soKWPJMBsXh5FIOLc9dUeh2I.html,Jiji Ghana (jiji.com.gh),2026-04-27
"Home, Furniture & Appliances",Over Heat Protection/Trusted Water Heater ~1500w/26ltrs,1553.0,"GH₵ 1,553",Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","The Decakila 26L Electric Water Heater (KEWH007W) is the perfect water heating solution for homes,...",https://jiji.com.gh/accra-metropolitan/home-appliances/over-heat-protection-trusted-water-heater-1500w-26ltrs-e129fp4vytJn6YskNOzQZm1U.html,Jiji Ghana (jiji.com.gh),2026-04-27
"Home, Furniture & Appliances",Purchase Quality Nasco 50L Electric Water Heater(White),1999.0,"GH₵ 1,999",Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka","Nasco 50L Electric Water Heater
Energy Saving
Classic Design 
Fast Working",https://jiji.com.gh/adabraka/home-appliances/purchase-quality-nasco-50l-electric-water-heater-white-eQlkXmvpkBfPvw73SWPrwXCP.html,Jiji Ghana (jiji.com.gh),2026-04-27
"Home, Furniture & Appliances",5burner Black Furnace Freestanding Gas Cooker Oven 60/90,5999.0,"GH₵ 5,999",Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",Range cookers are a popular choice within many households. They combine an oven and a hob in one...,https://jiji.com.gh/adabraka/kitchen-appliances/5burner-black-furnace-freestanding-gas-cooker-oven-60-90-1Icnp7UrWpThU7sWXflhOtT4.html,Jiji Ghana (jiji.com.gh),2026-04-27
"Home, Furniture & Appliances",24 Watt Led Panel Lights (Ctorch),110.0,GH₵ 110,,Greater Accra,Accra New Town,"Greater Accra, Accra New Town","This ceiling Down Light has high efficiency light distribution technology, high light distribution,...",https://jiji.com.gh/accra-new-town/lighting/24-watt-led-panel-lights-ctorch-6nRyHDSjeeFhc56NMsrOV0ID.html,Jiji Ghana (jiji.com.gh),2026-04-27
"Home, Furniture & Appliances",Sealed in Box Zara 100 Litres Single Door Electric Chest Freezer,2239.0,"GH₵ 2,239",Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",Fast cooling Energy Saving See-Through inside LED lamp Lockable double glazed doors with handles...,https://jiji.com.gh/adabraka/kitchen-appliances/sealed-in-box-zara-100-litres-single-door-electric-chest-freezer-5mayfbhDKzOL3LCpAaETC9mb.html,Jiji Ghana (jiji.com.gh),2026-04-27
