Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Seller Badge,Description,URL,Source,Scraped Date
"Home, Furniture & Appliances",9 Door Cabinet,2500.0,"GH₵ 2,500",Brand New,Greater Accra,Kokomlemle,"Greater Accra, Kokomlemle","Verified ID, 3+ years on Jiji",Quality brand new office cabinet with 9 doors,https://jiji.com.gh/kokomlemle/furniture/9-door-cabinet-rfgoZjl9AknknNACaC8GqEj6.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",Queen Size Bed Fram for Sell,2200.0,"GH₵ 2,200",Brand New,Greater Accra,Achimota,"Greater Accra, Achimota","Verified ID, 5",Brand queen size the wood is treated from insects.and is very quality,https://jiji.com.gh/achimota/furniture/queen-size-bed-fram-for-sell-dMTNAuEwk9IAKcUz6JTJ6JSH.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances","Anti-Rust, Roch Air Conditioner 2.5hp Split Ac",6799.0,"GH₵ 6,799","Brand New, No",Greater Accra,Adabraka,"Greater Accra, Adabraka",3+ years on Jiji,"The Roch 2.5 HP Air Conditioner (. 24,000 BTU/h) is a high-capacity, energy-efficient cooling unit...",https://jiji.com.gh/adabraka/home-appliances/anti-rust-roch-air-conditioner-2-5hp-split-ac-cJMnsUYBE6AJBcL5OAvjic3L.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",D-lion Bed Bug Controler,100.0,GH₵ 100,,Greater Accra,Accra New Town,"Greater Accra, Accra New Town",3+ years on Jiji,"Bed bug control spray
Available in 1L
Ready to use",https://jiji.com.gh/accra-new-town/household-chemicals/d-lion-bed-bug-controler-yTLAQL7GccB21trUF4KH484p.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",Cntronic 2 in 1 Blender,250.0,GH₵ 250,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",5+ years on Jiji,"Functionality: It serves as both a standard blender and a grinder, suitable for smoothies, sauces,...",https://jiji.com.gh/accra-metropolitan/kitchen-appliances/cntronic-2-in-1-blender-3Ty6tBn8C40P2gEifsDTzHk.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",Led Strip Light – Flexible Decorative Lighting For Home Room Décor,300.0,GH₵ 300,,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",,"Brighten and beautify your space with this flexible LED strip light, perfect for creating a modern...",https://jiji.com.gh/abossey-okai/lighting/led-strip-light-flexible-decorative-lighting-for-home-room-decor-v3wchqDoinJO9JipA4wI1Kwr.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",Asano 2.0 Maximum Comfort – Asano 2.0hp Split Unit,4500.0,"GH₵ 4,500","Bulk prices, Brand New",Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,Strong compressor ensures fast cooling and excellent durability.,https://jiji.com.gh/accra-metropolitan/home-appliances/asano-2-0-maximum-comfort-asano-2-0hp-split-unit-B4FVobFdMX1OBOQ3cKfHZk81.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",Nice Pendant Ceiling Light,750.0,GH₵ 750,,Greater Accra,Sowutwuom,"Greater Accra, Sowutwuom","Verified ID, 3+ years on Jiji","Hanging light with 3colors light changeable 
Height adjustable",https://jiji.com.gh/sowutwuom/lighting/nice-pendant-ceiling-light-7vilbgkaMWOLZMshK5CKcgaQ.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",6 Compartments Corner Storage Cabinet With Coat Hanger,2850.0,"GH₵ 2,850",Brand New,Greater Accra,Achimota,"Greater Accra, Achimota","5+ years on Jiji, Popular","Description
6 Compartments Corner Storage Cabinet with Coat Hanger for Living Room Display Bookshelf...",https://jiji.com.gh/achimota/furniture/6-compartments-corner-storage-cabinet-with-coat-hanger-seIST14IrK9SkttdErjFL91h.html,Jiji Ghana (jiji.com.gh),2026-05-11
"Home, Furniture & Appliances",2l Hoffmans Commercial Blender,1400.0,"GH₵ 1,400",Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,2L Hoffmans commercial blender 100% copper motor,https://jiji.com.gh/accra-metropolitan/kitchen-appliances/2l-hoffmans-commercial-blender-zBq1reqo0egkcjJtbjiPujXX.html,Jiji Ghana (jiji.com.gh),2026-05-11
