Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Seller Badge,Description,URL,Source,Scraped Date
Mobile Phones & Tablets,New Samsung Galaxy Tab A8 10.5 (2021) 64 GB Black,1100.0,"GH₵ 1,100",Brand New,Central Region,Agona West Municipal,"Central Region, Agona West Municipal",,Smsung tab a8 with 64gb,https://jiji.com.gh/agona-west-municipal/tablets/new-samsung-galaxy-tab-a8-10-5-2021-64-gb-black-dir99hi184oO5pN9OoK7DbJn.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,Apple iPhone 13 Pro Max 128 GB White,3800.0,"GH₵ 3,800",Used,Brong Ahafo,Asunafo North Municipal,"Brong Ahafo, Asunafo North Municipal",5+ years on Jiji,Changed screen. It works well,https://jiji.com.gh/asunafo-north/mobile-phones/apple-iphone-13-pro-max-128-gb-white-zJApAoEJPGLbJ0jyswi14Lcc.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,Samsung Galaxy S22 Ultra 5G 256 GB Black,3399.0,"GH₵ 3,399",Used,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan","Verified ID, 3+ years on Jiji",Has A Slight Crack on Down-Left/Lower-left Screen,https://jiji.com.gh/kumasi-metropolitan/mobile-phones/samsung-galaxy-s22-ultra-5g-256-gb-black-oZZad1MZYmhW7xhM6RMcc8hT.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,New Huawei MatePad 11.5 256 GB Gray,4700.0,"GH₵ 4,700",Brand New,Greater Accra,Awoshie,"Greater Accra, Awoshie",,New Huawei Mate pad 11.5 256gb new,https://jiji.com.gh/awoshie/tablets/new-huawei-matepad-11-5-256-gb-gray-dyNHKnpZDPluwN8kE3EzuxQp.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,7 in 1 Ultra Smart Watch,180.0,GH₵ 180,Brand New,Eastern Region,New-Juaben Municipal,"Eastern Region, New-Juaben Municipal","Verified ID, 5+ years on Jiji","*(7 in 1 ) Smartwatch Ultra*
*GH₵ 180*
*Key Features*
Compatible with both iOS and Android
Phone...",https://jiji.com.gh/new-juaben-municipal/smart-watches/7-in-1-ultra-smart-watch-3lGbTqlJlxpdQLSfQfKIAJGL.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,LG V50 Thinq Case,250.0,GH₵ 250,Brand New,Greater Accra,Circle,"Greater Accra, Circle","Verified ID, 5+ years on Jiji","It is a simple, slim jelly phone case made of soft TPU and It enhances the beauty of a smartphone...",https://jiji.com.gh/circle/cell-phones-tablets-accessories/lg-v50-thinq-case-1noGn4bGbc7I9FyeMw9cQqqx.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,New Samsung Galaxy S9 Plus 128 GB Black,2200.0,"GH₵ 2,200",Brand New,Greater Accra,Circle,"Greater Accra, Circle",Verified ID,Original Samsung Galaxy S9+ in box,https://jiji.com.gh/circle/mobile-phones/new-samsung-galaxy-s9-plus-128-gb-black-qggmXsW5r6k58vPhqy9Gv9S7.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,Samsung Galaxy Tab A 10.1 (2016) 16 GB Black,685.0,GH₵ 685,Used,Greater Accra,Gbawe,"Greater Accra, Gbawe","Verified ID, 5+ years on Jiji",Very neat and working perfectly. Wifi.,https://jiji.com.gh/gbawe/tablets/samsung-galaxy-tab-a-10-1-2016-16-gb-black-rPAKPI8gmdQEkFPLquPJJ8Z0.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,Series 9 Apple Watch Premium,350.0,GH₵ 350,Brand New,Greater Accra,Circle,"Greater Accra, Circle","Verified ID, 4.8","Apple series 9premium copy is Equipped with the latest Bluetooth technology, the smartwatch has a...",https://jiji.com.gh/circle/smart-watches/series-9-apple-watch-premium-kBgcT1aR6EDrfLQZ98mDYmkU.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,Apple iPhone 11 Pro 256 GB Green,3150.0,"GH₵ 3,150",Used,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",,IPhone 11pro 256gb factory unlocked used super neat and clean everything perfect. Swapp deals...,https://jiji.com.gh/accra-metropolitan/mobile-phones/apple-iphone-11-pro-256-gb-green-oGgLXXqp0G8aaZzM4QYwlTz.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,New Tablet 1 TB Black,1100.0,"GH₵ 1,100",Brand New,Greater Accra,Circle,"Greater Accra, Circle","Verified ID, 5+ years on Jiji","FSudz branded 10-inch Android tablet, often sold as a bundle for productivity and entertainment....",https://jiji.com.gh/circle/tablets/new-tablet-1-tb-black-wIKGi29UiZAMSSlrSzdfXxi6.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,Motorola Moto G 5G 128 GB Gray,1800.0,"GH₵ 1,800",Used,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,Motorola G 5G 2024 new available,https://jiji.com.gh/accra-metropolitan/mobile-phones/motorola-moto-g-5g-128-gb-gray-d5wgePUWX204FUomxMCf8Sjt.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,Apple Watch Ultra 2,5500.0,"GH₵ 5,500",Used,Greater Accra,Circle,"Greater Accra, Circle","Verified ID, 3+ years on Jiji",Apple Watch Ultra 2 extremely neat as seen,https://jiji.com.gh/circle/smart-watches/apple-watch-ultra-2-glrpKnMtbfwm13luJeDf28b5.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,Lg Velvet 5g Case (Dualshield Case),250.0,GH₵ 250,Brand New,Greater Accra,Circle,"Greater Accra, Circle","Verified ID, 5+ years on Jiji",Protect your LG Velvet 5G with the DualShield Case. Featuring a durable dual layer design for...,https://jiji.com.gh/circle/cell-phones-tablets-accessories/lg-velvet-5g-case-dualshield-case-uL2rCBV97sF3mfrSwikoxm0Z.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,New Xiaomi Redmi Pad Pro 256 GB Gray,1600.0,"GH₵ 1,600",Brand New,Central Region,Agona West Municipal,"Central Region, Agona West Municipal",,Redmi pad pro with 5g,https://jiji.com.gh/agona-west-municipal/tablets/new-xiaomi-redmi-pad-pro-256-gb-gray-s2oODuV0RmJdUhbveL9lI44h.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,iPod Touch 5 32gb - Pink,600.0,GH₵ 600,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji",All iPods include a new pair of headphones and a new charging cable. Please note that when...,https://jiji.com.gh/accra-metropolitan/cell-phones-tablets-accessories/ipod-touch-5-32gb-pink-wr4aodlCBGn89aessUpOPkO3.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,Apple iPhone 14 Pro Max 256 GB Gold,3550.0,"GH₵ 3,550",Used,Greater Accra,North Legon,"Greater Accra, North Legon","Verified ID, 5","14 pro max esim locked , little ink available as seen (does not spread) , bh 84 no hidden faults",https://jiji.com.gh/north-legon/mobile-phones/apple-iphone-14-pro-max-256-gb-gold-mUupxKJFMmcuDINjUPf0jKwB.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,Samsung Galaxy S22 Ultra 5G 512 GB Black,3500.0,"GH₵ 3,500",Used,Central Region,Agona West Municipal,"Central Region, Agona West Municipal",,This is samsung s22 ultra with accessories,https://jiji.com.gh/agona-west-municipal/mobile-phones/samsung-galaxy-s22-ultra-5g-512-gb-black-fmtJQBcemRsLQNFIG1NoJCKL.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,S22/S23 Glass Protector (With Fingerprint Sensor Support),150.0,GH₵ 150,Brand New,Greater Accra,Circle,"Greater Accra, Circle","Verified ID, 5+ years on Jiji",Samsung S22/S23 Glass Protector (With Fingerprint Sensor Support ),https://jiji.com.gh/circle/cell-phones-tablets-accessories/s22-s23-glass-protector-with-fingerprint-sensor-support-mW4lG5MTg0VbbYqRuv54kxX6.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,Huawei P30 Pro 128 GB Blue,1600.0,"GH₵ 1,600",Used,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",Verified ID,Huawei P30 pro 128gb available with free Accessories,https://jiji.com.gh/accra-metropolitan/mobile-phones/huawei-p30-pro-128-gb-blue-i5VLnGadfkV8XHrBRTFvEnyX.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,Samsung Galaxy Watch 8 Classic,3950.0,"GH₵ 3,950",Brand New,Greater Accra,Madina,"Greater Accra, Madina",Verified ID,Samsung galaxy watch 8 classic,https://jiji.com.gh/madina/smart-watches/samsung-galaxy-watch-8-classic-Cs7uJ0f7fcudr6yN3jSdbtHA.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,C17 Ai Face Tracking Quadrapod Gimbal,300.0,GH₵ 300,Brand New,Greater Accra,Circle,"Greater Accra, Circle",Verified ID,"C17 AI Face Tracking Quadrapod Gimbal, an intelligent and multifunctional device. 
AI Face Tracking:...",https://jiji.com.gh/circle/cell-phones-tablets-accessories/c17-ai-face-tracking-quadrapod-gimbal-oH5LFWxP7fojEOEeFt6uFIQZ.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,Samsung Galaxy 7 Watch,400.0,GH₵ 400,Brand New,Greater Accra,Alajo,"Greater Accra, Alajo",3+ years on Jiji,"Samsung Galaxy Watch 7 – Smart Living on Your Wrist
Stay ahead of your day with the Samsung Galaxy...",https://jiji.com.gh/alajo/smart-watches/samsung-galaxy-7-watch-knqnnTczpJnW4vVYmBCMvWzI.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,4g Smart Watch Phone With Camera and Sim Support,420.0,GH₵ 420,Brand New,Greater Accra,Kokomlemle,"Greater Accra, Kokomlemle","Verified ID, 5+ years on Jiji","4G SIM WATCH
All smart watch features 
With inbuilt camera
Support apps and other functions",https://jiji.com.gh/kokomlemle/smart-watches/4g-smart-watch-phone-with-camera-and-sim-support-z6tiLN4f5gEEUzsEhUL4cBSr.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,W26 Promax Smartwatch,150.0,GH₵ 150,Brand New,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan",5+ years on Jiji,Two - way search * Bluetooth Music Control music playback on your phone * Calling:support Bluetooth...,https://jiji.com.gh/kumasi-metropolitan/smart-watches/w26-promax-smartwatch-tIusppjHuTui0WYiKWiLUxeK.html,Jiji Ghana (jiji.com.gh),2026-05-11
Mobile Phones & Tablets,Apple iPhone X 64 GB Gray,1300.0,"GH₵ 1,300",Used,Brong Ahafo,Techiman Municipal,"Brong Ahafo, Techiman Municipal",3+ years on Jiji,Am selling my iPhone x for a cool price no fault,https://jiji.com.gh/techiman-municipal/mobile-phones/apple-iphone-x-64-gb-gray-BRo4jVK2lqCZGRPQilYSuLPC.html,Jiji Ghana (jiji.com.gh),2026-05-11
