Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Seller Badge,Description,URL,Source,Scraped Date
Commercial Equipment & Tools,Salon Hair Sofa Sink Chair,2950.0,"GH₵ 2,950",Bulk prices,Greater Accra,Madina,"Greater Accra, Madina",3+ years on Jiji,Salon Sofa Hair sink chair,https://jiji.com.gh/madina/salon-equipment/salon-hair-sofa-sink-chair-mN89Llu0trVP1GBoJzkDy08n.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Commercial Coolerbox,8000.0,"GH₵ 8,000",Brand New,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan",3+ years on Jiji,Modern Thermal 250Lt large capacity outdoor hard cooler custom insulated PE plastic ice box for food...,https://jiji.com.gh/kumasi-metropolitan/restaurant-and-catering-equipment/commercial-coolerbox-pY42U2v6tdmCBNlDApN7nbdO.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,360 Degree Electric Rotating Turntable Dish Display Stand,179.0,GH₵ 179,Brand New,Greater Accra,Kokomlemle,"Greater Accra, Kokomlemle","Verified ID, 5+ years on Jiji","The turn table is an all-purpose display, promotion and glorify stand, thanks to the double...",https://jiji.com.gh/kokomlemle/restaurant-and-catering-equipment/360-degree-electric-rotating-turntable-dish-display-stand-BK3Rps1J7h1bGe3RjivI2SwB.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Saloon/Barbering Led Mirror,1200.0,"GH₵ 1,200",,Greater Accra,Dansoman,"Greater Accra, Dansoman",Verified ID,Saloon/Barbering Led Mirror,https://jiji.com.gh/dansoman/salon-equipment/saloon-barbering-led-mirror-iG349GtAv0WEQcatmGoIU6e7.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Barbed Wire,400.0,GH₵ 400,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",5+ years on Jiji,"Brand new barbed wire for farm and animal fencing,very sharp pointer",https://jiji.com.gh/accra-metropolitan/safety-equipment/barbed-wire-s8iIDtFcF9s9sBfZshVnxK2i.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Shampoo Basin,2899.0,"GH₵ 2,899",,Greater Accra,Achimota,"Greater Accra, Achimota","Verified ID, 5+ years on Jiji","Brand new sink.
we import and sell all beauty equipments.pedicure,mannicure, massaging,facial...",https://jiji.com.gh/achimota/salon-equipment/shampoo-basin-xgW6IjMyKRpgaoAEMYSlxQq6.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Juki Sewing Machine (Full Set). In Kumasi and Accra,3350.0,"GH₵ 3,350",,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan",,Used Industrial sewing machine. Original Juki.,https://jiji.com.gh/kumasi-metropolitan/manufacturing-equipments/juki-sewing-machine-full-set-in-kumasi-and-accra-8Co6XAZIPUDcHUxORRNSBOY3.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Salon Barbering and Make Up Mirror,1400.0,"GH₵ 1,400",,Greater Accra,Achimota,"Greater Accra, Achimota","Verified ID, 5+ years on Jiji","Brand new led mirrors.
We deal in all types of salon and barbering equipment.we are in Achimota old...",https://jiji.com.gh/achimota/salon-equipment/salon-barbering-and-make-up-mirror-mv5ukMfjmoZ5Tsm8F5g3sEq8.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Mikachi Hair Dryer Standing,400.0,GH₵ 400,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji","Low noise
stable wind force, fast hair styling
adjustable temperature
with a 60 minutes...",https://jiji.com.gh/accra-metropolitan/salon-equipment/mikachi-hair-dryer-standing-6vDPKPlzEeWYlb7VclpASL3Y.html,Jiji Ghana (jiji.com.gh),2026-05-11
Commercial Equipment & Tools,Equator Hair Dryer Standing,1300.0,"GH₵ 1,300",,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","Verified ID, 5+ years on Jiji","Professional stand-up hair drier
power: 980w- 1200w
extended timer upto 60 minutes
infinity...",https://jiji.com.gh/accra-metropolitan/salon-equipment/equator-hair-dryer-standing-yB3LcPkWSm3DpaRwjCgroHyx.html,Jiji Ghana (jiji.com.gh),2026-05-11
