Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Description,URL,Source,Scraped Date
Property / Real Estate,"2,300 SQM Warehouse at Kumasi",60000.0,"GH₵ 60,000","Agent, Unfurnished",Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan","This is a 2,300 sqm warehouse with offices on the main Santase road for rent $3 per sqm",https://jiji.com.gh/kumasi-metropolitan/commercial-property-for-rent/2-300-sqm-warehouse-at-kumasi-q2esMyeaWHvpHqls9TYZrazv.html,Jiji Ghana (jiji.com.gh),2026-04-27
Property / Real Estate,"5bdrm Duplex in None Estate, Awutu Senya East Municipal for sale",530000.0,"GH₵ 530,000","596sqm, 5 bedrooms",Central Region,Awutu Senya East Municipal,"Central Region, Awutu Senya East Municipal",5bedroom duplex detached with 1bedroom self contained one at down and 1bedroom self contained at the...,https://jiji.com.gh/awutu-senya/houses-apartments-for-sale/5bdrm-duplex-in-none-estate-awutu-senya-east-municipal-for-sale-sL8Kof5l18JZKjruOefRiuWW.html,Jiji Ghana (jiji.com.gh),2026-04-27
Property / Real Estate,Rent-for-Less (Weekdays Discounts; You Can Also Pay Per Hour),500.0,GH₵ 500,,Greater Accra,East Legon,"Greater Accra, East Legon",You have an Event and you need A Beautiful & Serene Space for about 40-60 (small gathering or 80-100...,https://jiji.com.gh/east-legon/event-centers-and-venues/rent-for-less-weekdays-discounts-you-can-also-pay-per-hour-7q1rlNFyky27VglEhr6VQVd.html,Jiji Ghana (jiji.com.gh),2026-04-27
Property / Real Estate,Day - One Bedroom Studio Fully Furnished (Hob Flat),120.0,GH₵ 120,"1 room, 1 bedroom",Greater Accra,Lartebiokoshie,"Greater Accra, Lartebiokoshie","A day
 a month 
- One bedroom furnished room
- Electric stove, free Water, 
- Pre-paid ECG Meter,...",https://jiji.com.gh/radio-gold-area/temporary-and-vacation-rentals/day-one-bedroom-studio-fully-furnished-hob-flat-cSU05yE8a6fjwSRV0fCEiOc9.html,Jiji Ghana (jiji.com.gh),2026-04-27
Property / Real Estate,3000 Acres of Farm Land for Sale,9000.0,"GH₵ 9,000",,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",3000 acres available farm land for sale in Volta region Ho Abutia this land is good for cassava...,https://jiji.com.gh/accra-metropolitan/land-and-plots-for-sale/3000-acres-of-farm-land-for-sale-svHsWzJPt3jZl9Wwxp0i8wjX.html,Jiji Ghana (jiji.com.gh),2026-04-27
Property / Real Estate,One Bedroom Fully Furnished Studio Ensuite,150.0,GH₵ 150,"1 room, 1 bedroom",Greater Accra,Lartebiokoshie,"Greater Accra, Lartebiokoshie","Available 
‎
‎• Spacious tiled room 
‎• (2 slide windows, curtains)
‎• kitchenette with beautiful...",https://jiji.com.gh/radio-gold-area/temporary-and-vacation-rentals/one-bedroom-fully-furnished-studio-ensuite-n9jIxw080rvcJOwa70pP2h9L.html,Jiji Ghana (jiji.com.gh),2026-04-27
Property / Real Estate,Hostel For Sale ( 100 Bedrooms Hostel) Knust,33000000.0,"GH₵ 33,000,000",14sqm,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan","NB: All the interior walls are Plasted. 
100 Bedrooms Hostel. 
Tiles are included. 
Other building...",https://jiji.com.gh/kumasi-metropolitan/commercial-properties/hostel-for-sale-100-bedrooms-hostel-knust-1CoyCUGqapX4nhlz7z0u8nh7.html,Jiji Ghana (jiji.com.gh),2026-04-27
Property / Real Estate,Mango and Coconut Farms for Sale,45000.0,"GH₵ 45,000",,Eastern Region,Ayensuano,"Eastern Region, Ayensuano",Good road access and electricity available,https://jiji.com.gh/ayensuano/land-and-plots-for-sale/mango-and-coconut-farms-for-sale-5pmEhj6SufN0atahDOoQHSVb.html,Jiji Ghana (jiji.com.gh),2026-04-27
Property / Real Estate,"3bdrm Townhouse/Terrace In Seekers Realty, Accra Metropolitan For Sale",1782500.0,"GH₵ 1,782,500",,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan","DISCOUNTED DISTRESS SALE
SELLING
East Legon Hills Canadian School
Ensuite 3bedrooms plus BQ Townhome",https://jiji.com.gh/accra-metropolitan/new-builds/3bdrm-townhouse-terrace-in-seekers-realty-accra-metropolitan-for-sale-5HWcYEDqwZKNMc6Z8cBwHjJt.html,Jiji Ghana (jiji.com.gh),2026-04-27
Property / Real Estate,400 SQM Showroom at Asokwa,67000.0,"GH₵ 67,000","Semi-Furnished, 400sqm",Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan","Newly built 200 sqm , 400 sqm showroom or office spaces are available for rent $15 per sqm.",https://jiji.com.gh/kumasi-metropolitan/commercial-property-for-rent/400-sqm-showroom-at-asokwa-rDdY1lBDenSBnMxJAIHhMSlB.html,Jiji Ghana (jiji.com.gh),2026-04-27
