Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Description,URL,Source,Scraped Date
Vehicles,Outlander 2017 Front Bumper Complete,5800.0,"GH₵ 5,800",Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",Available as seen contact me if interested payment on delivery is accepted within Accra,https://jiji.com.gh/abossey-okai/car-parts-and-accessories/outlander-2017-front-bumper-complete-mf0ynhuJXhM67aWsD0HVugls.html,Jiji Ghana (jiji.com.gh),2026-04-27
Vehicles,Toyota Vitz 1.3 AWD 5dr 2012 Silver,115000.0,"GH₵ 115,000","Foreign Used, Automatic",Greater Accra,Kaneshie,"Greater Accra, Kaneshie","New cleared from home 
Accident free 
Has not spray 
Original body",https://jiji.com.gh/kaneshie/cars/toyota-vitz-1-3-awd-5dr-2012-silver-7nZtAZYyMt7WJ53TIRe5tlUC.html,Jiji Ghana (jiji.com.gh),2026-04-27
Vehicles,Tacoma 2017 Android Screen,1800.0,"GH₵ 1,800",Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",This is a brand new android screen specially designed for toyota tacoma 2017 upwards. It perfectly...,https://jiji.com.gh/abossey-okai/car-parts-and-accessories/tacoma-2017-android-screen-axLuEUhdhce79eKScNH4traM.html,Jiji Ghana (jiji.com.gh),2026-04-27
Vehicles,"Civic 2016,2017,2018,2019,2020,2021 Turbo Front Bumper",5000.0,"GH₵ 5,000",Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai","Civic 2016,2017,2018,2019,2020,2021 Turbo Front Bumper",https://jiji.com.gh/abossey-okai/car-parts-and-accessories/civic-2016-2017-2018-2019-2020-2021-turbo-front-bumper-3ojm1YzW0Aj3vZJNjY7Rfffx.html,Jiji Ghana (jiji.com.gh),2026-04-27
Vehicles,Mitsubishi Asx 2014 Front Bumper Complete Available in Stock,5500.0,"GH₵ 5,500",Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai","Avoid paying inspection fees
If possible, go for viewing with friends
Check everything carefully to...",https://jiji.com.gh/abossey-okai/car-parts-and-accessories/mitsubishi-asx-2014-front-bumper-complete-available-in-stock-wpB1oj6m7Vb2eymMb5Kb5ra7.html,Jiji Ghana (jiji.com.gh),2026-04-27
Vehicles,Chevrolet Cruze 2012+ Remote Key,300.0,GH₵ 300,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",We have all type of keys both smart key and remote key we do professional work if you lost your car...,https://jiji.com.gh/abossey-okai/car-parts-and-accessories/chevrolet-cruze-2012-remote-key-5v71YwFkJmoVd8lUABpcya3V.html,Jiji Ghana (jiji.com.gh),2026-04-27
Vehicles,Toyota Corolla Front Bumper Grille/Shells 2017 2018 2019,500.0,GH₵ 500,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",This item is a direct replacement of the front bumper grille/shells of the 2017 to 2019 Toyota...,https://jiji.com.gh/abossey-okai/car-parts-and-accessories/toyota-corolla-front-bumper-grille-shells-2017-2018-2019-a6khGb2QE5cJgQe5MicDsbjO.html,Jiji Ghana (jiji.com.gh),2026-04-27
Vehicles,Mini GPS Tracker,250.0,GH₵ 250,Brand New,Greater Accra,Ablekuma,"Greater Accra, Ablekuma","Mini Gps tracker for all
Buy now
Cash on delivery",https://jiji.com.gh/ablekuma/car-parts-and-accessories/mini-gps-tracker-nhNxxmOthRlQErwRVWHAaszB.html,Jiji Ghana (jiji.com.gh),2026-04-27
Vehicles,Honda CRV 2017 Head Light,6000.0,"GH₵ 6,000",Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",All parts are available for purchase,https://jiji.com.gh/abossey-okai/car-parts-and-accessories/honda-crv-2017-head-light-kkkcADk1XOj1DgJlOCLi161L.html,Jiji Ghana (jiji.com.gh),2026-04-27
Vehicles,"Civic 2016,2017,2018,2019,2020,2021 Tail Light",1200.0,"GH₵ 1,200",Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai","Civic 2016,2017,2018,2019,2020,2021 Tail Light",https://jiji.com.gh/abossey-okai/car-parts-and-accessories/civic-2016-2017-2018-2019-2020-2021-tail-light-rDdGALQRflVMgUECXFDbmtTP.html,Jiji Ghana (jiji.com.gh),2026-04-27
