Category,Title,Price GHS,Price Raw,Condition,Region,Area,Location,Seller Badge,Description,URL,Source,Scraped Date
Vehicles,Avatar 55ah for Sale,500.0,GH₵ 500,Brand New,Greater Accra,Kasoa,"Greater Accra, Kasoa",,"Brand new car batteries for sale at an affordable price 
Avatar 55ah 500
Goldstar 90ah 800
Visca...",https://jiji.com.gh/kasoa/car-parts-and-accessories/avatar-55ah-for-sale-cEJgqAwAX2s9wI9nVWN88Gsr.html,Jiji Ghana (jiji.com.gh),2026-05-11
Vehicles,Hyundai Tucson 2010 Gray,94000.0,"GH₵ 94,000","Local Used, Automatic",Greater Accra,Pokuase,"Greater Accra, Pokuase",,"2010 Hyundai Tucson.
New engine installed.
Runs smoothly.",https://jiji.com.gh/pokuase/cars/hyundai-tucson-2010-gray-5hcj7WeprjyVPx3fvK8dU6gh.html,Jiji Ghana (jiji.com.gh),2026-05-11
Vehicles,"Honda Accord 2016,2017, Taillights Available",1200.0,"GH₵ 1,200",Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",3+ years on Jiji,"Honda Accord 2016,2017, Taillights Available",https://jiji.com.gh/abossey-okai/car-parts-and-accessories/honda-accord-2016-2017-taillights-available-roJOBKNpicL7kr1kjcJ2ElDM.html,Jiji Ghana (jiji.com.gh),2026-05-11
Vehicles,Nissan Engines,10000.0,"GH₵ 10,000",Used,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai","Verified ID, 5+ years on Jiji","Used nissan engines 
no fault 
sentra 
versa 
tiida
almera
altima
note
pathfinder 
patrol
navara
etc",https://jiji.com.gh/abossey-okai/car-parts-and-accessories/nissan-engines-zoe26BOFfx0ktAIf75zVhxkD.html,Jiji Ghana (jiji.com.gh),2026-05-11
Vehicles,"Windscreens, Back Glass and Door Glass for All Cars Availabl",700.0,GH₵ 700,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",5+ years on Jiji,"Brand new high quality windscreens, back glass and door glass for all cars available. Call in with...",https://jiji.com.gh/abossey-okai/car-parts-and-accessories/windscreens-back-glass-and-door-glass-for-all-cars-availabl-C1aiAFA9hfuiJZH8ZJbMhWsc.html,Jiji Ghana (jiji.com.gh),2026-05-11
Vehicles,Home Used Automatic Gearbox for All Cars Available,9000.0,"GH₵ 9,000",Used,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",5+ years on Jiji,Home used high quality automatic gearbox for all cars available. delivery option available. call in...,https://jiji.com.gh/abossey-okai/car-parts-and-accessories/home-used-automatic-gearbox-for-all-cars-available-2XzGGwtgcfXfVbcANPBmTNL.html,Jiji Ghana (jiji.com.gh),2026-05-11
Vehicles,"Lexus Rx350 2016,2017,2018,2019,2020,2021,2022 Fender",1800.0,"GH₵ 1,800","Bulk prices, Brand New",Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",Verified ID,"Lexus RX350 2016,2017,2018,2019,2020,2021,2022 fender",https://jiji.com.gh/abossey-okai/car-parts-and-accessories/lexus-rx350-2016-2017-2018-2019-2020-2021-2022-fender-BMeFX1GNOrbnG7KpkQwnRo9v.html,Jiji Ghana (jiji.com.gh),2026-05-11
Vehicles,Car Door Glasses All Vehicles,400.0,GH₵ 400,Brand New,Greater Accra,Darkuman,"Greater Accra, Darkuman",Verified ID,All kinds of Car Door glasses available in stock,https://jiji.com.gh/darkuman/car-parts-and-accessories/car-door-glasses-all-vehicles-APqlbGEUR5whC6p94AaZm8pC.html,Jiji Ghana (jiji.com.gh),2026-05-11
Vehicles,Mercedes Benz GLB Front Windscreen Sensor Type,2500.0,"GH₵ 2,500",Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai","Verified ID, 5+ years on Jiji",Mercedes Benz GLB front windscreen sensor type,https://jiji.com.gh/abossey-okai/car-parts-and-accessories/mercedes-benz-glb-front-windscreen-sensor-type-b4WRdDTQvHfPSDP72wpa3Eqr.html,Jiji Ghana (jiji.com.gh),2026-05-11
Vehicles,Toyota C-Hr 2021 Front Bumper Complete,6500.0,"GH₵ 6,500",Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",,Quality and affordable goods,https://jiji.com.gh/abossey-okai/car-parts-and-accessories/toyota-c-hr-2021-front-bumper-complete-ntEn0KYiD36vYg7kuBVsYvtg.html,Jiji Ghana (jiji.com.gh),2026-05-11
