Category,Title,Price GHS,Price Raw,Period,Condition,Tags,Region,Area,Location,URL,Source,Scraped Date
Commercial Equipment & Tools,Display Refrigerator 3doors Pearl PVC-150,12999.0,"GH₵ 12,999",,Brand New,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-MfYFNdCgEROGaaXhqXg9ZWdXOphrOGAo-display-refrigerator-3doors-pearl-pvc-150.html,Tonaton Ghana (tonaton.com),2026-05-04
Commercial Equipment & Tools,Student Chop Box Quality Plastic Box Container,650.0,GH₵ 650,,,,Greater Accra,Ablekuma,"Greater Accra, Ablekuma",https://tonaton.com/a-MfYFNdCgtXhj9wYvl7ou2pl1J2JTObYh-student-chop-box-quality-plastic-box-container.html,Tonaton Ghana (tonaton.com),2026-05-04
Commercial Equipment & Tools,Neatly Sealed Pearl Double Door PVC-662-2B Display Fridge,8999.0,"GH₵ 8,999",,Brand New,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-MfYFNdCgHaCalr1c5sdzAjuINL3Kl1g1-neatly-sealed-pearl-double-door-pvc-662-2b-display-fridge.html,Tonaton Ghana (tonaton.com),2026-05-04
Commercial Equipment & Tools,Stage Platform (6*6m),195000.0,"GH₵ 195,000",,Brand New,Brand New,Greater Accra,Kasoa,"Greater Accra, Kasoa",https://tonaton.com/a-MfYFNdCgPfkmvPTVMqNCunBX9yFHMiDH-stage-platform-6-6m.html,Tonaton Ghana (tonaton.com),2026-05-04
Commercial Equipment & Tools,See Through Vertical Display Fridge Pearl PVC 424-2b,5999.0,"GH₵ 5,999",,Brand New,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-MfYFNdCgEGYGg4jWQFA7rKEGaXTnsAKi-see-through-vertical-display-fridge-pearl-pvc-424-2b.html,Tonaton Ghana (tonaton.com),2026-05-04
Commercial Equipment & Tools,8pcs Professional Fashion Design French Curves Rulers Set,195.0,GH₵ 195,,,,Greater Accra,Adenta,"Greater Accra, Adenta",https://tonaton.com/a-MfYFNdCgwVupNRwcj8Ad9jk7vdysUAKt-8pcs-professional-fashion-design-french-curves-rulers-set.html,Tonaton Ghana (tonaton.com),2026-05-04
Commercial Equipment & Tools,High Quality Sleek Nas360fl 288l Display Fridge Single Door,4899.0,"GH₵ 4,899",,Brand New,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-MfYFNdCgUbTNmklUuwdCQWPJoF2OEfwR-high-quality-sleek-nas360fl-288l-display-fridge-single-door.html,Tonaton Ghana (tonaton.com),2026-05-04
Commercial Equipment & Tools,"Get a New Pearl Display Fridge PVC28 ,178 Litres.",6499.0,"GH₵ 6,499",,Brand New,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-MfYFNdCgLD7FkZcoEEG2vpHV120SwM7C-get-a-new-pearl-display-fridge-pvc28-178-litres.html,Tonaton Ghana (tonaton.com),2026-05-04
Commercial Equipment & Tools,Extremely Durable Doubledoor PVC-622-2B Display Fridge Pearl,12999.0,"GH₵ 12,999",,Brand New,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-MfYFNdCgAAlnlx70yRpaa3OvdH7Iyj8L-extremely-durable-doubledoor-pvc-622-2b-display-fridge-pearl.html,Tonaton Ghana (tonaton.com),2026-05-04
Commercial Equipment & Tools,Glass 3doors Display Fridge Pearl PVC-150 950.,12999.0,"GH₵ 12,999",,Brand New,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-MfYFNdCgg7wMXBjp0NCh9dI5NkyH1sXe-glass-3doors-display-fridge-pearl-pvc-150-950.html,Tonaton Ghana (tonaton.com),2026-05-04
