Category,Title,Price GHS,Price Raw,Period,Condition,Tags,Region,Area,Location,URL,Source,Scraped Date
Electronics,Kaspersky STANDARD 3 Devices 3 Year,380.0,GH₵ 380,,,Windows,Greater Accra,Achimota,"Greater Accra, Achimota",https://tonaton.com/a-MfYFNdCgljuF9OehEicNi2qYF10jb9rb-kaspersky-standard-3-devices-3-year.html,Tonaton Ghana (tonaton.com),2026-04-27
Electronics,Kaspersky Plus Internet Security 2024,400.0,GH₵ 400,,,Windows,Greater Accra,Achimota,"Greater Accra, Achimota",https://tonaton.com/a-MfYFNdCgSJcQ87jzQTV08mOkFWI3fAKt-kaspersky-plus-internet-security-2024.html,Tonaton Ghana (tonaton.com),2026-04-27
Electronics,Crucial 6tb X10 Usb 3.2 Gen 2x2 Portable Ssd,6200.0,"GH₵ 6,200",,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",https://tonaton.com/a-MfYFNdCgEUSUsazTqw5XkoWMm0No7URF-crucial-6tb-x10-usb-3-2-gen-2x2-portable-ssd.html,Tonaton Ghana (tonaton.com),2026-04-27
Electronics,"Ubiquiti Unifi 7 Long-Range Access Point Wi-Fi 7 Dual-Band , 4.98gbps",2750.0,"GH₵ 2,750",,Brand New,"UniFi, Brand New",Greater Accra,Osu,"Greater Accra, Osu",https://tonaton.com/a-MfYFNdCgm8kZPTAAqgTREWZ6mAdv4qel-ubiquiti-unifi-7-long-range-access-point-wi-fi-7-dual-band-4-98gbps.html,Tonaton Ghana (tonaton.com),2026-04-27
Electronics,Security Car Convex Mirror,250.0,GH₵ 250,,,,Greater Accra,Osu,"Greater Accra, Osu",https://tonaton.com/a-MfYFNdCgZZ5K4UNzl6EtQauOGXJ1STc1-security-car-convex-mirror.html,Tonaton Ghana (tonaton.com),2026-04-27
Electronics,Vclub Cc / Vclubcc Activated Account,600.0,GH₵ 600,,,Windows,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",https://tonaton.com/a-MfYFNdCgPxNPk4jmJ3HWdBqUwuin4LLq-vclub-cc-vclubcc-activated-account.html,Tonaton Ghana (tonaton.com),2026-04-27
Electronics,77-Inch Oled Evo C4 Series Smart Tv,59570.0,"GH₵ 59,570",,Brand New,"77 inches, Brand New",Greater Accra,Airport Residential Area,"Greater Accra, Airport Residential Area",https://tonaton.com/a-MfYFNdCgNM4RNnAC4HxN6478tiFvEM0L-77-inch-oled-evo-c4-series-smart-tv.html,Tonaton Ghana (tonaton.com),2026-04-27
Electronics,1year Amazon Prime Account Available,600.0,GH₵ 600,,,iOS,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",https://tonaton.com/a-MfYFNdCgsYsDBS5fsN4u3LWyAfzT6Odt-1year-amazon-prime-account-available.html,Tonaton Ghana (tonaton.com),2026-04-27
Electronics,New HP OmniBook 5 Flip 14-fp0023dx 16GB Intel Core Ultra 7 SSD 512GB,10500.0,"GH₵ 10,500",,Brand New,"Brand New, Intel Core Ultra 7, 14""",Greater Accra,Achimota,"Greater Accra, Achimota",https://tonaton.com/a-MfYFNdCh2gAdOtnFHH3lJDTszEYcaJpD-new-hp-omnibook-5-flip-14-fp0023dx-16gb-intel-core-ultra-7-ssd-512gb.html,Tonaton Ghana (tonaton.com),2026-04-27
Electronics,Iptv Accounts,80.0,GH₵ 80,,,Windows,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",https://tonaton.com/a-MfYFNdCgij46YvaLadVgI50b6pCnNxAk-iptv-accounts.html,Tonaton Ghana (tonaton.com),2026-04-27
