Category,Title,Price GHS,Price Raw,Period,Condition,Tags,Region,Area,Location,URL,Source,Scraped Date
"Home, Furniture & Appliances",Top Mount Doubledoor Nasco 112l Nasf2-13fl Gray Fridge,1899.0,"GH₵ 1,899",,Brand New,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-MfYFNdCglpwGlLzgO5gxXNgGlholarm6-top-mount-doubledoor-nasco-112l-nasf2-13fl-gray-fridge.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",Russell 1.5l Hobbs Glass Jug Blender 600w – White,1800.0,"GH₵ 1,800",,Brand New,Brand New,Greater Accra,Lapaz,"Greater Accra, Lapaz",https://tonaton.com/a-MfYFNdCgKvQFEqFS06R0C6CH076bluVi-russell-1-5l-hobbs-glass-jug-blender-600w-white.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",Table With Bookshelf,1150.0,"GH₵ 1,150",,Brand New,Brand New,Greater Accra,Ablekuma,"Greater Accra, Ablekuma",https://tonaton.com/a-MfYFNdCgosUWvkt92OX0EJEjAEP80DRl-table-with-bookshelf.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",Bookshelves/Storage,550.0,GH₵ 550,,Brand New,Brand New,Greater Accra,Ablekuma,"Greater Accra, Ablekuma",https://tonaton.com/a-MfYFNdCgouN7Aj7bW7t2WWT4s0CkNEkO-bookshelves-storage.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",Propylene Glycol - 250ml,25.0,GH₵ 25,,,,Greater Accra,Nungua,"Greater Accra, Nungua",https://tonaton.com/a-MfYFNdCgtsZnKiWm0tWlUBUP96mmDIaO-propylene-glycol-250ml.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",Over Heat Protection/Trusted Water Heater ~1500w/26ltrs,1553.0,"GH₵ 1,553",,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",https://tonaton.com/a-MfYFNdCguipIEmW1l4DRBjoZGB5ZRZWs-over-heat-protection-trusted-water-heater-1500w-26ltrs.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",Double Gas Cylinder Cage,1700.0,"GH₵ 1,700",,Brand New,Brand New,Greater Accra,Lapaz,"Greater Accra, Lapaz",https://tonaton.com/a-MfYFNdCgD9iPT4ROWvMT8P5qSzofvB9V-double-gas-cylinder-cage.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",8 Pieces Ceramic Mug Set,150.0,GH₵ 150,,,,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",https://tonaton.com/a-MfYFNdCgQHgAQXTKmw9e7Qxa82Mj1PBZ-8-pieces-ceramic-mug-set.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",Smartairfryer 1500w Cooking Visible Smart Air Fryer,740.0,GH₵ 740,,Brand New,Brand New,Greater Accra,Dansoman,"Greater Accra, Dansoman",https://tonaton.com/a-MfYFNdCgP4ghj0HVMdLrV6yVxV7N2OGr-smartairfryer-1500w-cooking-visible-smart-air-fryer.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",50*50 Gas Burner With Oven and Grill,1500.0,"GH₵ 1,500",,Brand New,Brand New,Greater Accra,Dansoman,"Greater Accra, Dansoman",https://tonaton.com/a-MfYFNdCgfrEoZFOV10A9QZIufNAEb61j-50-50-gas-burner-with-oven-and-grill.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",Purchase Bruhm 50*50 4 Gas Burner + Oven Grill(Gray)5540 If,1799.0,"GH₵ 1,799",,Brand New,Brand New,Greater Accra,Adabraka,"Greater Accra, Adabraka",https://tonaton.com/a-MfYFNdCgqAHiHzD8GL9wxr83v7XAo8Ev-purchase-bruhm-50-50-4-gas-burner-oven-grill-gray-5540-if.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",Sigma 10kg Twin Tub// Double Power Washing Machine,3090.0,"GH₵ 3,090",,Brand New,Brand New,Greater Accra,Osu,"Greater Accra, Osu",https://tonaton.com/a-MfYFNdCgesvRATkh8s87Ie97OZ7eaS9B-sigma-10kg-twin-tub-double-power-washing-machine.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",Plush Interlocking Floor Mats,250.0,GH₵ 250,,,,Greater Accra,Tema Metropolitan,"Greater Accra, Tema Metropolitan",https://tonaton.com/a-MfYFNdCgJKUztIcJj56GdXUFUMYd6Joj-plush-interlocking-floor-mats.html,Tonaton Ghana (tonaton.com),2026-04-27
"Home, Furniture & Appliances",Hachima 12kg Fully Automatic Washing Machine,3100.0,"GH₵ 3,100",,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",https://tonaton.com/a-MfYFNdCgvwBG97BWHLmN7boA0vsjPtIV-hachima-12kg-fully-automatic-washing-machine.html,Tonaton Ghana (tonaton.com),2026-04-27
