Category,Title,Price GHS,Price Raw,Period,Condition,Tags,Region,Area,Location,URL,Source,Scraped Date
Mobile Phones & Tablets,New Samsung Galaxy A14 128 GB White,1200.0,"GH₵ 1,200",,Brand New,Brand New,Greater Accra,Circle,"Greater Accra, Circle",https://tonaton.com/a-MfYFNdCgeU2qLYD7Kt9lHkOYrUaGToMD-new-samsung-galaxy-a14-128-gb-white.html,Tonaton Ghana (tonaton.com),2026-05-04
Mobile Phones & Tablets,Motorola Moto G 5G 128 GB Gray,1800.0,"GH₵ 1,800",,Used,Used,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",https://tonaton.com/a-MfYFNdCgsXcttN2XVAh8t5VMBp7vSCzR-motorola-moto-g-5g-128-gb-gray.html,Tonaton Ghana (tonaton.com),2026-05-04
Mobile Phones & Tablets,Huawei P30 Pro 128 GB Blue,1600.0,"GH₵ 1,600",,Used,Used,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",https://tonaton.com/a-MfYFNdCgAbGerkm3TsAMah46y8WhbXsN-huawei-p30-pro-128-gb-blue.html,Tonaton Ghana (tonaton.com),2026-05-04
Mobile Phones & Tablets,New Motorola Moto G Power 5G 256 GB Blue,2900.0,"GH₵ 2,900",,Brand New,Brand New,Ashanti,Kumasi Metropolitan,"Ashanti, Kumasi Metropolitan",https://tonaton.com/a-MfYFNdCgL3u69o6tOGz3h0h0LRouJafn-new-motorola-moto-g-power-5g-256-gb-blue.html,Tonaton Ghana (tonaton.com),2026-05-04
Mobile Phones & Tablets,New Samsung Galaxy S9 Plus 128 GB Black,2200.0,"GH₵ 2,200",,Brand New,Brand New,Greater Accra,Circle,"Greater Accra, Circle",https://tonaton.com/a-MfYFNdCgLZ2cdpAWYaxK2GibeecM3hcp-new-samsung-galaxy-s9-plus-128-gb-black.html,Tonaton Ghana (tonaton.com),2026-05-04
Mobile Phones & Tablets,Huawei P Smart 128 GB Black,590.0,GH₵ 590,,Used,Used,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",https://tonaton.com/a-MfYFNdCgOBGGio7fgZR8W4PAdprz4wjd-huawei-p-smart-128-gb-black.html,Tonaton Ghana (tonaton.com),2026-05-04
Mobile Phones & Tablets,Motorola Moto G Stylus 5G (2024) 128 GB Blue,2350.0,"GH₵ 2,350",,Used,Used,Greater Accra,Accra New Town,"Greater Accra, Accra New Town",https://tonaton.com/a-MfYFNdCgfhxWNybbbubhFeuUfm1pZRPL-motorola-moto-g-stylus-5g-2024-128-gb-blue.html,Tonaton Ghana (tonaton.com),2026-05-04
Mobile Phones & Tablets,New Infinix Note 60 Pro 256 GB Orange,2500.0,"GH₵ 2,500",,Brand New,Brand New,Northern Region,Central Gonja,"Northern Region, Central Gonja",https://tonaton.com/a-MfYFNdCgcukhjFOtq6k4UlWpyhumjP5k-new-infinix-note-60-pro-256-gb-orange.html,Tonaton Ghana (tonaton.com),2026-05-04
Mobile Phones & Tablets,Samsung Galaxy S22 Ultra 256 GB Black,2050.0,"GH₵ 2,050",,Used,Used,Northern Region,Central Gonja,"Northern Region, Central Gonja",https://tonaton.com/a-MfYFNdCgJJwTioe57Yqb1Hc0Zh4QUJ5m-samsung-galaxy-s22-ultra-256-gb-black.html,Tonaton Ghana (tonaton.com),2026-05-04
Mobile Phones & Tablets,Huawai P20 Pro Case,250.0,GH₵ 250,,Brand New,Brand New,Greater Accra,Circle,"Greater Accra, Circle",https://tonaton.com/a-MfYFNdCgAqXB3SYgnVdQ0OrHubWjfuNu-huawai-p20-pro-case.html,Tonaton Ghana (tonaton.com),2026-05-04
