Category,Title,Price GHS,Price Raw,Period,Condition,Tags,Region,Area,Location,URL,Source,Scraped Date
Property / Real Estate,"Furnished 3bdrm House in Ayi Mensah, Ga East Municipal for sale",1560000.0,"GH₵ 1,560,000",,,"100 sqm, 3, Furnished, 4, Agent",Greater Accra,Ga East Municipal,"Greater Accra, Ga East Municipal",https://tonaton.com/a-MfYFNdCgSijroOnA9StqDkZ2mCEQ1xF2-furnished-3bdrm-house-in-ayi-mensah-ga-east-municipal-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,"4bdrm House in Trasacco West, Bawaleshie for sale",2500000.0,"GH₵ 2,500,000",,,"120 sqm, 4, Unfurnished, 5, Agent",Greater Accra,East Legon,"Greater Accra, East Legon",https://tonaton.com/a-MfYFNdCgGWkobnGlHXuqEnNZq1GaINJs-4bdrm-house-in-trasacco-west-bawaleshie-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,"4bdrm House in East Airport,Accra for sale",4320000.0,"GH₵ 4,320,000",,,"100 sqm, 4, Unfurnished, 5, Agent",Greater Accra,Airport Residential Area,"Greater Accra, Airport Residential Area",https://tonaton.com/a-MfYFNdCgAeSacKrWcv8GMMPXmvFDuCg8-4bdrm-house-in-east-airport-accra-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,"4bdrm House in Cantonments, DVLA Area for sale",15950000.0,"GH₵ 15,950,000",,,"100 sqm, 4, Unfurnished, 5, Agent",Greater Accra,Cantonments,"Greater Accra, Cantonments",https://tonaton.com/a-MfYFNdCgD9KG1lBtBAVENJ8xof6BF9YD-4bdrm-house-in-cantonments-dvla-area-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,"4bdrm House in Ashaley Botwe, for sale",4500000.0,"GH₵ 4,500,000",,,"100 sqm, 4, Unfurnished, 5, Agent",Greater Accra,Ashaley Botwe,"Greater Accra, Ashaley Botwe",https://tonaton.com/a-MfYFNdCgWvMGceVEjZCbd48lpzmhBjZW-4bdrm-house-in-ashaley-botwe-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,4bdrm House in Airport Hills for sale,23400000.0,"GH₵ 23,400,000",,,"100 sqm, 4, Unfurnished, 5, Agent",Greater Accra,Airport Residential Area,"Greater Accra, Airport Residential Area",https://tonaton.com/a-MfYFNdCgFZ41RoUujHxApMy71RxWEUvB-4bdrm-house-in-airport-hills-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,"3bdrm House in East Legon Hills, Bawaleshie for sale",1600000.0,"GH₵ 1,600,000",,,"100 sqm, 3, Unfurnished, 4, Agent",Greater Accra,East Legon,"Greater Accra, East Legon",https://tonaton.com/a-MfYFNdCgYll4POv6KCFRXSjtEjgvo34w-3bdrm-house-in-east-legon-hills-bawaleshie-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,"2bdrm House in Agbogba Junction, North Legon for sale",900000.0,"GH₵ 900,000",,,"100 sqm, 2, Unfurnished, 3, Agent",Greater Accra,North Legon,"Greater Accra, North Legon",https://tonaton.com/a-MfYFNdCgyS8lxiBDuwizqgVrfAcxLIxR-2bdrm-house-in-agbogba-junction-north-legon-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,"2bdrm House in Maalejor, Adenta for sale",1000000.0,"GH₵ 1,000,000",,,"80 sqm, 2, Semi-Furnished, 3, Agent",Greater Accra,Adenta,"Greater Accra, Adenta",https://tonaton.com/a-MfYFNdCgNj8EI0XzCUzMz8hI4q07Qj5Q-2bdrm-house-in-maalejor-adenta-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Property / Real Estate,5bdrm House in North Legon for sale,4500000.0,"GH₵ 4,500,000",,,"100 sqm, 5, Unfurnished, 6, Agent",Greater Accra,North Legon,"Greater Accra, North Legon",https://tonaton.com/a-MfYFNdCgYPOi90YTgGRzuqkPJvO8TfyQ-5bdrm-house-in-north-legon-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
