Category,Title,Price GHS,Price Raw,Period,Condition,Tags,Region,Area,Location,URL,Source,Scraped Date
Vehicles,Avatar 55ah for Sale,500.0,GH₵ 500,,Brand New,Brand New,Greater Accra,Kasoa,"Greater Accra, Kasoa",https://tonaton.com/a-MfYFNdCgsjGdBwJE6Osf7fIb7igxJ1ek-avatar-55ah-for-sale.html,Tonaton Ghana (tonaton.com),2026-05-11
Vehicles,Honda CR-V 2024 Blue,480000.0,"GH₵ 480,000",,Foreign Used,"Foreign Used, Automatic",Greater Accra,Ablekuma,"Greater Accra, Ablekuma",https://tonaton.com/a-MfYFNdCgfcP4aRfncJ9TtAcWIK6jazVz-honda-cr-v-2024-blue.html,Tonaton Ghana (tonaton.com),2026-05-11
Vehicles,GMC Yukon 2008 Black,110000.0,"GH₵ 110,000",,Local Used,"Local Used, Automatic, 83000 km",Greater Accra,Dansoman,"Greater Accra, Dansoman",https://tonaton.com/a-MfYFNdCgSJbTcVLxMQvzxrQ07KrKV0fX-gmc-yukon-2008-black.html,Tonaton Ghana (tonaton.com),2026-05-11
Vehicles,Honda Civic EX 4dr Sedan (1.5L 4cyl) 2016 White,160000.0,"GH₵ 160,000",,Foreign Used,"Foreign Used, Automatic",Greater Accra,Ablekuma,"Greater Accra, Ablekuma",https://tonaton.com/a-MfYFNdCgYRd9QctXWLbyx6WqmlzDbcjb-honda-civic-ex-4dr-sedan-1-5l-4cyl-2016-white.html,Tonaton Ghana (tonaton.com),2026-05-11
Vehicles,Toyota Tacoma 2019 Black,425000.0,"GH₵ 425,000",,Foreign Used,"Foreign Used, Automatic",Greater Accra,Ablekuma,"Greater Accra, Ablekuma",https://tonaton.com/a-MfYFNdCgHumwrgumVYiA8SXZ8jcDooXe-toyota-tacoma-2019-black.html,Tonaton Ghana (tonaton.com),2026-05-11
Vehicles,Honda CR-V EX AWD 2019 Blue,285000.0,"GH₵ 285,000",,Foreign Used,"Foreign Used, Automatic",Greater Accra,Achimota,"Greater Accra, Achimota",https://tonaton.com/a-MfYFNdCgGOMN1hNZ9xKmlGnW7uEFmpyP-honda-cr-v-ex-awd-2019-blue.html,Tonaton Ghana (tonaton.com),2026-05-11
Vehicles,Honda CR-V EX-L FWD 2019 White,235000.0,"GH₵ 235,000",,Local Used,"Local Used, Automatic",Greater Accra,Ablekuma,"Greater Accra, Ablekuma",https://tonaton.com/a-MfYFNdCgsh1tgKQa9CObvJMMgerIitMe-honda-cr-v-ex-l-fwd-2019-white.html,Tonaton Ghana (tonaton.com),2026-05-11
Vehicles,Mitsubishi Mirage Black Edition 2022 Gray,155000.0,"GH₵ 155,000",,Foreign Used,"Foreign Used, Automatic",Greater Accra,Ablekuma,"Greater Accra, Ablekuma",https://tonaton.com/a-MfYFNdCgKyvNPUhgXU86pc9GfqeoUZJV-mitsubishi-mirage-black-edition-2022-gray.html,Tonaton Ghana (tonaton.com),2026-05-11
Vehicles,Toyota RAV4 XLE 2021 White,390000.0,"GH₵ 390,000",,Foreign Used,"Foreign Used, Automatic",Greater Accra,Ablekuma,"Greater Accra, Ablekuma",https://tonaton.com/a-MfYFNdCgOGb2zPTPLMJ7XeesI2bGMKLl-toyota-rav4-xle-2021-white.html,Tonaton Ghana (tonaton.com),2026-05-11
Vehicles,Honda Accord Sport 2.0T 2020 Blue,270000.0,"GH₵ 270,000",,Foreign Used,"Foreign Used, Automatic",Greater Accra,Ablekuma,"Greater Accra, Ablekuma",https://tonaton.com/a-LuubBC0gtHidn2XpzLq90dSJ9BTmXxP-honda-accord-sport-2-0t-2020-blue.html,Tonaton Ghana (tonaton.com),2026-05-11
Vehicles,Honda Accord 2016 Black,173000.0,"GH₵ 173,000",,Foreign Used,"Foreign Used, Automatic",Greater Accra,Ablekuma,"Greater Accra, Ablekuma",https://tonaton.com/a-MfYFNdCgH6ebUItFzY0wnAb5nMbjNSOD-honda-accord-2016-black.html,Tonaton Ghana (tonaton.com),2026-05-11
Vehicles,2023-2026 Honda HRV Dashboard,14000.0,"GH₵ 14,000",,Used,Used,Greater Accra,Spintex,"Greater Accra, Spintex",https://tonaton.com/a-MfYFNdCgEGGkTYK9p3Fx1IvtuwzntyMq-2023-2026-honda-hrv-dashboard.html,Tonaton Ghana (tonaton.com),2026-05-11
Vehicles,Mitsubishi Outlander ES FWD 2020 Silver,263000.0,"GH₵ 263,000",,Foreign Used,"Foreign Used, Automatic",Greater Accra,Ablekuma,"Greater Accra, Ablekuma",https://tonaton.com/a-MfYFNdCgHYdIBpxc3Cu1HHfoHMm5HCHm-mitsubishi-outlander-es-fwd-2020-silver.html,Tonaton Ghana (tonaton.com),2026-05-11
Vehicles,Audi 3.0l Engine,55000.0,"GH₵ 55,000",,Used,Used,Greater Accra,Spintex,"Greater Accra, Spintex",https://tonaton.com/a-MfYFNdCgQYgtRLL1g9qUWVGxkxinBBBW-audi-3-0l-engine.html,Tonaton Ghana (tonaton.com),2026-05-11
Vehicles,Land Rover Range Rover 5.0L V8 Supercharged 2019 Blue,550000.0,"GH₵ 550,000",,Foreign Used,"Foreign Used, Automatic",Greater Accra,Ga South Municipal,"Greater Accra, Ga South Municipal",https://tonaton.com/a-MfYFNdCgtMNhO24aQTEV4dovZHA6fL2q-land-rover-range-rover-5-0l-v8-supercharged-2019-blue.html,Tonaton Ghana (tonaton.com),2026-05-11
Vehicles,Mercedes-Benz C300 Base Sedan RWD (2.0L 4cyl 7A) 2016 Black,170000.0,"GH₵ 170,000",,Local Used,"Local Used, Automatic, 86390 km",Greater Accra,East Legon,"Greater Accra, East Legon",https://tonaton.com/a-MfYFNdCgzi94dzkuWxDUOlONjF7pYOQo-mercedes-benz-c300-base-sedan-rwd-2-0l-4cyl-7a-2016-black.html,Tonaton Ghana (tonaton.com),2026-05-11
Vehicles,Brake Pad Set Honda Cr-v 2017,500.0,GH₵ 500,,Brand New,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",https://tonaton.com/a-MfYFNdCgNeFSOhtCHFJ23a9KRpvnQqf2-brake-pad-set-honda-cr-v-2017.html,Tonaton Ghana (tonaton.com),2026-05-11
Vehicles,Transmission Mount For 2016-2021 Honda Civic 2.0l Cvt,900.0,GH₵ 900,,Brand New,Brand New,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",https://tonaton.com/a-LuubBC0gB7a4HrV5thMGpxk3OYN6lKL-transmission-mount-for-2016-2021-honda-civic-2-0l-cvt.html,Tonaton Ghana (tonaton.com),2026-05-11
Vehicles,Car Engine,14000.0,"GH₵ 14,000",,Used,Used,Greater Accra,Abossey Okai,"Greater Accra, Abossey Okai",https://tonaton.com/a-MfYFNdCgDe7xB2yriaw63EK3SktJ8SSt-car-engine.html,Tonaton Ghana (tonaton.com),2026-05-11
Vehicles,Pick Up Rollbar,4800.0,"GH₵ 4,800",,Brand New,Brand New,Greater Accra,Accra Metropolitan,"Greater Accra, Accra Metropolitan",https://tonaton.com/a-MfYFNdCgXL6lTAF0DWa9fltOUizrJl3V-pick-up-rollbar.html,Tonaton Ghana (tonaton.com),2026-05-11
