Year,Country,Country Code,Source,Scraped Date,"Agriculture, Forestry & Fishing (% of GDP)",Agriculture Value Added Growth (%),Arable Land (% of Land Area),Agricultural Land (% of Land Area),Cereal Yield (kg per hectare),Prevalence of Undernourishment (%),Food Production Index,Employment in Agriculture (% of total)
2025,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,,34.5735834374172
2024,Ghana,GH,World Bank Open Data,2026-04-20,20.8867457674884,2.81780470902358,,,,,,35.186453760204
2023,Ghana,GH,World Bank Open Data,2026-04-20,20.9430687797207,5.86855666266328,20.6998545265961,55.393019913595,2687.6,6.3,,36.0071785301449
2022,Ghana,GH,World Bank Open Data,2026-04-20,19.5136382027158,4.16047011736525,20.6998545265961,55.393019913595,2433.8,5.9,135.5,36.3202438830527
2021,Ghana,GH,World Bank Open Data,2026-04-20,19.6574735227332,8.45684883957145,20.6998545265961,55.393019913595,2360.5,5.6,130.54,35.9690047422434
2020,Ghana,GH,World Bank Open Data,2026-04-20,18.8537826616486,7.28371090241249,20.7001274557201,55.393750274689,2410.8,5.7,122.4,37.4159627643187
2019,Ghana,GH,World Bank Open Data,2026-04-20,17.323230201462,4.65510800810789,20.487768807162,54.8490737607292,2346.2,6.6,119.42,37.6580356214864
2018,Ghana,GH,World Bank Open Data,2026-04-20,18.1365503192521,4.87572429468398,20.2750593302277,53.694038850312,2172.6,7.5,113.03,39.8965508902356
2017,Ghana,GH,World Bank Open Data,2026-04-20,19.5617099184239,6.21383918408178,20.0629796958777,53.1069873428848,1930.7,8.8,107.89,42.0184244466613
2016,Ghana,GH,World Bank Open Data,2026-04-20,20.8442929192419,2.7330343192107,19.8509005010108,54.3110758547948,1842.4,9.5,101.19,42.8607884401307
2015,Ghana,GH,World Bank Open Data,2026-04-20,19.9826505985758,2.05724990934056,19.638821306144,54.564096422607,1830.3,9.4,99.74,43.4261410674157
2014,Ghana,GH,World Bank Open Data,2026-04-20,19.5837731324669,0.900467026852311,19.4267421112771,54.3845249186956,1703.4,8.7,99.06,43.895196360092
2013,Ghana,GH,World Bank Open Data,2026-04-20,20.3698425406713,5.95542296387282,19.2146624769271,54.7731216489409,1688.8,8.0,94.83,44.3403448003791
2012,Ghana,GH,World Bank Open Data,2026-04-20,22.1311546901572,2.30194984966421,19.0025832820603,54.277658433682,1768.1,7.7,92.17,45.7602283880096
2011,Ghana,GH,World Bank Open Data,2026-04-20,23.663704967184,0.846113789792426,18.7905040871935,54.0909101696405,1594.2,7.3,87.25,47.0766379600252
2010,Ghana,GH,World Bank Open Data,2026-04-20,28.0387379636491,5.2765734589417,18.5784248923266,54.4978377428144,1814.3,6.9,83.94,48.8412188276963
2009,Ghana,GH,World Bank Open Data,2026-04-20,30.9933842095403,7.22554266238021,18.3663456974598,54.1024233101872,1659.8,6.9,81.98,52.1108614048493
2008,Ghana,GH,World Bank Open Data,2026-04-20,29.4080967578414,7.40423986728686,18.1542660631098,52.75890261053,1598.1,8.1,74.63,55.0094920222776
2007,Ghana,GH,World Bank Open Data,2026-04-20,27.294114484663,-1.71765669219546,17.9421868682429,54.8134481849345,1317.0,9.2,66.65,58.0842780600059
2006,Ghana,GH,World Bank Open Data,2026-04-20,28.3330959873622,,17.7301076733761,52.930439922651,1334.5,10.4,68.26,60.7279021918673
2005,Ghana,GH,World Bank Open Data,2026-04-20,37.4530129301836,,17.5180284785093,53.263512349477,1432.3,11.1,66.33,61.310537752112
2004,Ghana,GH,World Bank Open Data,2026-04-20,37.9524260930096,,17.3059492836424,52.1647793794498,1373.3,12.0,64.59,62.0186367132898
2003,Ghana,GH,World Bank Open Data,2026-04-20,36.5454059013539,,17.0938696492924,55.3358934692801,1396.4,12.6,62.42,62.5721569676871
2002,Ghana,GH,World Bank Open Data,2026-04-20,35.1483770619295,,16.8817904544256,57.3546607189945,1349.0,13.4,60.07,63.0914432152009
2001,Ghana,GH,World Bank Open Data,2026-04-20,35.2418001245052,,16.6697112595588,56.6846743429727,1186.1,14.8,54.25,63.5735114582606
2000,Ghana,GH,World Bank Open Data,2026-04-20,35.2715219593039,,16.4576320646919,56.1023121209458,1309.2,,52.11,
1999,Ghana,GH,World Bank Open Data,2026-04-20,,,16.2455524303419,57.394525797662,1297.0,,51.59,
1998,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,48.68,
