Year,Country,Country Code,Source,Scraped Date,Access to Electricity (% of Population),"Access to Electricity, Rural (% of Rural Population)","Access to Electricity, Urban (% of Urban Population)",Energy Use (kg of oil equivalent per capita),Internet Users (% of Population),Mobile Cellular Subscriptions (per 100 people),"Roads, Paved (% of Total Roads)",Renewable Energy Consumption (% of Total)
2024,Ghana,GH,World Bank Open Data,2026-04-20,,,,,72.17569733,113.647966704673,,
2023,Ghana,GH,World Bank Open Data,2026-04-20,89.5,77.8,97.5,369.331287865765,70.67430115,98.8059221412722,,
2022,Ghana,GH,World Bank Open Data,2026-04-20,85.1,71.6,95.0,361.562855486466,69.91329956,120.803416027053,,
2021,Ghana,GH,World Bank Open Data,2026-04-20,86.3,74.0,95.2,382.191892428598,68.6,124.402625384529,,39.0
2020,Ghana,GH,World Bank Open Data,2026-04-20,85.4,73.1,94.6,392.373098140481,62.51760101,126.887391353856,,40.0
2019,Ghana,GH,World Bank Open Data,2026-04-20,83.5,70.0,93.8,380.421155062376,22.0732,130.70523333401,,42.6
2018,Ghana,GH,World Bank Open Data,2026-04-20,80.4,68.3,89.9,378.657496575592,43.0,133.609992432498,,42.1
2017,Ghana,GH,World Bank Open Data,2026-04-20,79.0,65.3,90.0,351.113971311685,37.88420105,122.471765695646,,45.3
2016,Ghana,GH,World Bank Open Data,2026-04-20,79.3,66.6,89.8,327.930479432879,28.0,130.481366086196,,45.2
2015,Ghana,GH,World Bank Open Data,2026-04-20,74.0,57.0,88.4,325.604049227551,23.0,121.997156544235,,44.0
2014,Ghana,GH,World Bank Open Data,2026-04-20,78.3,64.0,90.8,321.354700935333,19.0,108.270496910446,,47.7
2013,Ghana,GH,World Bank Open Data,2026-04-20,70.7,50.8,88.5,323.671149524462,15.0,102.337999297675,,46.2
2012,Ghana,GH,World Bank Open Data,2026-04-20,56.5,23.6,86.8,328.520151456093,10.6,95.8261770997433,,46.5
2011,Ghana,GH,World Bank Open Data,2026-04-20,64.1,42.0,85.0,302.776311436787,9.0,81.1104488323626,,50.1
2010,Ghana,GH,World Bank Open Data,2026-04-20,64.2,55.4,72.8,296.099589771501,7.8,68.4473107845556,,51.9
2009,Ghana,GH,World Bank Open Data,2026-04-20,61.1,37.9,84.2,274.268692555035,5.44,60.7694975888344,12.6,51.9
2008,Ghana,GH,World Bank Open Data,2026-04-20,60.5,36.8,84.8,276.023736903457,4.27,47.7132196500561,16.1,57.3
2007,Ghana,GH,World Bank Open Data,2026-04-20,56.9,32.4,82.7,263.025409302741,3.85,32.1629441899404,,54.5
2006,Ghana,GH,World Bank Open Data,2026-04-20,55.1,31.4,80.7,274.133659952501,2.72317597313987,22.6001881366288,,58.6
2005,Ghana,GH,World Bank Open Data,2026-04-20,41.3,7.9,78.4,261.893368449293,1.83119746104616,12.8045967119533,14.9,61.4
2004,Ghana,GH,World Bank Open Data,2026-04-20,50.8,24.7,80.7,270.192103863779,1.71679770389504,7.75094614130464,,62.4
2003,Ghana,GH,World Bank Open Data,2026-04-20,48.3,24.0,76.9,281.217826361178,1.19305791098328,3.73545578999193,17.9200000762939,64.5
2002,Ghana,GH,World Bank Open Data,2026-04-20,46.8,19.8,79.5,303.797214535662,0.830284033818738,1.86582932404951,,65.7
2001,Ghana,GH,World Bank Open Data,2026-04-20,44.8,17.4,78.9,313.165728366048,0.200008060324831,1.20888662601392,18.3999996185303,69.3
2000,Ghana,GH,World Bank Open Data,2026-04-20,43.7,14.9,80.5,322.127334642966,0.153615297625799,0.662241808064506,29.6000003814697,71.6
1999,Ghana,GH,World Bank Open Data,2026-04-20,40.7405395507813,12.5339851120814,77.8511276245117,401.340038042534,,,29.6000003814697,72.8
1998,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,,73.6
1997,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,,78.3
1996,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,24.1000003814697,
1995,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,24.8999996185303,
1994,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,24.3999996185303,
1993,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,23.8999996185303,
1992,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,23.5,
1991,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,23.0,
1990,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,19.6000003814697,
