Year,Country,Country Code,Source,Scraped Date,GDP (Current USD),GDP Growth Rate (%),GDP Per Capita (Current USD),GDP Per Capita Growth (%),Inflation Rate - CPI (%),Official Exchange Rate (LCU per USD),Government Debt (% of GDP),Government Revenue (% of GDP),Government Expenditure (% of GDP),Gross Savings (% of GDP)
2024,Ghana,GH,World Bank Open Data,2026-04-20,82308110386.4641,5.59045469593266,2390.77237652715,3.62907892202038,22.8483281157842,14.1819416666667,,,,14.0176372227613
2023,Ghana,GH,World Bank Open Data,2026-04-20,80547146878.3843,3.14009099763754,2383.90410483418,1.19022304172192,38.1069656296501,11.0204083333333,,15.0222642370769,,7.95012486892971
2022,Ghana,GH,World Bank Open Data,2026-04-20,73919003209.9866,3.80484980952164,2229.89122647803,1.8305124767942,31.2558951049016,8.2724,,15.5505506873008,22.6789929507667,18.7087577207339
2021,Ghana,GH,World Bank Open Data,2026-04-20,79514204730.3979,5.07646643533542,2445.18662529344,3.03800270044563,9.9710886750444,5.8057,,14.9263731247694,20.7508748712557,15.5950077940325
2020,Ghana,GH,World Bank Open Data,2026-04-20,70008243859.8666,0.513941670628171,2195.45481659987,-1.46830801654092,9.88728956269944,5.59570833333333,,13.754507358813,21.8835544057028,21.0781726103652
2019,Ghana,GH,World Bank Open Data,2026-04-20,68352629246.1555,6.5077747939152,2186.65822682613,4.39063133478864,7.14364003330857,5.21736666666667,,14.6948055474354,17.5109450941033,17.5895709554257
2018,Ghana,GH,World Bank Open Data,2026-04-20,67259353965.6087,6.20007768127284,2195.32166016377,4.01895338314475,7.80876516610703,4.585325,,15.0692892914466,17.6018475152484,20.0001406878945
2017,Ghana,GH,World Bank Open Data,2026-04-20,60385409434.8567,8.12889488100956,2012.28662641265,5.78094585817396,12.3719215507048,4.35053333333333,,14.5205312646041,17.355240305187,15.8609956860697
2016,Ghana,GH,World Bank Open Data,2026-04-20,56144179397.8516,3.37346574966936,1912.47991339951,1.04704406736222,17.4546347070868,3.90981666666667,,14.1589434337656,18.2895853622151,18.6361555693635
2015,Ghana,GH,World Bank Open Data,2026-04-20,49436806230.4839,2.12075933817334,1722.77282833606,-0.208325820413904,17.1499695007878,3.71464166666667,,14.5298039024017,17.3642996458735,21.0997767239893
2014,Ghana,GH,World Bank Open Data,2026-04-20,54678533805.9064,2.85624016330883,1949.90832923846,0.452244093941871,15.4896160333318,2.896575,,14.2150318928858,18.2035086076329,18.2399313542729
2013,Ghana,GH,World Bank Open Data,2026-04-20,62845721959.827,7.31252501678145,2294.79584693743,4.75796338524816,11.6661923071729,1.98135,,14.2262590306295,19.2811347818803,15.1937771434224
2012,Ghana,GH,World Bank Open Data,2026-04-20,41271701060.954,9.2927894063005,1543.77524235764,6.67974740594653,11.1863409441067,1.82486666666667,,19.3392683497525,26.8839178478186,5.26751918545763
2011,Ghana,GH,World Bank Open Data,2026-04-20,39336668080.559,14.0471235803149,1507.43573198753,11.3370417824575,8.7284593709302,1.520625,,19.3717131890671,21.1409260461554,3.8817620783489
2010,Ghana,GH,World Bank Open Data,2026-04-20,32197655566.5347,7.89971194051621,1263.89251760539,5.30617508163762,10.7333898354915,1.42998333333333,,16.6915374696386,20.1575042881243,4.87086082915232
2009,Ghana,GH,World Bank Open Data,2026-04-20,26048720005.5233,4.84448705175076,1047.70430093586,2.26068893513001,19.2469482220857,1.40496666666667,,15.418490672829,18.027952390966,11.0362033554831
2008,Ghana,GH,World Bank Open Data,2026-04-20,28679383241.0729,9.14979893831817,1182.65761256016,6.41466992518754,16.494639613412,1.052275,,15.6941534759169,20.5460947523142,4.34097386962774
2007,Ghana,GH,World Bank Open Data,2026-04-20,24827339138.4906,4.34681910440079,1050.12461524926,1.69171777527903,10.7342665456292,0.932619195,,15.6668718626601,17.8651441453915,6.74378205731545
2006,Ghana,GH,World Bank Open Data,2026-04-20,20885037596.6963,6.39991260618034,906.441027564887,3.66950804093835,11.6791839392492,0.915106799166667,,13.3046887747606,15.2883466766383,17.4115362889624
2005,Ghana,GH,World Bank Open Data,2026-04-20,10744568381.4456,5.90000381855104,478.611909191028,3.15861099530474,15.4389920155908,0.905209485833333,,23.6884692085609,22.7457889920708,19.2073105174027
2004,Ghana,GH,World Bank Open Data,2026-04-20,8881417906.71432,5.59999999077445,406.132105329565,2.83982995857866,18.0427388232565,0.899494854007063,,23.7121460055721,23.4793110246594,22.8716914774714
2003,Ghana,GH,World Bank Open Data,2026-04-20,7632723555.66221,5.200000133101,358.39927142073,2.39760659496866,29.7729797160384,0.866764326525345,,19.7668200073461,22.0203756781146,21.1562882203583
2002,Ghana,GH,World Bank Open Data,2026-04-20,6166197847.85031,4.49999955900331,297.46164468774,1.6652639048673,9.36093239560313,0.792417084313167,,18.0096066472924,20.0290266464737,18.7543227313659
2001,Ghana,GH,World Bank Open Data,2026-04-20,5314872854.4405,4.00000012807919,263.542156494853,1.26692433665509,41.509496287803,0.716305157808996,,18.1061131001006,18.7116417612495,21.0927220999351
2000,Ghana,GH,World Bank Open Data,2026-04-20,4982850662.20851,3.70000008164408,253.746936203344,1.12706117579829,40.240933123914,0.544919175868766,,,,15.265862335031
1993,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,,16.982541773198,,
1992,Ghana,GH,World Bank Open Data,2026-04-20,,,,,,,,11.900566382732,,
