period,source,last_updated,sheet,gdp_total,agriculture,industry,services,gdp_growth
2006_Q2,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,1057.7242,2589.86,2423.4875,6071.0717,338.6374
2006_Q3,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,1829.5752,2572.4353,2515.3405,6917.351,325.4776
2006_Q4,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,2235.4562,2304.0212,2704.7976,7244.2749,386.0896
2007_Q1,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,2064.8749,2995.6024,2646.227,7706.7042,537.9155
2007_Q2,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,1261.1086,3015.2215,2616.1654,6892.4955,486.2355
2007_Q3,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,2193.3219,2900.2811,3024.2829,8117.8859,461.7485
2007_Q4,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,2538.3426,2639.7977,4246.9867,9425.127,459.719
2008_Q1,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,3339.5032,3709.685,3507.0405,10556.2288,573.58
2008_Q2,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,1507.5491,3543.1356,3488.2659,8538.9506,566.9545
2008_Q3,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,2827.2157,3423.388,4602.0899,10852.6936,667.7695
2008_Q4,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,3542.1241,3230.7512,4490.3334,11263.2087,445.9705
2009_Q1,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,3542.002,4206.6761,4821.2489,12569.927,146.5716
2009_Q2,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,2171.0088,4004.908,5071.2759,11247.1928,107.0438
2009_Q3,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,4025.8814,3880.2696,4696.588,12602.7389,276.6389
2009_Q4,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,4513.7882,3360.2598,5747.9426,13621.9905,1645.9245
2010_Q1,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,5101.8122,5287.1671,6322.432,16711.4113,681.2035
2010_Q2,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,2476.4592,4475.0169,6076.5627,13028.0388,1088.7364
2010_Q3,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,4042.8806,4315.1379,6703.143,15061.1615,1359.6597
2010_Q4,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,4701.8282,4481.7602,6737.1599,15920.7484,1131.5977
2011_Q1,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,4957.9268,6269.4457,8585.763,19813.1355,1553.4732
2011_Q2,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,2515.0112,6919.5661,8748.8093,18183.3866,1480.1991
2011_Q3,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,4612.2873,6695.9916,6488.5988,17796.8777,1277.8218
2011_Q4,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,5945.1477,6578.8439,7662.2842,20186.2758,1234.4935
2012_Q1,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,5977.3359,8944.5943,8617.9111,23539.8413,1338.0081
2012_Q2,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,3199.0767,8971.3406,10217.3873,22387.8046,1278.1892
2012_Q3,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,5524.9105,8891.5236,8847.4485,23263.8826,1073.1616
2012_Q4,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,6416.0505,8139.9321,13205.3421,27761.3246,1106.3984
2013_Q1,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,6698.1952,11056.6568,10733.0169,28487.8689,1319.6441
2013_Q2,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,5521.7605,10753.2266,12632.1773,28907.1644,1507.5898
2013_Q3,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,5933.6847,10335.454,12666.0951,28935.2338,1514.2122
2013_Q4,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,7202.2463,10288.848,14492.3562,31983.4505,1822.415
2014_Q1,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,8008.4216,10889.4152,11653.5513,30551.3881,3189.84
2014_Q2,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,6749.9282,12717.2848,14930.9274,34398.1404,3358.3772
2015_Q4,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,10547.8161,14732.3239,19941.538,45221.6779,4353.0485
2016_Q1,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,12099.7601,14969.4118,22294.6169,49363.7888,3801.2434
2016_Q2,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,9690.2755,14882.7173,23556.022,48129.0149,4355.4879
2016_Q3,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,10870.733,15127.0684,24036.048,50033.8495,3814.3509
2016_Q4,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,13112.1721,15833.6931,26550.3149,55496.18,4600.6802
2017_Q1,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,12478.5579,18401.5879,27420.0425,58300.1883,3968.8394
2017_Q2,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,10039.7005,19210.775,29673.992,58924.4674,4330.9949
2017_Q3,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,12689.7681,21206.4847,29498.974,63395.2269,4843.1068
2017_Q4,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,16199.7492,19894.9713,27679.0659,63773.7864,5261.3559
2018_Q1,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,15053.6461,24271.8807,32874.7652,72200.292,5242.7113
2018_Q2,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,12228.876,23411.072,31201.3085,66841.2566,4917.0379
2018_Q3,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,12983.5422,25402.1595,35007.9364,73393.6381,5368.0164
2018_Q4,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,15701.044,23125.4749,35702.4141,74528.933,6095.5106
2019_Q1,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,17536.5125,26376.3323,38436.5412,82349.386,5752.1584
2019_Q2,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,13595.0207,26911.3961,39873.9518,80380.3686,5528.5914
2019_Q3,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,14226.9756,29533.7642,41504.0854,85264.8252,5691.6008
2019_Q4,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,16406.4751,28091.3148,41133.6032,85631.3931,5945.9422
2020_Q1,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,19957.2847,29326.4428,46717.8124,96001.5398,4589.1859
2020_Q2,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,17508.7708,27587.8019,38159.3873,83255.9601,5218.6911
2020_Q3,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,17129.875,29668.2902,42528.6914,89326.8567,7012.2571
2020_Q4,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,19299.7235,30516.6347,49704.9939,99521.3521,7014.8904
2021_Q1,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,21500.9018,33326.5791,53472.1733,108299.6542,5723.1245
2021_Q2,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,20499.366,30144.0108,45450.9543,96094.331,6852.7085
2021_Q3,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,22277.4374,32882.4296,51686.1074,106845.9745,7740.1604
2021_Q4,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,26479.8546,34791.4948,58640.194,119911.5434,10227.4394
2022_Q1,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,27097.591,44039.5389,64201.36,135338.4899,7450.54
2022_Q2,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,26870.2489,40383.7983,55810.21,123064.2572,8923.95
2022_Q3,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,33314.0442,48088.7512,62413.59,143816.3854,10106.14
2022_Q4,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,32597.4697,60819.8405,80363.51,173780.8202,11855.67
2023_Q1,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,45282.7304,64688.2774,99458.3068,209429.3146,12179.0958
2023_Q2,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,42347.846,54668.1389,85011.3337,182027.3186,13673.4299
2023_Q3,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,52205.0605,62851.121,86079.3788,201135.5603,15073.2492
