Dataset,Source,Scraped Date,Indicator,Month,Consumer Price Index and Inflation
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2026M01,262.3
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2025M12,261.7
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2025M11,259.4
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2025M10,257.0
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2025M09,258.0
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2025M08,255.7
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2025M07,259.1
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2025M06,257.3
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2025M05,260.5
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2025M04,258.6
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2025M03,256.5
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2025M02,255.9
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2025M01,252.6
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2024M12,248.3
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2024M11,243.9
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2024M10,237.8
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2024M09,235.8
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2024M08,229.4
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2024M07,231.0
Ghana CPI & Inflation,Ghana Statistical Service (GSS StatsBank),2026-04-20,Consumer Price Index,2024M06,226.4
