Dataset,Source,Scraped Date,Month,Interbank Exchange Rate US Dollar (USD),Interbank Exchange Rate Pound Sterling (GBP),Interbank Exchange Rate Euro,Forex Bureau Exchange Rate US Dollar (USD),Forex Bureau Exchange Rate Pound Sterling (GBP),Forex Bureau Exchange Rate Euro
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2024M08,15.1,19.56,16.65,16.15,20.26,17.23
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2024M07,14.75,18.97,15.99,15.68,19.87,16.78
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2024M06,14.33,18.22,15.42,15.27,19.27,16.30
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2024M05,13.78,17.43,14.91,14.69,18.32,15.63
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2024M04,13.04,16.31,13.96,13.59,16.76,14.36
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2024M03,12.67,16.11,13.78,13.20,16.49,14.18
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2024M02,12.23,15.44,13.20,12.59,15.74,13.47
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2024M01,11.93,15.16,13.00,12.29,15.37,13.32
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M12,11.65,14.74,12.71,12.15,15.22,13.27
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M11,11.55,14.36,12.49,12.07,14.82,13.19
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M10,11.34,13.8,11.97,11.89,14.53,12.49
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M09,11.06,13.71,11.81,11.52,14.62,12.39
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,2023M08,11.01,13.98,12.00,11.42,14.72,12.44
