period,source,last_updated,sheet,gdp_total,agriculture,industry,services,gdp_growth
2006_Q2,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,1057.7242,2589.86,2423.4875,6071.0717,338.6374
2006_Q3,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,1829.5752,2572.4353,2515.3405,6917.351,325.4776
2006_Q4,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,2235.4562,2304.0212,2704.7976,7244.2749,386.0896
2007_Q1,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,2064.8749,2995.6024,2646.227,7706.7042,537.9155
2007_Q2,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,1261.1086,3015.2215,2616.1654,6892.4955,486.2355
2007_Q3,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,2193.3219,2900.2811,3024.2829,8117.8859,461.7485
2007_Q4,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,2538.3426,2639.7977,4246.9867,9425.127,459.719
2008_Q1,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,3339.5032,3709.685,3507.0405,10556.2288,573.58
2008_Q2,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,1507.5491,3543.1356,3488.2659,8538.9506,566.9545
2008_Q3,Bank of Ghana Statistical Bulletin,2026-04-20,Table 29,2827.2157,3423.388,4602.0899,10852.6936,667.7695
