date,source,last_updated,headline_inflation,core_inflation,private_sector_credit_growth,reserve_money_growth,broad_money_m2_growth,gross_international_reserves_usd_m
2025-Dec,Bank of Ghana Statistical Bulletin,2026-04-20,5.388,4.5663,19.1515,12.4899,26.8808,13829.194
2025-Nov,Bank of Ghana Statistical Bulletin,2026-04-20,6.3284,5.4491,18.7716,-1.622,18.5624,11768.1769
2025-Oct,Bank of Ghana Statistical Bulletin,2026-04-20,8.0463,7.3732,13.9003,0.0728,18.555,11410.6421
2025-Sep,Bank of Ghana Statistical Bulletin,2026-04-20,9.4,8.8263,15.0814,-6.3846,21.35,11604.0193
2025-Aug,Bank of Ghana Statistical Bulletin,2026-04-20,11.5,11.5187,13.3328,4.4584,28.236,10919.2644
2025-Jul,Bank of Ghana Statistical Bulletin,2026-04-20,12.1,11.996,7.9547,14.1729,32.443,10763.9435
2025-Jun,Bank of Ghana Statistical Bulletin,2026-04-20,13.667,12.9979,8.571,1.9512,30.2956,11336.2121
2025-May,Bank of Ghana Statistical Bulletin,2026-04-20,18.3778,18.4098,9.7175,27.6058,34.7592,10738.4512
2025-Apr,Bank of Ghana Statistical Bulletin,2026-04-20,21.2402,20.978,19.9099,37.9881,31.8268,10792.1985
2025-Mar,Bank of Ghana Statistical Bulletin,2026-04-20,22.4055,23.2,24.3066,60.8269,34.4804,10299.2281
