source,last_updated,indicator,period,consumer_price_index_and_inflation
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2026-01,262.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-12,261.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-11,259.4
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-10,257.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-09,258.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-08,255.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-07,259.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-06,257.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-05,260.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,,2025-04,258.6
