source,last_updated,period,interbank_exchange_rate_us_dollar_usd,interbank_exchange_rate_pound_sterling_gbp,interbank_exchange_rate_euro,forex_bureau_exchange_rate_us_dollar_usd,forex_bureau_exchange_rate_pound_sterling_gbp,forex_bureau_exchange_rate_euro
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-08,15.1,19.56,16.65,16.15,20.26,17.23
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-07,14.75,18.97,15.99,15.68,19.87,16.78
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-06,14.33,18.22,15.42,15.27,19.27,16.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-05,13.78,17.43,14.91,14.69,18.32,15.63
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-04,13.04,16.31,13.96,13.59,16.76,14.36
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-03,12.67,16.11,13.78,13.2,16.49,14.18
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-02,12.23,15.44,13.2,12.59,15.74,13.47
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-01,11.93,15.16,13.0,12.29,15.37,13.32
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-12,11.65,14.74,12.71,12.15,15.22,13.27
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-11,11.55,14.36,12.49,12.07,14.82,13.19
