source,last_updated,period,capital_adequacy_ratio,core_liquid_assets_to_short_term_liabilities,core_liquid_assets_to_total_assets,non_performing_loan_ratio,operational_cost_income,return_on_assets,return_on_equity,total_cost_to_gross_income_ratio
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-06,14.3,43.0,35.8,24.1,49.6,5.4,35.3,76.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-05,14.7,43.3,35.9,24.5,50.8,5.4,33.9,77.7
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-04,15.5,42.3,35.2,25.7,50.3,5.4,35.0,76.9
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-03,15.9,38.3,31.8,26.7,50.7,5.6,36.4,76.3
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-02,13.6,36.6,30.2,24.6,52.3,5.2,32.7,78.2
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-01,12.7,35.1,29.1,23.7,51.6,5.5,35.9,77.5
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-12,13.9,37.1,30.7,20.6,55.1,5.4,34.2,80.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-11,13.2,33.0,27.2,18.3,53.6,5.6,37.5,78.6
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-10,13.4,31.9,26.3,18.3,53.9,5.5,36.3,79.1
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-09,13.8,31.2,25.9,18.0,54.1,5.3,35.6,79.5
