source,last_updated,period,value_in_ghana_cedis_total_revenue_and_grants,value_in_ghana_cedis_domestic_revenue,value_in_ghana_cedis_tax_revenue,value_in_ghana_cedis_taxes_on_income_and_property_direct,value_in_ghana_cedis_company_taxes,value_in_ghana_cedis_company_taxes_on_oil,value_in_ghana_cedis_other_direct_taxes,value_in_ghana_cedis_taxes_on_domestic_goods_and_services_indirect,value_in_ghana_cedis_vat,value_in_ghana_cedis_international_trade_taxes,value_in_ghana_cedis_import_duties,value_in_ghana_cedis_grants,value_in_ghana_cedis_total_expenditure,value_in_ghana_cedis_compensation_of_employees,value_in_ghana_cedis_interest_payments,value_in_ghana_cedis_grants_to_other_government_units,value_in_ghana_cedis_capital_expenditure,value_in_ghana_cedis_overall_balance_incl_divestiture_and_discrepancy,value_in_ghana_cedis_financing,value_in_ghana_cedis_foreign_financing_net,value_in_ghana_cedis_domestic_financing_net,percentage_of_annual_gdp_total_revenue_and_grants,percentage_of_annual_gdp_domestic_revenue,percentage_of_annual_gdp_tax_revenue,percentage_of_annual_gdp_taxes_on_income_and_property_direct,percentage_of_annual_gdp_company_taxes,percentage_of_annual_gdp_company_taxes_on_oil,percentage_of_annual_gdp_other_direct_taxes,percentage_of_annual_gdp_taxes_on_domestic_goods_and_services_indirect,percentage_of_annual_gdp_vat,percentage_of_annual_gdp_international_trade_taxes,percentage_of_annual_gdp_import_duties,percentage_of_annual_gdp_grants,percentage_of_annual_gdp_total_expenditure,percentage_of_annual_gdp_compensation_of_employees,percentage_of_annual_gdp_interest_payments,percentage_of_annual_gdp_grants_to_other_government_units,percentage_of_annual_gdp_capital_expenditure,percentage_of_annual_gdp_overall_balance_incl_divestiture_and_discrepancy,percentage_of_annual_gdp_financing,percentage_of_annual_gdp_foreign_financing_net,percentage_of_annual_gdp_domestic_financing_net
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-Q2,42595467458.7,84599883823.0,35165389424.9,18851358651.7,7626805322.9,1821884170.7,3351472490.0,13689944326.7,7609602204.5,4616514359.7,4616514359.7,295525547.2,50941189213.1,16088370059.5,4494648592.2,10944905690.1,9271607911.3,-11246322406.2,11246322406.2,3426735614.8,8298730119.4,,,,,,,,,,,,,,,,,,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-06,13181517262.1,12928931516.8,11125051449.6,5886855269.3,3764694067.8,0.0,1108932600.3,4310662204.8,2373035303.9,1442839876.4,1442839876.4,252585745.3,17560108615.7,5391601682.4,1582307397.7,3711736041.0,2099753596.3,937557755.8,-937557755.8,1045994021.4,-1983551777.2,,,,,,,,,,,,,,,,,,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-05,13301921299.4,13284775537.4,10509488918.3,4605444594.7,1639934183.5,0.0,876871257.4,4860099703.4,2771416019.3,1738260855.7,1738260855.7,17145762.0,16535971176.0,5374796363.2,1400486547.0,3532110473.2,3765047029.5,-4440710056.8,4440710056.8,1246040775.7,3445890482.6,,,,,,,,,,,,,,,,,,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-04,16112028897.2,16086234857.3,13530849057.0,8359058787.7,2222177071.5,1821884170.7,1365668632.2,4519182418.6,2465150881.3,1435413627.5,1435413627.5,25794039.9,16845109421.3,5321972013.9,1511854647.5,3701059175.8,3406807285.6,-7743170105.3,7743170105.3,1134700817.8,6836391413.9,,,,,,,,,,,,,,,,,,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-Q1,32055502569.8,63787528972.6,24531210175.1,9824654663.7,4525424143.6,0.0,1932112639.3,12276635215.1,6702630284.4,3769686536.0,3769686536.0,161738083.5,50271539410.0,13209784023.6,14533854187.7,8753433029.0,4643183942.6,-24885367173.2,24885367173.2,12997676611.9,13304561901.6,,,,,,,,,,,,,,,,,,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-03,11433373123.4,11393235890.8,8884643613.8,4156473496.7,2354992500.3,0.0,1147285982.4,3911670256.1,2139385718.3,1226141239.9,1226141239.9,40137232.5,14119750655.6,4738038478.7,1914367033.1,3199641861.9,2878215868.6,-3253347675.6,3253347675.6,4438954284.6,-1030065467.6,,,,,,,,,,,,,,,,,,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-02,10642605410.8,10640494186.2,7896251006.9,3029862017.5,990540725.8,0.0,228478628.7,4060740760.8,2209941104.4,1248347915.9,1248347915.9,2111224.6,23053569905.1,4238230963.8,11167675264.4,2811059806.0,1069371586.7,-8336896916.5,8336896916.5,1277980011.9,7238290829.6,,,,,,,,,,,,,,,,,,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-01,9979524035.6,9860034409.2,7750315554.4,2638319149.5,1179890917.4,0.0,556348028.2,4304224198.2,2353303461.6,1295197380.1,1295197380.1,119489626.4,13098218849.3,4233514581.1,1451811890.2,2742731361.1,695596487.3,-13295122581.1,13295122581.1,7280742315.3,7096336539.7,,,,,,,,,,,,,,,,,,,,,
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023,136011248141.5,266719158997.8,110019286882.4,56519916671.5,25162111058.7,4965129206.7,9425875367.3,45726408771.4,25547160648.9,13933245964.7,13933245964.7,2651668642.6,154626726088.1,50807756031.9,29347777112.0,31150265593.1,21111295823.0,-26430882971.0,27986868149.8,11219419169.5,16531903505.1,16.2,31.7,13.1,6.7,3.0,0.6,1.1,5.4,3.0,1.7,1.7,0.3,18.4,6.0,3.5,3.7,2.5,-3.1,3.3,1.3,2.0
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-Q4,44847882296.8,86788028747.7,37508273864.5,21265976389.3,10696258370.1,2353705806.4,3107284103.5,13784520197.1,8083278770.6,4170359219.4,4170359219.4,1453867923.0,42945603788.4,13847011400.1,3949347481.1,9063574091.4,10235909297.4,5915910011.4,7767462321.9,2823127935.4,4446586779.4,5.3,10.3,4.5,2.5,1.3,0.3,0.4,1.6,1.0,0.5,0.5,0.2,5.1,1.6,0.5,1.1,1.2,0.7,0.9,0.3,0.5
