source,last_updated,period,balance_of_payments_overall_balance,capital_account_balance,current_account_balance,net_official_transfers,net_private_transfers,error_and_omission_net,financial_account_balance,foreign_direct_investments_net
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-Q2,873910000,20600000,998500000,0,1397700000,120500000,-265630000,436300000
Ghana Statistical Service (GSS StatsBank),2026-04-20,2024-Q1,68350000,13400000,280300000,0,1290000000,-89400000,-135870000,379400000
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023,518390000,128900000,1407000000,108200000,4040780000,-156100000,-861430000,1308300000
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-Q4,1135420000,41200000,495400000,84300000,827700000,4800000,594020000,398700000
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-Q3,-276070000,21700000,48600000,8500000,1195320000,-1100000,-345280000,308800000
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-Q2,246030000,25900000,234000000,6700000,1046880000,57800000,-71680000,315300000
Ghana Statistical Service (GSS StatsBank),2026-04-20,2023-Q1,-586990000,40100000,629000000,8700000,970880000,-217600000,-1038490000,285500000
Ghana Statistical Service (GSS StatsBank),2026-04-20,2022,-3406380000,142100000,-1740660000,200000,3572740000,217000000,-2283380000,1472600000
Ghana Statistical Service (GSS StatsBank),2026-04-20,2022-Q4,3370000,26100000,318210000,100000,1089760000,232800000,-573700000,322100000
Ghana Statistical Service (GSS StatsBank),2026-04-20,2022-Q3,-912680000,25100000,-723280000,0,910940000,63000000,-277510000,363100000
